"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 17:19:37-03","NYBG","NYBG","00983869","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","nigra","Dalbergia nigra","(Vell.) Allemão ex Benth.","A. M. V. de Carvalho","1991","A. P. Duarte","8607","1964","11","26","South America","Brazil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00983869","NY00983869","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 19:17:05-03","NYBG","NYBG","844091","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","collina","Anemia collina","Sm.",NA,NA,"A. Salino","4593","1999","04","11","South America","Brazil","Minas Gerais","Abre Campo","-42.4775","-20.3011",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00844091","NY00844091",NA,"Distrito de Granada, área da Usina Hidrelétrica de Granada.","-42.4775","-20.3011",NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:45:46-03","NYBG","NYBG","411884","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Anemopaegma","goyazense","Anemopaegma goyazense","K.Schum.","A. H. Gentry","1976","E. P. Heringer","10289","1965","01","28","South America","Brazil","Minas Gerais","Abre Campo","-42.4775","-20.3011",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00411884","NY00411884",NA,"Abre Campo.","-42.4775","-20.3011",NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:46:03-03","NYBG","NYBG","412218","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Cuspidaria","lasiantha","Cuspidaria lasiantha","(Bureau & K.Schum.) A.H.Gentry","A. H. Gentry","1979","E. P. Heringer","10284","1965","01","28","South America","Brazil","Minas Gerais","Abre Campo","-42.4775","-20.3011",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00412218","NY00412218",NA,"Abre Campo.","-42.4775","-20.3011",NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:57:42-03","NYBG","NYBG","687625","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Diatenopteryx","grazielae","Diatenopteryx grazielae","Vaz & Andreata","J. A. Kallunki","2005","E. P. Heringer","10286","1965","01","28","South America","Brazil","Minas Gerais","Abre Campo","-42.4775","-20.3011",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878922 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00687625","NY00687625_01 NY00687625_02",NA,"Abre Campo","-42.4775","-20.3011",NA,NA,NA,NA,NA,NA
"6","2020-03-04 11:48:45-03","UFRJ","RFA","26333","Preservedecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","A.P.G. de Faria","2005","F. B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.491944","-22.237778",NA,NA,"Epífita, planta inteira verde, flor vermelha e amarela, comum no local.","RFA34503",NA,NA,"1º Distrito, Fazenda Cachoeira.","42º29'31''W","22º14'16''S","11","22","399","399",NA,NA
"7","2020-03-04 11:48:33-03","UFRJ","RFA","26332","Preservedecimen","Plantae",NA,NA,"Arecaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.491944","-20.237778",NA,NA,"Trepadeira, planta inteira verde, flor branca e rara no local.","RFA42361",NA,NA,NA,"42º29'31''W","20º14'16''S",NA,NA,NA,NA,NA,NA
"8","2020-03-04 11:48:44-03","UFRJ","RFA","26315","Preservedecimen","Plantae",NA,NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira","21855","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.498889","-20.225",NA,NA,"Árvore, 25m de altura, 80cm de DAP, folha verde, caule palha, raiz marrom, flor amarela, rara no local.","RFA34378",NA,NA,"1º distrito - Fazenda Cachoeira.","42º29'56''W","20º13'30''S",NA,NA,"548","548",NA,NA
"9","2020-03-04 11:48:44-03","UFRJ","RFA","26317","Preservedecimen","Plantae",NA,NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","20",NA,"Brasil","Minas Gerais","Abre Campo","-42.520556","-20.209444",NA,NA,"Trepadeira, folha verde, caule cinza, raiz amarela, flor amarela, rara no local.","RFA34381",NA,NA,"1º Distrito Fazenda Cachoeira.","42º31'14''W","20º12'34''S",NA,NA,"540","540",NA,NA
"10","2020-03-04 11:48:44-03","UFRJ","RFA","26343","Preservedecimen","Plantae",NA,NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,"F. M. de B. Pereira",NA,"2000","12","22",NA,"Brasil","Minas Gerais","Abre Campo","-42.528611","-20.202222",NA,NA,"Arbusto, 3m de altura, 4cm de DAP, folha verde, flor amarela, rara no local.","RFA34377",NA,NA,"1º distrito - Fazenda Cachoeira.","42º31'43''W","20º12'8''S",NA,NA,"561","561",NA,NA
