"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"1","2019-12-16 18:04:03-03","NYBG","NYBG","1065183","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","A. C. Allem","3392","1986","02","20","South America","Brazil","Minas Gerais","Acaiaca","40 km a Sudeste de Mariana ao longo da rodovia BR-356 rumo a Ponte Nova. Km 41 da rodovia.","-43","-20.42","-43.00","-20.42","640","640","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01065183","NY01065183",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:56:25-03","UFOP","OUPR","6624","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.","Baumgratz, J.F.","Rapalo, J.A.","s.n.","1980","05","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Mata úmida. Arbusto. Flores brancas",NA,NA,"2000","10","14401","auto",NA,NA,NA,NA
"3","2019-11-05 16:46:02-03","UFOP","OUPR","3585","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Tilesia","baccata","Tilesia baccata","(L.) Pruski","Nakajima, J.N.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,NA,NA,"2012",NA,"14401","auto",NA,NA,NA,NA
"4","2019-11-06 09:57:36-03","UFOP","OUPR","22593","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Cambess.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Mata. Trepadeira. Flores amarelas",NA,NA,"1972","11","14401","auto","09",NA,NA,NA
"5","2019-11-06 09:56:30-03","UFOP","OUPR","6648","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","dichotoma","Rhynchanthera dichotoma","(Ders.) DC.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Brejo. Arbusto. Flores purpureas",NA,NA,"1975","09","14401","auto","15",NA,NA,NA
"6","2019-11-05 16:46:02-03","UFOP","OUPR","3135","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Tilesia","baccata","Tilesia baccata","(L.) Pruski","Nakajima, J.N.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Subarbusto. Flores amarelas",NA,NA,"2012",NA,"14401","auto",NA,NA,NA,NA
"7","2019-11-05 16:45:09-03","UFOP","OUPR","14972","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","cordifolia","Mikania cordifolia","(L.f.) Willd.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Trepadeira. Flores brancas e aromáticas. Beira de estrada.",NA,NA,"1972","07","14401","auto","07",NA,NA,NA
"8","2019-11-06 09:57:10-03","UFOP","OUPR","7103","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","martiana","Polygala martiana","A.W.Benn.",NA,"Badini, J.","s.n.","1976","06","06",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Subarbusto, flores violáceas. Beira de estrada",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"9","2019-11-05 16:45:09-03","UFOP","OUPR","14602","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Melampodium","paniculatum","Melampodium paniculatum","Gardner","Kassis, A.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Erva. Flores amarelas. Beira de estrada.",NA,NA,"1972","03","14401","auto",NA,NA,NA,NA
"10","2019-11-06 09:55:40-03","UFOP","OUPR","19643","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","occidentalis","Senna occidentalis","(L.) Link.","Roschel, M.B.","Badini, J.","s.n.","1975","04","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. subrbusto. Flores amarelas",NA,NA,"2000","06","14401","auto",NA,NA,NA,NA
"11","2019-11-06 09:56:30-03","UFOP","OUPR","6649","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","dichotoma","Rhynchanthera dichotoma","(Ders.) DC.","Lisboa, M.A.","Badini, J.","s.n.","1975","09","15",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,NA,NA,"1975","09","14401","auto","24",NA,NA,NA
"12","2019-11-06 09:57:43-03","UFOP","OUPR","24044","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","A.St.-Hil.","Almeida-Lafetá, R.C.","Badini, J.","s.n.","1972","11","07",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto. Flores azuis. Beira da estrada",NA,NA,"1997","11","14401","auto","21",NA,NA,NA
