"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode","imagecode","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","infraspecificEpithet","class","order","typeStatus"
"1","2015-07-02 14:01:12-03","JBP","HPL","1861","S","Plantae","Bignoniaceae","Mansoa","alliacea","Mansoa alliacea","(Lam.) A.H. Gentry","H. Lorenzi","1997","08","15","H. Lorenzi","739","1997","08","15","Brasil","MG","Açucena","Nas proximidades da cidade.","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:03:18-03","JBP","HPL","6999","S","Plantae","Myrtaceae","Myrcia","crocea","Myrcia crocea",NA,"H. Lorenzi","2007","04","25","R. Tsuji, H. Lorenzi et al.","1578","2007","01","28","Brasil","MG","Açucena","Coletado em beira de rodovia; próximo a cidade.","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:04:05-03","JBP","HPL","10581","S","Plantae","Rubiaceae","Simira","glaziovii","Simira glaziovii",NA,"P.G. Delprete","2011","12","26","L.C. Bernacci & R. Tsuji","4449","2008","02","25","Brasil","MG","Açucena","Coletado (a partir de Naque) antes de Naque-Nanuque, na beira da estrada, próximo a uma casinha branca (Naquinho). S 19° 24' 51; W 42° 31' 45 (200 m.s.m.)","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:41:56-03","JBP","HPL","6996","S","Plantae","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1576","2007","01","28","Brasil","MG","Açucena","Coletado em beira de rodovia, próximo a cidade.","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:56-03","JBP","HPL","6998","S","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda",NA,"P.G. Delprete","2011","12","26","R. Tsuji, H. Lorenzi et al.","1579","2007","01","28","Brasil","MG","Açucena","Coletado em beira de rodovia, próximo a cidade.","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:02:47-03","JBP","HPL","6997","S","Plantae","Marantaceae","Calathea","aemula","Calathea aemula","Koern.","S. Vieira","2008","11","05","R. Tsuji, H. Lorenzi et al.","1577","2007","01","28","Brasil","MG","Açucena","Coletado em beira de rodovia, próximo a cidade.","-42.5464","-19.0731","35235","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:29:31-03","UFV","VIC","43689","PreservedSpecimen","Plantae","Mimosoideae","Stryphnodendron",NA,"Stryphnodendron",NA,"Fernandes, J.M.","2012","05","30","Fernandes, J.M.; et al.","1442","2012","05","30","Brasil","Minas Gerais","Açucena","Parque Estadual do rio corrente","-42.5463981628418","-19.0730991363525","35235","auto","Árvore 6 m, frutos imaturos.","VIC043689","VIC043689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:29:27-03","UFV","VIC","43685","PreservedSpecimen","Plantae","Mimosoideae","Piptadenia","micracantha","Piptadenia micracantha","Benth.","Fernandes, J.M.","2012","05","30","Fernandes, J.M.; et al.","1440","2012","05","30","Brasil","Minas Gerais","Açucena","Parque Estadual do rio corrente","-42.5463981628418","-19.0730991363525","35235","auto","Flores com filetes avermelhados, material para filogenia.","VIC043685","VIC043685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:29:27-03","UFV","VIC","43682","PreservedSpecimen","Plantae","Mimosoideae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F. Macbr.","Fernandes, J.M.","2012","05","30","Fernandes, J.M.; et al.","1439","2012","05","30","Brasil","Minas Gerais","Açucena","Parque Estadual do rio corrente","-42.5463981628418","-19.0730991363525","35235","auto","Flores com filetes brancos.","VIC043682","VIC043682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:12:49-03","UNICAMP","UEC","7700","S","Plantae","Fabaceae","Cleobulia","multiflora","Cleobulia multiflora","Mart. ex Benth.","Andrade, JB","1978","07",NA,"Salgado, PR; Paulino, VT","IZ688","1978","07","06","Brazil","Minas Gerais","Açucena","Fazenda Boa Sorte","-42.5463981628418","-19.0730991363525","35235","auto",NA,"UEC151549","UEC151549","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
