"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","individualCount","occurrenceRemarks","year","month","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","18","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","warasii","var. warasii","Aechmea warasii var. warasii","E.Pereira","Elton. C. M. Leme","2011","08","Roberto A. Kautsky ;","Kautsky604","Brasil","Espírito Santo","Distrito de Pontões, em Afonso Cláudio","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","51","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistropsis","billbergioides","forma billbergioides","Canistropsis billbergioides forma billbergioides","(Schult. & Schult.f.) Leme","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Roberto Menescal; R. Bello",NA,"Brasil","Espírito Santo","Afonso Cláudio","2","254","1985","07","BR 262, na entrada para Afonso Cláudio","-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","152","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","leucophoea",NA,"Neoregelia leucophoea","(Baker) L.B.Sm.","Elton. C. M. Leme","2011","08","Alvim Seidel;","Seidel1114","Brasil","Espírito Santo","Afonso Cláudio","1","254",NA,NA,NA,"-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","50","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","procerum",NA,"Nidularium procerum","Lindm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky",NA,"Brasil","Espírito Santo","Afonso Cláudio","1","254","1985","07","BR 262, na entrada para Afonso Cláudio","-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:15:18-03","NYBG","NYBG","886564","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pecluma","pectinatiformis",NA,"Pecluma pectinatiformis","(Lindm.) M.G.Price","F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4146","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886564","NY00886564",NA,NA,NA,NA,NA
"6","2019-12-16 19:15:34-03","NYBG","NYBG","886562","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","alborufulum",NA,"Polypodium alborufulum","Brade","P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4144","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886562","NY00886562",NA,NA,NA,NA,NA
"7","2019-12-16 16:39:58-03","NYBG","NYBG","02478948","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","convoluta",NA,"Selaginella convoluta","(Arn.) Spring",NA,NA,NA,"P. H. Labiak E.","4148","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY02478948","NY02478948",NA,NA,NA,NA,NA
"8","2019-12-16 16:39:59-03","NYBG","NYBG","02478937","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","sellowii",NA,"Selaginella sellowii","Hieron.",NA,NA,NA,"P. H. Labiak E.","4135","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY02478937","NY02478937",NA,NA,NA,NA,NA
"9","2019-12-16 17:28:04-03","NYBG","NYBG","391320","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","giganticarpa",NA,"Senegalia giganticarpa","(G.P.Lewis) Seigler & Ebinger","D. S. Seigler","2009",NA,"G. G. Hatschbach","65279","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1996","07","Laranja da Terra, km 10-15 da rodovia para Afonso Claudio","-41.1239","-20.0744",NA,NA,"08","South America","-41.1239","-20.0744",NA,NA,"sheet","NY00391320","NY00391320",NA,NA,NA,NA,NA
"10","2019-12-16 17:51:53-03","NYBG","NYBG","413648","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Hernandiaceae","Sparattanthelium","tupiniquinorum",NA,"Sparattanthelium tupiniquinorum","Mart.","J. A. Kallunki","1997",NA,"E. P. Heringer","14587","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1975","04","Das matas da Fazenda da Laranja da Terra. Lajinha, ES.","-41.1239","-20.0744",NA,NA,"30","South America","-41.1239","-20.0744",NA,NA,"sheet","NY00413648","NY00413648",NA,NA,NA,NA,NA
