"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","infraspecificEpithet","continentOcean","barcode","imagecode","verbatimLongitude","verbatimLatitude","preparationType","individualCount","phylum"
"1","2019-07-29 13:48:08-03","UFPI","TEPB","22032","PreservedSpecimen","Plantae","Fabaceae","Stylosanthes","guianensis","Stylosanthes guianensis","Aubl. (SW)","CHAVES, E. M. F.","2004","02","02","G.P. Silva & Abimael Gripp","293","1981","08","05","Brasil","Minas Gerais","Água Boa","Reserva Areoes km 16 em direção à BR-158","-42.3889007568359","-17.9960994720459","43846","1080","1080","Ambiente: Cerradão","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:41:52-03","JBP","HPL","9507","S","Plantae","Apocynaceae","Himatanthus",NA,"Himatanthus",NA,NA,NA,NA,NA,"R. Tsuji","2348","2007","11","30","Brasil","MG","Água Boa","Coletado nas proximidades do município de Água Boa, estrada para Malacacheta, ca. 2km após a cidade.","-42.3889","-17.9961","43846",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-06 14:49:43-03","MBM","MBM","100485","S","Plantae","Fabaceae","Mimosa","somnians","Mimosa somnians viscida","Humb. & Bonpl. ex Willd.(Willd.) Barneby","Barneby, R.",NA,NA,NA,"Irwin, H.S.; et al.; et al.","23939",NA,NA,NA,"Brazil","Minas Gerais","Água Boa","Estrada para Água Boa, ca. 52km W de Montes Claros","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto","viscida","Southern America","MBM100485","MBM100485",NA,NA,NA,NA,NA
"4","2019-12-06 14:49:43-03","MBM","MBM","100520","S","Plantae","Fabaceae","Mimosa","ursina","Mimosa ursina","Mart. ex Benth.","Barneby, R.",NA,NA,NA,"Irwin, H.S.; et al.; et al.","23924",NA,NA,NA,"Brazil","Minas Gerais","Água Boa","3km SW de água Boa, estrada para Jequitaí","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,"Southern America","MBM100520","MBM100520",NA,NA,NA,NA,NA
"5","2020-03-03 14:52:27-03","UFMA","MAR","5862","S","Plantae","Rosaceae","Prunus","myrtifolia","Prunus myrtifolia","(L.) Urb.",NA,NA,NA,NA,"R. S. Leoni","1942","1992","08","17","Brasil","Minas Gerais","Água Boa","Serra do Grama. Sopé da Pedra do Pato","-42.384417","-18.10025",NA,NA,NA,"Cresce ao lado de manacial hidrico em área, árvore ereta com 30 a 40m de altura, corola amarela",NA,NA,NA,NA,NA,"42°23'03.9W","18°06'00.9S",NA,NA,NA
"6","2019-05-02 10:53:26-03","IBt","SP-BRYOPHYTA","131793","S","Plantae","Frullaniaceae","Frullania","sp.","Frullania sp.",NA,NA,NA,NA,NA,"Vital, D.M.","5874","1976","03","28","BRASIL","Minas Gerais","Água Boa",NA,"-42.388889","-17.996111",NA,"400","400","ca. 2m up on an isolated tree trunk",NA,NA,"Southern America","SP068427",NA,"-42.388889","-17.996111",NA,NA,NA
"7","2019-12-23 08:17:55-03","ICAUFMG","MCCA","366","S","Plantae","Malvaceae","Sida",NA,"Sida",NA,"NOGUEIRA, W.C.L.","2003","01","10","NOGUEIRA, W.C.L.",NA,"2003","01","10","Brasil","Minas Gerais","Água Boa","Norte de Minas.","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,NA,"MCCA00367",NA,NA,NA,NA,NA,NA
"8","2018-10-26 11:50:19-03","Cenargen","CEN","27095","S","Plantae","Fabaceae Faboideae","Centrosema","bifidum","Centrosema bifidum","Benth.","L. P. Queiroz",NA,NA,NA,"Taciana Barbosa Cavalcanti","2343","1997","06","15","Brasil","MG","AGUA BOA","BR 158, Nova Xavantina-Água Boa,40 km de Nova Xavantina.","-52.24167","-14.41806",NA,"337","337","Liana. Flores lilases com listas brancas.",NA,NA,NA,"CEN00027095","CEN00027095","-52.24167","-14.41806","Exsicatas","4",NA
"9","2019-06-27 15:34:40-03","Cenargen","CEN","35894","S","Plantae","Fabaceae Faboideae","Dioclea","virgata","Dioclea virgata","(Rich.) Amshoff","L. P. Queiroz","2012","11",NA,"Glocimar Pereira-Silva","280","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035894","CEN00035894","-52.01667","-13.98333","Exsicatas","4",NA
"10","2019-06-27 15:34:40-03","Cenargen","CEN","35892","S","Plantae","Fabaceae Faboideae","Dioclea","cf. virgata","Dioclea cf. virgata","(Rich.) Amshoff","L. P. Queiroz","2012","11",NA,"Glocimar Pereira-Silva","278","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035892","CEN00035892","-52.01667","-13.98333","Exsicatas","4",NA
