"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","typeStatus","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem","sex"
"1","2019-12-16 18:56:52-03","NYBG","NYBG","1018890","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","Pilocarpus","J. A. Kallunki","M. M. Saavedra","683","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro, propriedade do S. João Ferreira, Pedra da Bandeira.","-40.6614","-18.9806","-40.6614","-18.9806","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018890","NY01018890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:01-03","NYBG","NYBG","1018783","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper cernuum","E. F. Guimarães","M. M. Saavedra","671","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018783","NY01018783","cernuum","Vell.","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:18-03","NYBG","NYBG","1018781","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper gaudichaudianum","E. F. Guimarães","M. M. Saavedra","660","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018781",NA,"gaudichaudianum","Kunth","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:37:06-03","NYBG","NYBG","1018782","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper umbellatum","E. F. Guimarães","M. M. Saavedra","665","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018782","NY01018782","umbellatum","L.","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:26:37-03","NYBG","NYBG","2423189","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma marinana",NA,"R. Goldenberg","2171","2015","05","13","South America","Brazil","Espírito Santo","Aguia Branca","Corrego Taquaral, Lajão do Zé Rochinha.","-40.7402992248535","-18.9831008911133",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423189","NY02423189","marinana","P.J.F.Guim. & Fraga",NA,"19701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:26:37-03","NYBG","NYBG","02256166","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma penduliflora","C. N. Fraga","V. Demuner","Herb. MBML no.026354","2006","04","27","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02256166","NY02256166","penduliflora","Fraga & P.J.F.Guim.","2013",NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:26:37-03","NYBG","NYBG","879070","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma penduliflora",NA,"V. Demuner","2441","2006","06","07","South America","Brazil","Espírito Santo","Aguia Branca","Rochedo, propr.: Arlindo Breda","-40.8003","-18.945","-40.8003","-18.9450","450","550","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879070","NY00879070","penduliflora","Fraga & P.J.F.Guim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:55:07-03","NYBG","NYBG","2212794","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","Protium widgrenii",NA,"V. Demuner","4544","2007","11","20","South America","Brazil","Espírito Santo","Aguia Branca","Pedra Redonda, propr. Jorge Wroblewski.","-40.7694","-18.9756","-40.7694","-18.9756","300","550","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355606 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02212794","NY02212794","widgrenii","Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:31:44-03","NYBG","NYBG","1039385","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","Psidium brownianum",NA,"M. C. Souza","614","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro. Propriedade Sr. João Ferreira, Pedra da Bandeira.","-40.6511","-18.9681","-40.6511","-18.9681","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039385","NY01039385","brownianum","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:40:12-03","NYBG","NYBG","3908571","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora",NA,"V. Demuner","2936","2006","10","18","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908571","NY03908571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
