"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","typeStatus"
"1","2019-12-16 17:11:32-03","NYBG","NYBG","02447573","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","gardneri","Pouteria gardneri","(Mart. & Miq.) Baehni","A. A. da Luz","190","2004","05","17","South America","Brazil","Minas Gerais","Aimorés","Estrada do mirante a mina Brucutu.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447573","NY02447573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:12:04-03","NYBG","NYBG","02447564","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"D. A. Folli","3793","2001","01","02","South America","Brazil","Minas Gerais","Aimorés","Instituto Terra. Estrada das Aroeiras.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447564","NY02447564","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:27:45-03","NYBG","NYBG","00934961","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","brenanii","Pseudopiptadenia brenanii","G.P.Lewis & M.P.Lima","E. T. Neto","2441","1997","10","28","South America","Brazil","Minas Gerais","Aimorés","Aimorés. UHE Aimorés. Fazenda Sr. Varejao","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00934961","NY00934961",NA,NA,"G. P. Lewis","2001","01","15",NA,NA,NA,NA,NA
"4","2019-12-16 17:28:01-03","NYBG","NYBG","00980259","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pterogyne","nitens","Pterogyne nitens","Tul.","E. T. Neto","2365","1997","03","26","South America","Brazil","Minas Gerais","Aimorés","Aimorés. UHE Aimorés. Margem direita do rio Manhuaçu","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091806 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00980259","NY00980259",NA,NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:52:33-03","NYBG","NYBG","02431763","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","245","2004","10","07","South America","Brazil","Minas Gerais","Aimorés","estrada do Viveiro.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431763","NY02431763","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:52:33-03","NYBG","NYBG","02431764","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","245","2004","10","07","South America","Brazil","Minas Gerais","Aimorés","estrada do Viveiro.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431764","NY02431764","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:52:33-03","NYBG","NYBG","02431760","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","36","2001","12","06","South America","Brazil","Minas Gerais","Aimorés","próximo a sede.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431760","NY02431760","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:59:07-03","NYBG","NYBG","1280688","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Toulicia","laevigata","Toulicia laevigata","Radlk.","A. A. da Luz","28","2001","10","10","South America","Brazil","Minas Gerais","Aimorés","próximo a sede.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1619103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280688","NY01280688","54161","auto","P. Acevedo-Rodríguez","2008",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:37:42-03","NYBG","NYBG","949009","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","E. T. Neto","2352","1997","01","29","South America","Brazil","Minas Gerais","Aimorés","Aimorés. Margem direita do rio Manhuaçu.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00949009","NY00949009",NA,NA,"E. Tameirão Neto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:55:59-03","NYBG","NYBG","1146396","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","A. A. da Luz","151","2004","01","28","South America","Brazil","Minas Gerais","Aimorés","Penha do Capim à Mutum Km 1.5.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339398 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01146396","NY01146396",NA,NA,"T. D. Pennington","2006",NA,NA,NA,NA,NA,NA,NA
"11","2019-02-22 15:20:49-03","ESALQ","ESA","123524","S","Plantae","Magnoliophyta",NA,"Lauraceae","Mezilaurus","crassiramea","Mezilaurus crassiramea",NA,"Luz, A.A.","56","2002","04","17",NA,"Brasil","Minas Gerais","Aimorés","Santa Rita do Itueto. Estrada Quantituba a Santa Rira do Itueto Km 0.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA123524",NA,"54161","auto","Van der Werff, H.","2005","06","02",NA,NA,NA,NA,NA
"12","2019-07-11 08:51:12-03","ESALQ","ESA","76949","S","Plantae","Magnoliophyta",NA,"Cyperaceae","Cyperus","mutisii","Cyperus mutisii","(H.B.K.) Griseb.","Vasconcelos, M.F.","BHCB 39985","1997","10","21",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA076949","ESA076949","54161","auto","Kral, R.",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-07-11 08:54:54-03","ESALQ","ESA","132576","S","Plantae","Magnoliophyta",NA,"Meliaceae","Trichilia","hirta","Trichilia hirta",NA,"Luz, A.A.","151","2004","01","28",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA132576",NA,"54161","auto","Flores, T.B.","2014",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-22 15:24:06-03","ESALQ","ESA","132656","S","Plantae","Magnoliophyta",NA,"Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis",NA,"Luz, A.A.","364","2006","11","30",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA132656",NA,"54161","auto","Pastore, J.A.","2008","03","28",NA,NA,NA,NA,NA
"15","2015-07-02 14:55:23-03","JBP","HPL","13465","S","Plantae",NA,NA,"Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis",NA,"G. Olsthoorn","445","2013","10","29",NA,"Brasil","MG","Aimorés","BR-259, Pedra Lorena, ao lado da hidroelétrica de Aimorés no rio Doce.","-41.095833","-19.455","41° 05' 45 W","19° 27' 18 S",NA,NA,NA,NA,NA,NA,"G. Olsthoorn","2013","10","29","441","441",NA,NA,NA
"16","2020-03-10 08:29:30-03","UFV","VIC","46411","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","A.A. da Luz","322","2006","04","04",NA,"Brasil","Minas Gerais","Aimorés","Córrego Ventureiro.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Pasto. Árvore, 7m; flor branca; exsudação incolor.; Árvore, 7m; flor branca; exsudação incolor.; Pasto.","VIC046411","VIC046411","54161","auto","Terra, V.","2014","03",NA,NA,NA,NA,NA,NA
"17","2020-03-10 08:30:15-03","UFV","VIC","8453","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.","Santana, E.O. de","s.n.","1983","06","23",NA,"Brasil","Minas Gerais","Aimorés","Fazenda Barra de Manhuaçú - Sr. João G. Fava","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Folha de coloração vermelho-arroxeado. Praga em cultura de arroz alagado.","VIC008453","VIC008453","54161","auto","Vieira, M.F.","1983","06","27",NA,NA,NA,NA,NA
