"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","recordNumber","locality","phylum","continentOcean","imagecode"
"1","2019-11-04 10:48:49-03","UFRJ","RFA","13846","Preservedecimen","Plantae","Rubiaceae","Galianthe","valerianoides","Galianthe valerianoides","(Cham. & Schltdl.) E.L.Cabral","E. Cabral","1993","A. P. Duarte","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Planta de brejo perenne, pode atingir até 1,80m de alt., caule fistuloso.","RFA12403","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-04 10:48:15-03","UFRJ","RFA","8471","Preservedecimen","Plantae","Plantaginaceae","Bacopa","congesta","Bacopa congesta","Chodat & Hassl.","V.C. Souza","2009","Aparicio Pereira Duarte","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Flores alaranjadas","RFA27574","auto","01","27","10395",NA,NA,NA,NA
"3","2019-11-04 10:48:46-03","UFRJ","RFA","8458","Preservedecimen","Plantae","Rubiaceae","Borreria","valerianoides","Borreria valerianoides","Cham. & Schltdl.",NA,NA,"A. P. Duarte","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Pode atingir até 1,80 m de altura, caule fistuloso","RFA27570","auto",NA,NA,"10397","BR 3",NA,NA,NA
"4","2019-11-04 10:44:07-03","UFRJ","RFA","8468","Preservedecimen","Plantae","Asteraceae",NA,NA,NA,NA,NA,NA,"A.P. Duarte","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Planta do Brejo com flores amarelas","RFA39491","auto",NA,NA,"10396","BR-3",NA,NA,NA
"5","2019-02-15 11:49:31-02","IPA","IPA","14891","S","Plantae","Rubiaceae","Galianthe","valerianoides","Galianthe valerianoides","(Cham. & Schltdl.) E.L. Cabral","Kirkbride, J.H.","1982","Duarte, A.P.","1967","01","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Planta de brejo perene, pode atingir até 1m de alto, caule fistuloso.","IPA0014891","auto","01",NA,"10397",NA,"Plantae","Southern America",NA
"6","2019-11-21 14:51:21-03","UFJF","CESJ","27571","PreservedSpecimen","Plantae","Anemiaceae","Anemia","ferruginea","Anemia ferruginea","Humb. & Bonpl. ex Kunth","A. Salino","2005","S.E.L. Galvão","1988","02","16","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Em campo de altitude, terreno arenoso.","CESJ027571","auto",NA,NA,"s.n.",NA,"Polypodiopsida","América do Sul","CESJ027571"
"7","2019-11-21 14:51:21-03","UFJF","CESJ","27575","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.",NA,NA,"S.E.L. Galvão","1988","02","16","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Na mata, em lugares sombreados, à beira de rio.","CESJ027575","auto",NA,NA,"s.n.",NA,"Polypodiopsida","América do Sul","CESJ027575"
"8","2019-11-21 14:51:21-03","UFJF","CESJ","27573","PreservedSpecimen","Plantae","Anemiaceae","Anemia","ouropretana","Anemia ouropretana","Christ","A. Salino","2005","S.E.L. Galvão","1988","02","16","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742","Na mata, em lugares sombreados.","CESJ027573","auto","07",NA,"s.n.",NA,"Polypodiopsida","América do Sul","CESJ027573"
"9","2019-10-11 11:16:30-03","UFPR","UPCB","66418","PreservedSpecimen","Plantae","Lamiaceae",NA,NA,NA,NA,NA,NA,"Duarte, A.P.","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742",NA,NA,"auto",NA,NA,"10395","BR3",NA,NA,NA
"10","2015-12-02 09:38:57-02","UnB","UB","121943","S","Plantae","Asteraceae","Leptostelma","tweediei","Leptostelma tweediei","(Hook. & Arn.) D.J.N. Hind & G.L. Nesom","Heiden, G","2011","Duarte, AP","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742",NA,NA,"auto","04",NA,"10396","BR-3","Dicotyledoneae","Southern America",NA
"11","2015-12-02 09:57:55-02","UnB","UB","176436","S","Plantae","Rubiaceae","Galianthe","valerianoides","Galianthe valerianoides","(Cham. & Schltdl.) E.L. Cabral","Delprete, PG","1998","Duarte, AP","1967","02","22","Brasil","Minas Gerais","Alfredo Vasconcelos","-43.7769012451172","-21.145299911499","17742",NA,NA,"auto",NA,NA,"10397","BR-3","Dicotyledoneae","Southern America",NA
