"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","monthIdentified","dayIdentified","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","940","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","leonii","Anthurium leonii","E.G.Gonç.","2009","Eduardo G. Gonçalves;","EGG725","Brasil","Minas Gerais","Alto caparaó","Parque Nacional do Caparaó","-41.8683013916016","-20.4333000183105","21645","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","3424","S","Plantae","Magnoliophyta",NA,"Poales","Bromeliaceae","Billbergia","vittata","Billbergia vittata","Brongn. ex Morel","2010","Machado,T.M.; Stehmann, J.R.; Martins da Costa, I","195","Brasil","Minas Gerais","Alto Caparaó","Vale Verde","-41.8683013916016","-20.4333000183105","21645","1","254","auto","Machado, T.M.","10","24","2010","10","24","41°50' 34,9","20°25' 11,2","1416","1416",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","2353","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Hippeastrum","sp.","Hippeastrum sp.",NA,"2012","Fernando Moreira Fernandes;",NA,"Brasil","Minas Gerais","Alto caparaó","Serra do Caparaó","-41.8683013916016","-20.4333000183105","21645","1","254","auto","Carlos A. Ferreira Jr.","01",NA,"2012","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3425","S","Plantae","Magnoliophyta",NA,"Poales","Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","2010","Machado,T.M.; Stehmann, J.R.; Martins da Costa, I","200","Brasil","Minas Gerais","Alto Caparaó","Vale Verde","-41.8683013916016","-20.4333000183105","21645","1","254","auto","Machado, T.M.","10","24","2010","10","24","41° 50'34,9","20°25' 11,2","1416","1416",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 16:36:18-03","NYBG","NYBG","02280092","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Phyllogoniaceae","Phyllogonium","viride","Phyllogonium viride","Brid.",NA,"P. E. A. S. Câmara","3238","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280092",NA,NA,NA,NA,NA
"6","2019-12-16 16:34:55-03","NYBG","NYBG","02280096","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Lembophyllaceae","Pilotrichella","flexilis","Pilotrichella flexilis",NA,NA,"P. E. A. S. Câmara","3242","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615209 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280096",NA,NA,NA,NA,NA
"7","2019-12-16 16:38:15-03","NYBG","NYBG","02280118","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Rhizogoniaceae","Pyrrhobryum","spiniforme","Pyrrhobryum spiniforme","(Hedw.) Mitt.",NA,"P. E. A. S. Câmara","3272","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615236 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280118",NA,NA,NA,NA,NA
"8","2019-12-16 16:34:06-03","NYBG","NYBG","02280089","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Hedwigiaceae","Rhacocarpus","inermis","Rhacocarpus inermis","(Müll.Hal.) Lindb.",NA,"P. E. A. S. Câmara","3234A","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280089",NA,NA,NA,NA,NA
"9","2019-12-16 16:31:36-03","NYBG","NYBG","02280117","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Brachytheciaceae","Rhynchostegium","brevicuspis","Rhynchostegium brevicuspis","Müll.Hal.",NA,"P. E. A. S. Câmara","3271","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615235 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280117",NA,NA,NA,NA,NA
"10","2019-12-16 16:31:36-03","NYBG","NYBG","02280105","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Brachytheciaceae","Rhynchostegium","fissidentellum","Rhynchostegium fissidentellum","Besch.",NA,"P. E. A. S. Câmara","3257","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615220 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280105",NA,NA,NA,NA,NA
