"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified"
"1","2019-12-16 18:21:06-03","NYBG","NYBG","00909203","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","(A.St.-Hil.) DC.","J. J. Wurdack","1992","G. G. Hatschbach","55425","1991","06","13","South America","Brazil","Minas Gerais","Alto Jequitibá","Rod. BR-111, Vargem Grande, Pres. Soares (old train station).","-41.986301","-20.472724","-41.986301","-20.472724","800","800","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00909203","NY00909203",NA,NA,NA,NA
"2","2019-12-16 18:28:20-03","NYBG","NYBG","1522625","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","(D.Don) Cogn.","L. de S. Leoni","2006","L. de S. Leoni","6533","2006","07","05","South America","Brazil","Minas Gerais","Alto Jequitibá",NA,"-41.9664001464844","-20.423900604248",NA,NA,"860","860","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01522625","NY01522625","13125","auto",NA,NA
"3","2020-02-13 14:13:09-03","MN","R","215266","S","Plantae",NA,NA,"Podostemaceae","Podostemum","weddellianum","Podostemum weddellianum","(Tul.) C.T. Philbrick & Novelo",NA,NA,"Bove, C.P.; Costa, W. & Costa, B.B.","1082","2002","12","24",NA,"Brasil","Minas Gerais","Alto Jequitibá",NA,"-41.9664001464844","-20.423900604248",NA,NA,NA,NA,"Álcool 70%","Coleção líquida Podostemaceae",NA,NA,"13125","auto",NA,NA
"4","2020-03-10 08:29:15-03","UFV","VIC","34733","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Calliandra","parvifolia","Calliandra parvifolia","(Hook. & Arn.) Speg.","Fernandes, J.M.","2011","Leoni, L.S.","6643","2006","11","08",NA,"Brasil","Minas Gerais","Alto Jequitibá",NA,"-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Árvore, ereta, c.a. de 16-20 metros de altura; filmento de coloração rosa-vináceo. Projeto UFES.","VIC034733","VIC034733","13125","auto","05","17"
"5","2020-03-10 08:29:36-03","UFV","VIC","21919F","PreservedSpecimen","Plantae",NA,NA,"Mycosphaerellaceae","Mycovellosiella","lantanae","Mycovellosiella lantanae","(Chupp) Deighton",NA,NA,"Pereira, Mauricio J","138","1996","12","17",NA,"Brasil","Minas Gerais","Alto Jequitibá","Sítio Elias Medeiros","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Lantana camara L.","VIC21919F",NA,"13125","auto",NA,NA
"6","2020-03-10 08:29:36-03","UFV","VIC","21920F","PreservedSpecimen","Plantae",NA,NA,"Mycosphaerellaceae","Mycovellosiella","lantanae","Mycovellosiella lantanae","(Chupp) Deighton",NA,NA,"Pereira, Mauricio J","139","1996","12","17",NA,"Brasil","Minas Gerais","Alto Jequitibá","Sítio Elias Medeiros","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Lantana camara L.","VIC21920F",NA,"13125","auto",NA,NA
"7","2019-11-21 14:46:04-03","UFJF","CESJ","62269","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Capsicum","mirabile","Capsicum mirabile","Mart.","J.R. Stehmann","2010","A.K.L.Venda; R.C. Forzza; J.R. Stehmann","54","2010","12","03","América do Sul","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita (...).","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Folhas verdes, sépala verde, pétalas brancas com o interior marron (...).","CESJ062269",NA,"13125","auto","12","03"
"8","2020-02-10 17:48:50-03","UNICAMP","UEC","158474","S","Plantae","Liliopsida",NA,"Commelinaceae","Dichorisandra","incurva","Dichorisandra incurva","Mart.",NA,NA,"Aona, LYS; Edwards, S; Zappi, DC","911","2004","11","28",NA,"Brazil","Minas Gerais","Alto Jequitibá","7km da cidade em direção a Alto Caparaó.","-41.9","-21.566667","-41.9","-21.566667","1160","1160",NA,"Erva rizomatosa, decumbente 3m compr., flores alvas.","UEC015560","UEC015560",NA,NA,NA,NA
"9","2019-08-20 10:26:17-03","UNICAMP","UEC","30807","S","Plantae","Magnoliopsida",NA,"Scrophulariaceae","Buddleja","stachyoides","Buddleja stachyoides","Cham. & Schltdl.","Martins, SE","2004","Duarte, AP","8779","1965","02","02",NA,"Brazil","Minas Gerais","Alto Jequitibá","Terra dos Cristais.","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Planta de comunidade secundária.","UEC103001","UEC103001","13125","auto","10","14"
"10","2019-10-02 15:02:56-03","UFMG","BHCB","147105","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Abatia","brasiliensis","Abatia brasiliensis","Baill.",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","49","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.843222","-20.409264","-41.843222","-20.409264","1774","1774",NA,"Arbusto ca. 1m. Folhas verdes, pecíolo castanho, sépalas esverdeadas, pétalas e estames amarelos.",NA,NA,NA,NA,NA,NA
"11","2019-10-02 14:55:03-03","UFMG","BHCB","147104","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Aegiphila",NA,"Aegiphila",NA,NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","48","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.843222","-20.409264","-41.843222","-20.409264","1774","1774",NA,"Folhas verdes, cálice verde com indumento castanho, pétalas e estames alvos.",NA,NA,NA,NA,NA,NA
"12","2019-10-02 15:03:25-03","UFMG","BHCB","147108","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Athenaea","cuspidata","Athenaea cuspidata","Witasek",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","52","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.843222","-20.409264","-41.843222","-20.409264","1774","1774",NA,"Arbusto. Folhas verdes, cálice verde, fruto verde.",NA,NA,NA,NA,NA,NA
"13","2019-10-02 15:03:36-03","UFMG","BHCB","147103","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora","(Pohl) D.Don",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","47","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.849528","-20.423644","-41.849528","-20.423644","1388","1388",NA,"Arbusto ca. de 2 m. Folhas verdes, cálice verde corola rosada, flores senescentes esbranquiçadas.",NA,NA,NA,NA,NA,NA
"14","2019-10-02 15:02:13-03","UFMG","BHCB","147101","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Chomelia",NA,"Chomelia",NA,NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","45","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nebular na Cachoeira Bonita.","-41.837639","-20.406222","-41.837639","-20.406222","1837","1837",NA,"Folhas verdes, corola alva, brácteas passdas vináceas e verdes na floração. Fruto roxo.",NA,NA,NA,NA,NA,NA
"15","2019-12-23 17:49:09-03","UFMG","BHCB","147106","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae",NA,NA,NA,"Lindl.",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","50","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.843222","-20.409264","-41.843222","-20.409264","1774","1774",NA,"Arbusto 1,70m de altura. Folhas verdes, sépala verde, corola amarela.",NA,NA,NA,NA,NA,NA
"16","2019-12-23 17:49:09-03","UFMG","BHCB","147107","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae",NA,NA,NA,"Lindl.",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","51","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.","-41.843222","-20.409264","-41.843222","-20.409264","1774","1774",NA,"Folhas verdes, cálice verde no botão, castanho na flor. Corola rosa.",NA,NA,NA,NA,NA,NA
"17","2019-10-02 14:54:54-03","UFMG","BHCB","147099","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Nematanthus","fornix","Nematanthus fornix","(Vell.) Chautems",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","43","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nebular na Cachoeira Bonita.","-41.837639","-20.406222","-41.837639","-20.406222","1837","1837",NA,"Epífita ca. de 4 metros. Flhas verdes, sépala verde, pétala vermelha.",NA,NA,NA,NA,NA,NA
"18","2019-10-02 15:06:07-03","UFMG","BHCB","147111","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","bicolor","Nidularium bicolor","Uel",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","55","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nbular da Cachoeira Bonita.","-41.837694","-20.40575","-41.837694","-20.40575","1849","1849",NA,"Epífita na base do forófito. Folhas verdes, escapo alvo, brácteas do escapo verdes, brácteas primárias com a base verde e o ápice vermelho. Bráctea floral alva ou esverdeada. Sépala alva ou levemete avermelhada no ápice. Pétala alva com o ápice purpu",NA,NA,NA,NA,NA,NA
"19","2019-10-02 15:06:07-03","UFMG","BHCB","147112","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","56","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nbular da Cachoeira Bonita.","-41.837694","-20.40575","-41.837694","-20.40575","1849","1849",NA,"Terrestre. Folhas com bainha levemente avermelhadas e com listas castanhas. Escapo alvo, brácteas do escapo esverdeados, bráctea primária vermelha, bráctea floral com base esverdeada e ápice vermelho. Sépala esverdeada ou com o ápice vermelho, pétal",NA,NA,NA,NA,NA,NA
"20","2019-10-02 15:02:05-03","UFMG","BHCB","147098","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","42","2010","12","03","Southern America","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nebular na Cachoeira Bonita.","-41.837639","-20.406222","-41.837639","-20.406222","1837","1837",NA,"Arbusto ca. 1 metro. Folhas verdes, botões florais verdes e fruto roxo.",NA,NA,NA,NA,NA,NA
