"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified"
"1","2019-12-16 18:36:00-03","NYBG","NYBG","00957266","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","arboreum","latifolium","Piper arboreum latifolium","(C.DC.) Yunck.","T. G. Yuncker","J. Vidal","1164","1944","07","South America","Brazil","Minas Gerais","Alto Rio Doce","Alto Rio Doce.","-43.4114","-21.0258","-43.4114","-21.0258","850","850","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957266","NY00957266",NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:26:37-03","NYBG","NYBG","1747414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","campestris",NA,"Muellera campestris","(Mart. ex Benth.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","G. M. Magalhaes","5019","1959","06","South America","Brazil","Minas Gerais","Alto Rio Doce","Subarbusto da cidade.","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1992618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01747414","NY01747414","2010","12","18968","auto",NA,NA
"3","2019-12-12 15:31:31-03","UFABC","HUFABC","001358","PreservedSpecimen","Plantae",NA,NA,"Lejeuneaceae","Mastigolejeunea","auriculata",NA,"Mastigolejeunea auriculata","(Wilson) Schiffn.","Peralta, DF","Vital, DM","8883","1980","04",NA,"Brasil","Minas Gerais","Alto Rio Doce","Parque Florestal do Rio Doce","-42.37","-19.45","-42.37","-19.45","200","200",NA,"sobre tronco de árvore viva, nos bordos da lagoa Don Helvécio","HUFABC001358",NA,"2017","14",NA,NA,"08",NA
"4","2019-07-11 08:54:24-03","ESALQ","ESA","125706","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","albicans",NA,"Miconia albicans",NA,NA,"Wendt, T. ; Oliveira, C.L.","11","1985",NA,NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,"ESA125706","ESA125706",NA,NA,"18968","auto",NA,NA
"5","2019-07-11 10:13:51-03","ESALQ","ESA","123535","S","Plantae","Magnoliophyta",NA,"Salicaceae","Casearia","sylvestris",NA,"Casearia sylvestris",NA,"Marquete, R.","Wendt, T. ; Oliveira, C.L.","4","1985","08",NA,"Brasil","Minas Gerais","Alto Rio Doce","A 8 Km do destero do Melo.","-43.4113998413086","-21.0258007049561",NA,NA,"650","650",NA,NA,"ESA123535",NA,"2000","24","18968","auto","08","15"
"6","2020-02-13 14:07:34-03","MN","R","42504","S","Plantae",NA,NA,"Asteraceae","Eupatorium","vitalbae",NA,"Eupatorium vitalbae","DC.",NA,"Vidal, J.","3595","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA
"7","2020-02-13 14:08:19-03","MN","R","42498","S","Plantae",NA,NA,"Caprifoliaceae","Valeriana","scandens","var.scandens","Valeriana scandens var.scandens","L.","F. G. Meyer","Vidal, J.",NA,"1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,NA,NA,"1971",NA,"18968","auto","06",NA
"8","2020-02-13 14:07:34-03","MN","R","42496","S","Plantae",NA,NA,"Asteraceae","Eupatorium","vitalbae",NA,"Eupatorium vitalbae","DC.",NA,"Vidal, J.","I 162","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA
"9","2020-02-13 14:13:23-03","MN","R","42490","S","Plantae",NA,NA,"Salicaceae",NA,NA,NA,NA,NA,NA,"Vidal, J.","I 170","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Dôce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA
"10","2019-02-15 11:36:43-02","IPA","IPA","59466","S","Plantae","Plantae",NA,"Commelinaceae","Commelina","benghalensis",NA,"Commelina benghalensis","L.","Roxana Barreto","Pereira, A.A.","s.n.","2000","05","Southern America","Brasil","Minas Gerais","Alto Rio Doce","Fazenda Brejetuba, propriedade do Sr. André Mattos.","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"Folhas de cor verde clara, com pilosidade esbranquiçada. Flores com as duas pétalas iguais em forma e cor azul arroxeada e uma pétalas diferente e de cor esbranquiçada. Produziu muitas flores e sementes nas condições de cultivo.","IPA0059466",NA,"2000","23","18968","auto","06","12"
