"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","basisOfRecord","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","continentOcean","coordinatePrecision","geoFlag","preparationType","individualCount"
"1","2017-09-14 11:44:14-03","MBML","MBML-HERBARIO","46984","Plantae","Compositae","Baccharis","dracunculifolia","Baccharis dracunculifolia","A. M. Assis; A. Wieringa","2086","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Monte Carmelo - macega","-40.970556","-19.111389","40W58'14","19S6'41","615","615","Arbusto 2m. Flores brancas. Nome popular: alecrim. Projeto APES - Flora Apícola - SEBRAE.","MBML046984","MBML046984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-09-14 11:44:14-03","MBML","MBML-HERBARIO","46848","Plantae","Compositae","Baccharis","serrulata","Baccharis serrulata","A. M. Assis; A. Wieringa","2090","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Margens da Rodovia ES 164 - macega","-40.899944","-19.140278","40W53'59,8","19S8'25","400","400","Subarbusto 1,5m. Frutos secos. Nome popular: canela de velho. Projeto APES - Flora Apícola - SEBRAE","MBML046848","MBML046848","G. Heiden/05-04-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-09-14 11:44:14-03","MBML","MBML-HERBARIO","50709","Plantae","Compositae","Baccharis","serrulata","Baccharis serrulata","A. M. Assis; A. Wieringa","2087","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Monte Carmelo - macega","-40.970556","-19.111139","40W58'14","19S6'40,1","615","615","Arbusto 1m; flores roxas. (Material encontrava-se, costurado junto com uma outra coleta, de Baccharis serrulata #?# MBML 47008)","MBML050709","MBML050709","G. Heiden/07-04-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-05 14:35:54-03","MBML","MBML-HERBARIO","46556","Plantae","Scrophulariaceae","Buddleja",NA,"Buddleja","A. M. Assis; A. Wieringa","2103","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Margens da Rodovia ES 164 - macega","-40.899944","-19.140278","40W53'59,8","19S8'25","400","400","Subarbusto 1m, flores amarelas. Nome popular: catinga de bode. Projeto APES - Flora Apícola - SEBRAE","MBML046556","MBML046556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","46493","Plantae","Compositae",NA,NA,NA,"A. M. Assis; A. Wieringa & P. Angonesi","2085","2009","09","16","Brasil","Espírito Santo","Alto Rio Novo","Margens da Rodovia ES 164 - estágio médio de floresta estacional semidecidual","-40.990139","-19.071667","40W59'24,5","19S4'18","490","490","Liana, flores brancas","MBML046493","MBML046493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","46843","Plantae","Compositae",NA,NA,NA,"A. M. Assis; A. Wieringa","2094","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Margens da Rodovia ES 164 - macega","-40.899944","-19.140278","40W53'59,8","19S8'25","400","400","Liana, frutos brancos","MBML046843","MBML046843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-09-14 11:44:21-03","MBML","MBML-HERBARIO","47008","Plantae","Compositae","Cyrtocymura","scorpioides","Cyrtocymura scorpioides","A. M. Assis; A. Wieringa","2087","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Monte Carmelo - macega","-40.970556","-19.111139","40W58'14","19S6'40,1","615","615","Arbusto 1m; flores roxas. (Material encontrava-se, costurado junto com uma outra coleta, de Baccharis serrulata #?# MBML 50709)","MBML047008","MBML047008","G. Heiden/07-04-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-05-09 14:19:57-03","MBML","MBML-HERBARIO","46933","Plantae","Leguminosae Mimosoideae","Inga",NA,"Inga","A. M. Assis; A. Wieringa","2088","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Margens da Rodovia ES 164 - estágio médio de floresta estacional semidecidual","-40.990139","-19.071667","40W59'24,5","19S4'18","490","490","Árvore 10m. Flores brancas. Nome popular: ingá. Projeto APES - Flora Apícola - SEBRAE.","MBML046933","MBML046933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-05-09 14:19:57-03","MBML","MBML-HERBARIO","46983","Plantae","Leguminosae Mimosoideae","Inga",NA,"Inga","A. M. Assis; A. Wieringa","2095","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Monte Carmelo - macega","-40.970556","-19.111389","40W58'14","19S6'41","615","615","Árvore 8m. Frutos verdes. Nome popular: ingá. Projeto APES - Flora Apícola - SEBRAE.","MBML046983","MBML046983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-05-09 14:20:13-03","MBML","MBML-HERBARIO","46929","Plantae","Leguminosae Mimosoideae","Piptadenia","adiantoides","Piptadenia adiantoides","A. M. Assis; A. Wieringa","2089","2009","09","23","Brasil","Espírito Santo","Alto Rio Novo","Monte Carmelo - macega","-40.970556","-19.111389","40W58'14","19S6'41","615","615","Liana. Frutos secos","MBML046929","MBML046929","L.A.Silva/01-10-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
