"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","dayIdentified"
"1","2013-07-03 10:35:05-03","EBDA","BAH","8044","S","Plantae","Boraginaceae","Cordia","trichotoma","Cordia trichotoma","(Vell.) Arráb. ex Steud.","Angela Ma. F. Vaz","1982","12","J.C.A. de Lima,","25","1981","05","18","Brasil","Minas Gerais","Alvarenga","-41.8","-19.366667","41W 48' 00","19S 22' 00","Árvore com 6,0m de altura, fuste em torno de 0,15 m e diâmetro de copa de 4m; botão e cálice esverdeados, corola branca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:11-03","UFBA","ALCB","129576","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","squalida","Chromolaena squalida","(DC.) R.M.King & H.Rob.","Siniscalchi, CM","2016","06","Siniscalchi, CM; Louille, BFP; Oliveira, CT","505","2014","08","04","Brasil","Minas Gerais","Alvarenga","-41.673889","-19.4025","-41.673889","-19.4025","Ereto, ca 1,5m de altura. folhas brilhantes, capítulos velhos com brácteas involucrais amarronzadas, pápus alvo.; Mata.","Dicotyledon","Southern America","Pico da Aliança. Subida do pico. Mata ao redor do córrego.","924","924","ALCB047173","ALCB047173",NA,NA,NA,NA
"3","2019-10-09 11:10:30-03","UFBA","ALCB","129560","PreservedSpecimen","Plantae","Asteraceae","Hetecocondylus","alatus","Hetecocondylus alatus","(Vell.) R.M.King & H.Rob.","Siniscalchi, CM","2016","06","Siniscalchi, CM","506","2017","08","04","Brasil","Minas Gerais","Alvarenga","-41.673889","-19.401667","-41.673889","-19.401667","Ereto, não ramificado, até 2 m de alturas, folhas discolores, pegajosas, inflourescências avermelhadas, brácteas involucrais vináceas.; Mata Alterada","Dicotyledon","Southern America","Pico da Aliança. Subida do Pico.","924","924","ALCB047157","ALCB047157",NA,NA,NA,NA
"4","2019-10-09 11:10:41-03","UFBA","ALCB","129592","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","opposita","Lepidaploa opposita","A.Teles, Sobral & J.N.Nakaj","Siniscalchi, CM","2016","06","Siniscalchi, CM; Louille, BFP; Oliveira, CT","508","2014","08","04","Brasil","Minas Gerais","Alvarenga","-41.6725","-19.402778","-41.6725","-19.402778","ca 1m de altura. Folhas subcarnosas discolores, ramos vináceos. Flores alvas, brácteas involucrais verde-claras.; Mata do pasto próxima","Dicotyledon","Southern America","Pico da Aliança. Subida do pico.","943","943","ALCB047189","ALCB047189",NA,NA,NA,NA
"5","2019-07-11 08:48:38-03","ESALQ","ESA","134847","S","Plantae","Orchidaceae","Hoffmannseggella","alvarenguensis","Hoffmannseggella alvarenguensis","Campacci","Campacci, M.A.",NA,NA,"Leitão, R.V.","3330","2012","06","01","Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,NA,NA,NA,NA,NA,NA,"ESA134847",NA,"23151","auto",NA,NA
"6","2019-07-11 08:48:38-03","ESALQ","ESA","134839","S","Plantae","Orchidaceae","Hoffmannseggella","nevesii","Hoffmannseggella nevesii","Campacci","Campacci, M.A.",NA,NA,"Leitão, R.V.","188",NA,NA,NA,"Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,NA,NA,NA,NA,NA,NA,"ESA134839",NA,"23151","auto",NA,NA
"7","2019-11-21 14:54:02-03","UFJF","CESJ","72286","PreservedSpecimen","Plantae","Pteridaceae","Adiantum",NA,"Adiantum",NA,"V.A.O. Dittrich","2015","06","V.A.O. Dittrich","2152","2015","06","06","Brasil","Minas Gerais","Alvarenga","-41.642444","-19.422472","-41.642444","-19.422472","Terrícola em Floresta Estacional Semidecidual, à beira de estrada de terra","Polypodiopsida","América do Sul","Proximidades de Barra Mansa, na estrada para São José do Itueto, na margem esquerda do rio Manhuaçu","255","255","CESJ072286",NA,NA,NA,NA,NA
"8","2019-11-21 14:54:02-03","UFJF","CESJ","72288","PreservedSpecimen","Plantae","Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","V.A.O. Dittrich","2019","04","V.A.O. Dittrich","2153","2015","06","06","Brasil","Minas Gerais","Alvarenga","-41.642444","-19.422472","-41.642444","-19.422472","Terrícola em Floresta Estacional Semidecidual, à beira de estrada de terra","Polypodiopsida","América do Sul","Proximidades de Barra Mansa, na estrada para São José do Itueto, na margem esquerda do rio Manhuaçu","255","255","CESJ072288",NA,NA,NA,NA,NA
"9","2019-11-21 14:52:34-03","UFJF","CESJ","72287","PreservedSpecimen","Plantae","Dryopteridaceae","Parapolystichum","acutum","Parapolystichum acutum","(Kuntze) Labiak, Sundue & R.C. Moran","V.A.O. Dittrich","2019","02","V.A.O. Dittrich","2151","2015","06","06","Brasil","Minas Gerais","Alvarenga","-41.642444","-19.422472","-41.642444","-19.422472","Terrícola em Floresta Estacional Semidecidual, à beira de estrada de terra","Polypodiopsida","América do Sul","Proximidades de Barra Mansa, na estrada para São José do Itueto, na margem esquerda do rio Manhuaçu","255","255","CESJ072287",NA,NA,NA,NA,NA
"10","2019-12-06 15:05:00-03","MBM","MBM","251965","S","Plantae","Melastomataceae","Merianthera","verrucosa","Merianthera verrucosa","R. Goldenb., Fraga & A.P. Fontana","Goldenberg, R.","2013",NA,"Costa, L.V.","s.n.","1999","11",NA,"Brazil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,NA,NA,"Southern America","UHE Cachoeirão",NA,NA,"MBM251965","MBM251965","23151","auto","PARATYPE",NA
"11","2019-10-02 15:07:58-03","UFMG","BHCB","167201","PreservedSpecimen","Plantae","Orchidaceae","Prosthechea",NA,"Prosthechea",NA,NA,NA,NA,"Machado, TM; Gomides, SC","560","2013","11","25","Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Rupícula. Flores verdes, pedúnculo vináceo, flores rosas não ressupinadas.","Monocotyledon","Southern America","Pico da aliança. Afloramento rochoso no alto do pico na vertente leste.","1486","1486","BHCB044919",NA,"23151","auto",NA,NA
"12","2019-10-02 14:57:02-03","UFMG","BHCB","50361","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","verrucosa","Merianthera verrucosa","R.Goldenb., Fraga & A.P.Fontana",NA,"2012",NA,"Costa, LV","s.n.","1999","09",NA,"Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Árvore, 4 m.; Floresta decidual sobre afloramento de granito.","Dicotyledon","Southern America","UHE Cachoeirão.",NA,NA,"BHCB016638",NA,"23151","auto","Paratypus",NA
"13","2020-03-09 08:20:12-03","UFPR","UPCB","42727","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","verrucosa","Merianthera verrucosa","R.Goldenb.et al.","Goldenberg, R.","2012",NA,"Costa, L.V.",NA,"1999","09",NA,"Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Árvore 4m. Floresta decidual sobre afloramento de granito..",NA,NA,"UHE Cachoeirão",NA,NA,"UPCB0002135","UPCB0002135","23151","auto",NA,NA
"14","2017-09-14 11:17:40-03","MBML","MBML-HERBARIO","47311",NA,"Plantae","Begoniaceae","Begonia",NA,"Begonia",NA,NA,NA,NA,"L. Kollmann","12878","2013","07","11","Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Caule marrom, peciolo vinaceo, folha face abaxial vinacea, adaxial verde escuro, brilhosa com tricomas cinzentos, inflorescência vinacea, bracteas e estipulas marrons, sépalas e pétalas branco-rosadas Floração em cultivo.",NA,NA,"Pedra da Aliança",NA,NA,"MBML047311","MBML047311","23151","auto",NA,NA
"15","2017-09-14 11:42:31-03","MBML","MBML-HERBARIO","49146",NA,"Plantae","Begoniaceae","Begonia","admirabilis","Begonia admirabilis",NA,"L. Kollmann",NA,NA,"L. Kollmann","12789","2013","07","11","Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Planta verde, flores brancas. Floração em cultivo",NA,NA,"Pedra da Aliança",NA,NA,"MBML049146","MBML049146","23151","auto",NA,NA
"16","2017-09-14 11:17:54-03","MBML","MBML-HERBARIO","45844",NA,"Plantae","Begoniaceae","Begonia","ulmifolia","Begonia ulmifolia",NA,NA,NA,NA,"L. Kollmann","12784","2013","06","28","Brasil","Minas Gerais","Alvarenga","-41.7285995483398","-19.417200088501",NA,NA,"Erva 40cm, flores brancas. Floração em cultivo",NA,NA,"Pedra da Aliança",NA,NA,"MBML045844","MBML045844","23151","auto",NA,NA
"17","2020-01-06 14:21:39-03","CPACT","ECT","3820","PreservedSpecimen","Plantae","Asteraceae","Baccharis","calvescens","Baccharis calvescens","DC.","G.Heiden","2017","10","C.M.Siniscalchi; B.F.P.Loeuille | C.T.Oliveira","503","2014","08","03","Brasil","Minas Gerais","Alvarenga","-41.578611","-19.317222","41º34'43''W","19º19'2''S",NA,NA,NA,"Pico do Padre Ângelo. Topo do pico. Campo rupestre e afloramentos rochosos.","1460","1460","ECT0003820","ECT0003820",NA,NA,NA,"09"
"18","2020-01-06 14:21:45-03","CPACT","ECT","3878","PreservedSpecimen","Plantae","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner","G.Heiden","2014","08","C.M.Siniscalchi; B.F.P.Loeuille | C.T.Oliveira","502","2014","08","03","Brasil","Minas Gerais","Alvarenga","-41.578611","-19.317222","41º34'43''W","19º19'2''S",NA,NA,NA,"Pico do Padre Ângelo. Topo do pico. Campo rupestre e afloramentos rochosos.","1460","1460","ECT0003878","ECT0003878",NA,NA,NA,"01"
