"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","occurrenceRemarks","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","infraspecificEpithet","preparationType","individualCount","class","order","continentOcean"
"1","2019-02-22 15:14:36-03","ESALQ","ESA","124344","S","Plantae","Magnoliophyta","Clethraceae","Clethra","scabra","Clethra scabra","Garcia, R.J.F.","2008","10","Garcia, R.J.F.","3446","2008","03","06","Brasil","Minas Gerais","Alvinópolis","Capoeira junto a eucaliptal (CENIBRA) Córrego Carvão de Pedra.","-43.048900604248","-20.1067008972168","32823","ESA124344","ESA124344","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:36-03","UFV","VIC","51747","PreservedSpecimen","Plantae",NA,"Bromeliaceae",NA,NA,NA,NA,NA,NA,"Paula, C.C.; Silva, R.R.","s.n.","2001","12","07","Brasil","Minas Gerais","Alvinópolis",NA,"-43.048900604248","-20.1067008972168","32823","VIC051747",NA,"auto","Epífita, cultivada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:28:50-03","UFV","VIC","17332","PreservedSpecimen","Plantae",NA,"Lythraceae","Magnolia","ovata","Magnolia ovata",NA,NA,NA,"C.C.Paula","1363","1997","06","15","Brasil","Minas Gerais","Alvínopolis","Fazenda do Toninho","-43.048900604248","-20.1067008972168","32823","VIC017332",NA,"auto","Árvore de 4 a 5 m, a beira de curso de água.","(A. St- Hill.) Spreng",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 15:52:49-03","UNICAMP","UEC","101922","S","Plantae","Magnoliopsida","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","Garcia, RJF",NA,NA,"Garcia, RJF; Fanton, JCM","3591","2009","09","26","Brazil","Minas Gerais","Alvinópolis","Brasil, MG, Alvinópolis.","-43.345556","-20.134722",NA,"UEC009742","UEC009742",NA,"Arbusto 1,5 m alt.;flores liláses;frutos pardos.Uso medicinal anti-térmico.Voucher de estudo paleobotânico (IG-UNICAMP).; Cerrado sobre canga.","Mart.","-43.345556","-20.134722","900","900",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-03 10:06:52-03","UNICAMP","UEC","207248","S","Plantae","Magnoliopsida","Asteraceae","Vernonanthura",NA,"Vernonanthura","Garcia, RJF",NA,NA,"Garcia, RJF; Fanton, JCM","3601","2009","09","27","Brazil","Minas Gerais","Alvinópolis","Alvinópolis-MG.","-43.312222","-20.156111",NA,"UEC009743","UEC009743",NA,"Árvore, 8 m alt. 20 cm DAP;flores brancas.Voucher de estudo paleobotânico.; CENIBRA, capoeira junto a eucaliptal, afloramento com fitofósseis.Córrego Carvão de Pédra.",NA,"-43.312222","-20.156111","693","693",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:46:20-03","UFOP","OUPR","1172","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Tynanthus","fasciculatus","Tynanthus fasciculatus",NA,NA,NA,"Paiva, J.S.V.","s.n.","1970","05",NA,"Brasil","Minas Gerais","Alvinópolis",NA,"-43.048900604248","-20.1067008972168","32823",NA,NA,"auto","Escandente. Campo.","(Vell.) Miers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:32:31-03","UFOP","OUPR","116","PreservedSpecimen","Plantae",NA,"Acanthaceae","Thunbergia","alata","Thunbergia alata",NA,NA,NA,"Badini, J.","s.n.","1973","08","18","Brasil","Minas Gerais","Alvinópolis","Beira de estrada para Fonseca","-43.048900604248","-20.1067008972168","32823",NA,NA,"auto",NA,"Bojer ex Sims",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:55:43-03","UFOP","OUPR","19971","PreservedSpecimen","Plantae",NA,"Fabaceae","Zornia","curvata","Zornia curvata","Fortuna-Perez, A.P.","2011","03","Saturnino, H.M.","52",NA,NA,NA,"Brasil","Minas Gerais","Alvinópolis","Fazenda Paraíso","-43.048900604248","-20.1067008972168","32823",NA,NA,"auto",NA,"Mohlenbr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-06 09:56:57-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,"Passifloraceae","Passiflora","haematostigma","Passiflora haematostigma","Badini, J.","1976","10","Badini, J.","s.n.","1976","10","31","Brasil","Minas Gerais","Alvinópolis","Fazenda Macaquinhos","-43.048900604248","-20.1067008972168","32823",NA,NA,"auto","Trepadeira, flores brancas. Capoeira","Mart. ex Mast.",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA
"10","2020-03-09 08:20:41-03","UFPR","UPCB","80913","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","Melo, N. K. G.","2009","09","Garcia, R.J.F.","3445","2008","03","06","Brasil","Minas Gerais","Alvinópolis","CENIBRA, capoeira junto a eucaliptal, afloramento com fitofósseis. Córrego Carvão de Pedra, 736 m.s.m.","-43.312","-20.156",NA,"UPCB0023442","UPCB0023442",NA,"Árvore, 4m alt.; flores com pétalas e estames roxos. Frequente. Voucher de estudo paleobotânico (IG-UNICAMP)..","(Raddi) Cogn.","-43.312","-20.156",NA,NA,"30",NA,NA,NA,NA,NA,NA
"11","2019-12-17 11:12:20-03","UFBA-IMS","HVC","5250","PreservedSpecimen","Plantae",NA,"Melastomataceae","Clidemia","hirta","Clidemia hirta","R. Goldenberg","2011",NA,"R.J.F. Garcia","3458","2008","03","06","Brasil","Minas Gerais","Alvinópolis","Capoeira junto a eucaliptal (CENIBRA), afloramento com fitofósseis (Bacia Fonseca). Córrego Carvão de Pedra.","-43.312222","-20.156111",NA,"HVC00005250",NA,NA,"Flores brancas","(L.) D.Don","43º18'44''W","20º9'22''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-19 11:17:14-03","UFG","UFG","43117","S","Plantae",NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Garcia, R.J.F.","3454","2008","03","06","Brasil","Minas Gerais","Alvinópolis",NA,"-43.311944","-20.155833",NA,"UFG0043117","UFG0043117",NA,NA,NA,"-43.311944","-20.155833","736","736",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-19 11:17:17-03","UFG","UFG","43118","S","Plantae",NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,NA,NA,"Garcia, R.J.F.","3455","2008","08","06","Brasil","Minas Gerais","Alvinópolis",NA,"-43.311944","-20.155833",NA,"UFG0043118","UFG0043118",NA,NA,"L.","-43.311944","-20.155833","736","736",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-19 11:17:20-03","UFG","UFG","43116","S","Plantae",NA,"Asteraceae","Eremanthus",NA,"Eremanthus","J. Nakajima","2017","04","Garcia, R.J.F.","3448","2008","03","06","Brasil","Minas Gerais","Alvinópolis",NA,"-43.311944","-20.155833",NA,"UFG0043116","UFG0043116",NA,NA,"Less.","-43.311944","-20.155833","736","736",NA,NA,NA,NA,NA,NA,NA
