"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","monthIdentified","previousCatalogNumber","dayIdentified","individualCount","class","relatedCatalogItem"
"1","2019-12-16 18:14:13-03","NYBG","NYBG","00942535","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","viscosa","Pavonia viscosa","A.St.-Hil.","A. Krapovickas","1990","M. M. Arbo","4311","1990","05","17","South America","Brazil","Minas Gerais","Alvorada de Minas","alrededores de Itapanhoacanga, base de la Serra do Espinhaco","-43.45","-18.77","-43.45","-18.77","860","860","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942535","NY00942535",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:41:04-03","NYBG","NYBG","02681519","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","rugosa","Rhynchospora rugosa","(Vahl) Gale",NA,NA,"R. de Mello-Silva","2947","2007","11","14","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - cachoeira Campinas, 3 km de Itapanhoacanga.","-43.4431","-18.7975","-43.4431","-18.7975","846","846","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957439 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02681519","NY02681519",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:52:50-03","NYBG","NYBG","1144480","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae",NA,NA,NA,NA,NA,NA,"R. F. Monteiro","211","2007","11","14","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - Cachoeira Campinas, 3 km de Itapanhoacanga.","-43.4431","-18.7975","-43.4431","-18.7975",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1290003 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01144480","NY01144480",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:15:12-03","NYBG","NYBG","00917509","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","fasciculata","Calliandra fasciculata fasciculata","Benth.","R. C. Barneby",NA,"M. M. Arbo","4317","1990","05","17","South America","Brazil","Minas Gerais","Alvorada de Minas","alrededores de Itapanhoacanga, base de la Serra do Espinhaco","-43.45","-18.77","-43.45","-18.77","860","860","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=996933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00917509","NY00917509","fasciculata",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:17:54-03","NYBG","NYBG","00978600","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ochnacea","Chamaecrista ochnacea latifolia","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","1990","M. M. Arbo","4316","1990","05","17","South America","Brazil","Minas Gerais","Alvorada de Minas","alrededores de Itapanhoacanga, base de la Serra do Espinhaço","-43.45","-18.77","-43.45","-18.77","860","860","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00978600","NY00978600","latifolia",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:09:53-03","NYBG","NYBG","1146531","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Clavija","nutans","Clavija nutans","(Vell.) B.Ståhl","J. R. Pirani","2008","R. de Mello-Silva","2946","2007","11","14","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - cachoeira Campinas, 3 km de Itapanhoacanga.","-43.4431","-18.7975","-43.4431","-18.7975","846","846","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1343956 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01146531","NY01146531",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:19:38-03","NYBG","NYBG","00983888","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","nigra","Dalbergia nigra","(Vell.) Allemão ex Benth.","A. M. V. de Carvalho","1998","G. G. Hatschbach","67456","1997","11","24","South America","Brazil","Minas Gerais","Alvorada de Minas",NA,"-43.3652992248535","-18.7360992431641",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117813 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00983888","NY00983888",NA,"18475","auto",NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:20:41-03","NYBG","NYBG","00984353","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","latifolia","Dioclea latifolia","Benth.","R. C. Barneby","1990","M. M. Arbo","4337","1990","05","17","South America","Brazil","Minas Gerais","Alvorada de Minas","Alrededores de Itapanhoacanga, base de la Serra do Espinhaco","-43.45","-18.77","-43.45","-18.77","800","800","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121835 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00984353","NY00984353",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:59:09-03","NYBG","NYBG","02695693","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,NA,"G. G. Hatschbach","67453","1997","11","24","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga","-43.3653","-18.7361","-43.3653","-18.7361",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02695693","NY02695693",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:56:20-03","NYBG","NYBG","1146530","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Xylopia","emarginata","Xylopia emarginata","Mart.","R. de Mello-Silva","2007","R. de Mello-Silva","2943","2007","11","14","South America","Brazil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - cachoeira Campinas, 3 km de Itapanhoacanga.","-43.4431","-18.7975","-43.4431","-18.7975","846","846","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1343954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01146530","NY01146530",NA,NA,NA,NA,NA,NA,NA,NA,NA
