"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","typeStatus","monthIdentified","dayIdentified","order","infraspecificEpithet"
"1","2019-09-24 10:44:13-03","EAO","IAN","104252","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Synedrella","nodiflora","Synedrella nodiflora","(L.) Gaertn.","Barreto, M","Magalhães, MG","768","1941","11","22","Southern America","Brasil","Minas Gerais","Antônio Dias","Ruderal, Coronel Fabriciano.","-42.872200012207","-19.6527996063232","31237","Herbácea; flores amarelas, muito frequente.","IAN104252","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:33:21-02","IPA","IPA","59146","S","Plantae","Plantae","Arecaceae","Attalea","camposportoana","Attalea camposportoana","Burret",NA,"Noblick, L.R.; Lester Cline; Lester Cline","5150","1997","07","19","Southern America","Brasil","Minas Gerais","Antonio Dias","14 km SW of the entrance to the city on BR 381. Garden accession number 97283.","-42.94","-19.655278",NA,"Palm solitary with 2-5m x 40-42 cm trunk. Leaves 13-15 in crown, spirally arranged and strongly ascending.Inflorescence with 40cm long by 6 x 4 cm diam peduncle and 75cm long rachis. Fruits brown in color and 6,5 cm long and 4cm in d","IPA0059146",NA,"-42.94","-19.655278","720","720",NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:33:27-02","IPA","IPA","59153","S","Plantae","Plantae","Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","(Cham.) Glassman",NA,"Noblick, L.R.; Lester Cline; Lester Cline","5149","1997","07","18","Southern America","Brasil","Minas Gerais","Antonio Dias","14 km W of the entrance to city on BR-381.","-42.943333","-19.654444",NA,"Palm solitary with 8m x 23-30cm trunk. Leaves 15 in crown, spirally arranged and spreading. Androgynous inflorescence with 55cm long by 4 x 3 cm diam. peduncle and 110 cm long rachis. Fruit orange in color and 3 cm long and 2,1 cm in","IPA0059153",NA,"-42.943333","-19.654444","720","720",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:46:13-03","UFJF","CESJ","31942","PreservedSpecimen","Plantae","Angiosperma","Solanaceae","Solanum","hexandrum","Solanum hexandrum","Vell.",NA,"L.V. Costa","s.n.","1999","06",NA,"América do Sul","Brasil","Minas Gerais","Antônio Dias","RPPN Guilman-Amorim","-42.872200012207","-19.6527996063232","31237","Arbusto, 2,5 m. na clareira em eucaliptal.","CESJ031942","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-07-17 14:33:35-03","UFRRJ","RBR","6184","S","Plantae",NA,"Asteraceae","Baccharis","dracunculifolia","Baccharis dracunculifolia","DC.",NA,"Peixoto, A.; et al.","5123","1989","09","23",NA,"Brasil","Minas Gerais","Antônio Dias","Ferrovia Vitória","-42.872200012207","-19.6527996063232","31237",NA,"RBR00006184","auto",NA,NA,NA,NA,"RBR00006184",NA,NA,NA,NA,NA,NA
"6","2020-02-18 10:01:42-03","UFRRJ","RBR","24930","S","Plantae",NA,"Fabaceae","Desmodium","purpureum","Desmodium purpureum","(Mill.) Fawc. & Rendle",NA,"Peixoto, A; Gomes, A; Vianna, V","5129","1989","09","23",NA,"Brasil","Minas Gerais","Antônio Dias","Ferrovia Vitória-Minas","-42.872200012207","-19.6527996063232","31237",NA,"RBR00024930","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-02 15:05:57-03","UFMG","BHCB","40348","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Attalea","apoda","Attalea apoda",NA,NA,"Noblick, LR; Cline, L","5150","1997","07","19","Southern America","Brasil","Minas Gerais","Antônio Dias","14km SW of the entrance to the city on BR-381","-42.940011","-19.6553",NA,"Indaiá, Catolé is the common name.; Palm solitary with 2-5 m x 40-42 cm -trunk. LEAVES 13-15 in crown, spirally arranged and strongly ascending. Leaf sheath plus petiole is 225 x 46 cm long, 7.5 cm wide and 2.5 cm thick and a stiff","BHCB050125",NA,"-42.940011","-19.6553","720","720","BHCB050125 BHCB050125_1 BHCB050125_2",NA,NA,NA,NA,NA,NA
"8","2019-10-02 15:05:59-03","UFMG","BHCB","40349","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","Glassman",NA,"Noblick, LR","5149","1997","07","18","Southern America","Brasil","Minas Gerais","Antônio Dias","14 W of the entrance to the city on BR-381","-42.943444","-19.654583",NA,"Geriba is the common name.; Palm solitary with 8 m x 23-30 cm trunk. LEAVES 15 in crown, spirally arranged and spreading. Leaf sheath plus petiole is 100 cm long with a true leaf petiole only 14 cm long, 6 cm wide and 3.5 cm thick a","BHCB050530",NA,"-42.943444","-19.654583","720","720","BHCB050530 BHCB050530_1",NA,NA,NA,NA,NA,NA
"9","2019-10-02 15:07:06-03","UFMG","BHCB","44724","PreservedSpecimen","Plantae","Monocotyledon","Iridaceae","Trimezia","jaguatirica","Trimezia jaguatirica","Ravenna",NA,"Costa, LV","s.n.","1998","11",NA,"Southern America","Brasil","Minas Gerais","Antonio Dias","UHE Guilman Amorim, Trilha da Jaguatirica","-42.872200012207","-19.6527996063232","31237","Erva, população aglomerada","BHCB000177","auto",NA,NA,NA,NA,"BHCB000177 BHCB000177_01","2001","Holotypus",NA,NA,NA,NA
"10","2019-10-02 15:02:29-03","UFMG","BHCB","52460","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Manettia",NA,"Manettia",NA,NA,"Costa, LV","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Antônio Dias",NA,"-42.872200012207","-19.6527996063232","31237",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
