"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","class","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","112","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","horrida","var. horrida","Billbergia horrida var. horrida","Regel","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello","1987","05","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","114","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","lietzei",NA,"Billbergia lietzei","E.Morren","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello","1987","05","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","113","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","zonata",NA,"Neoregelia zonata","L.B.Sm.","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Roberto Menescal; R. Bello","1987","05","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","111","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","serratum",NA,"Nidularium serratum","Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello","1987","05","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:14:12-03","NYBG","NYBG","407294","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora",NA,"Pavonia multiflora","A.St.-Hil.","P. A. Fryxell","1994",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3077","South America","Bairro Coqueiral. Remanescente de floresta pluvial conservada como parque na Avenida dos Vinháticos. Trilha dos Cambarás","-40.2731","-19.8206","sheet","NY00407294","NY00407294",NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:10:00-03","NYBG","NYBG","528530","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Peraceae","Pera","glabrata",NA,"Pera glabrata","(Schott) Poepp. ex Baill.","L. J. Gillespie","1997",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.065886","-19.852031",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3057","South America","Rodovia Coqueiral - Regencia, ramal a E da estrada a 2 km do trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S. A.","-40.065886","-19.852031","sheet","NY00528530","NY00528530",NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:51:21-03","NYBG","NYBG","2063240","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Petrea",NA,NA,"Petrea",NA,"G. M. Antar","2018",NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743911",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"469","South America","Retiro Serra Peladinha.","-40.3011","-19.743911","sheet","NY02063240","NY02063240","210","210",NA,NA,NA,NA
"8","2019-12-16 18:34:36-03","NYBG","NYBG","569242","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","glazioviana",NA,"Picramnia glazioviana","Engl.",NA,NA,NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.065886","-19.852031",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3066","South America","Rodovia Coqueiral - Regência, ramal a E da estrada a 2 km do trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S. A.","-40.065886","-19.852031","sheet","NY00569242","NY00569242",NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:35:29-03","NYBG","NYBG","2063226","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper",NA,NA,"Piper",NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743931",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"476","South America","Retiro Serra Peladinha.","-40.3011","-19.743931","sheet","NY02063226","NY02063226","210","210",NA,NA,NA,NA
"10","2019-12-16 18:35:44-03","NYBG","NYBG","555933","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","anonifolium",NA,"Piper anonifolium","Kunth","R. Callejas Posada","1994",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.065886","-19.852031",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=640110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3071","South America","Rodovia Coqueiral - Regência, ramal a E da estrada a 2 km de trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S. A.","-40.065886","-19.852031","sheet","NY00555933","NY00555933",NA,NA,NA,NA,NA,NA
