"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-12-16 19:14:39-03","NYBG","NYBG","2422897","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum","A. Salino","4900","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422897","NY02422897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 19:14:39-03","NYBG","NYBG","1039318","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum platylepis","C. M. Mynssen","1171","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, trilha do Moinha.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039318","NY01039318","platylepis","Fée","F. B. Matos","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:40:29-03","NYBG","NYBG","00938428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora cryptantha","A. N. Caiafa","147","2001","03","21","South America","Brazil","Minas Gerais","Araponga","PESB; Serra das Cabeças, 3a Cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1722","1722","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938428","NY00938428","cryptantha","C.B.Clarke","W. W. Thomas","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:40:30-03","NYBG","NYBG","00938553","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora emaciata","A. N. Caiafa","44","2001","01","16","South America","Brazil","Minas Gerais","Araponga","PESB, Serra das Cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1700","1700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938553","NY00938553","emaciata","(Nees) Boeckeler","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:40:45-03","NYBG","NYBG","2063254","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora exaltata","E. J. Lucas","694","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364898 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02063254","NY02063254","exaltata","Kunth","W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:41:18-03","NYBG","NYBG","00939153","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora splendens","A. N. Caiafa","146","2001","03","21","South America","Brazil","Minas Gerais","Araponga","PESB, Serra das cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1722","1722","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00939153","NY00939153","splendens","Lindm.","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:41:18-03","NYBG","NYBG","668306","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora splendens","A. N. Caiafa","49","2000","07",NA,"South America","Brazil","Minas Gerais","Araponga","Araponga, PESB, Serra das Cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1720","1720","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00668306","NY00668306","splendens","Lindm.","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:41:20-03","NYBG","NYBG","1921713","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","Scleria","E. J. Lucas","723","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01921713","NY01921713",NA,NA,"W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:41:20-03","NYBG","NYBG","1921714","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","Scleria","E. J. Lucas","714","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01921714","NY01921714",NA,NA,"W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:15:39-03","NYBG","NYBG","1039322","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Serpocaulon","Serpocaulon fraxinifolium","C. M. Mynssen","1182","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039322","NY01039322","fraxinifolium","(Jacq.) A.R.Sm.","C. M. Mynssen","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
