"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","dayIdentified","imagecode"
"1","2019-12-19 09:39:02-03","UFVJM","HDJF","6614","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735","HDJF006614",NA,NA
"2","2019-12-19 09:39:02-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"3","2019-12-19 09:39:02-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"4","2019-12-19 09:39:02-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"5","2019-12-19 09:39:02-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"6","2019-12-19 09:39:02-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7675","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"7","2019-12-19 09:38:57-03","UFVJM","HDJF","6615","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K. Schum.","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7676","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735","HDJF006615",NA,NA
"8","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K. Schum.","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7676","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"9","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K. Schum.","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7676","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"10","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K. Schum.","Faria, JEQ","2017","05","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7676","2017","05","03","Southern America","Brasil","Minas Gerais","Aricanduva","Região de São Lourenço, próx. a Aricanduva","-42.594444","-17.809722","-42.594444","-17.809722","735","735",NA,NA,NA
"11","2019-09-13 11:59:51-03","UFVJM","HDJF","2704","PreservedSpecimen","Plantae","Dicotyledoneae","Lamiaceae","Vitex","polygama","Vitex polygama","Cham.","Otoni, TJO","2014","05","Vieira, AD; Oliveira, LFR; Otoni, TJO","s.n.","2014","05","24","Southern America","Brasil","Minas Gerais","Aricanduva","Fazenda Fartura - RPPN Fartura","-42.525278","-17.876111","-42.525278","-17.876111",NA,NA,"HDJF002704","24","HDJF002704_01"
"12","2019-09-13 12:00:30-03","UFVJM","HDJF","2703","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","Otoni, TJO","2014","05","Vieira, AD; Oliveira, LFR; Otoni, TJO","s.n.","2014","05","24","Southern America","Brasil","Minas Gerais","Aricanduva","Fazenda Fartura - RPPN Fartura","-42.525278","-17.876111","-42.525278","-17.876111",NA,NA,"HDJF002703","24","HDJF002703_01"
