"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 16:47:33-03","NYBG","NYBG","533776","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pseudolaelia","vellozicola","Pseudolaelia vellozicola","(Hoehne) Porto & Brade","G. F. J. Pabst","A. P. Duarte","13977","1971","05","19","South America","Brazil","Espírito Santo","Baixo Guandu","N, 3 km antes do B. Guandu","-41.0158","-19.5189","-41.0158","-19.5189","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386178 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00533776","NY00533776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:47:33-03","NYBG","NYBG","533777","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pseudolaelia","vellozicola","Pseudolaelia vellozicola","(Hoehne) Porto & Brade","G. F. J. Pabst","A. P. Duarte","13977","1971","05","19","South America","Brazil","Espírito Santo","Baixo Guandu","Norte, 3 km antes de Barra do Guandu","-41.0158","-19.5189","-41.0158","-19.5189","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00533777","NY00533777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:52:32-03","NYBG","NYBG","02431750","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly",NA,"V. C. Souza","390","1992","11","09","South America","Brazil","Espírito Santo","Baixo Guandu","lado direito da estrada indo de Baixo Guandú para Mutum Preto.","-41.0158004760742","-19.5188999176025",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976647 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431750","NY02431750","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:52:32-03","NYBG","NYBG","02431749","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","expeditionaria","Spondias expeditionaria","J.D.Mitch. & Daly",NA,"V. C. Souza","390","1992","11","09","South America","Brazil","Espírito Santo","Baixo Guandu","lado direito da estrada indo de Baixo Guandú para Mutum Preto.","-41.0158004760742","-19.5188999176025",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976646 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431749","NY02431749","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:11:49-03","NYBG","NYBG","02447574","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","reticulata","Pouteria reticulata","(Engl.) Eyma",NA,"A. A. da Luz","308","2006","01","04","South America","Brazil","Espírito Santo","Baixo Guandu","Estrada Baixo Gandú a Itaguaçu.","-41.0158004760742","-19.5188999176025",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447574","NY02447574","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:10:27-03","NYBG","NYBG","02447562","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum",NA,"Chrysophyllum",NA,NA,"A. A. da Luz","471","2007","12","07","South America","Brazil","Espírito Santo","Baixo Guandu","Estrada Baixo Gandú.","-41.0158004760742","-19.5188999176025",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447562","NY02447562","34474","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:13:33-03","NYBG","NYBG","02474102","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.",NA,"H. C. de Lima","7620","2013","04","12","South America","Brazil","Espírito Santo","Baixo Guandu","Estrada para Ibituba, km 9","-41.02292","-19.58217","-41.02292","-19.58217","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02474102","NY02474102",NA,NA,"186","186",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:06:23-03","NYBG","NYBG","02423473","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","R.Knuth","M. Ribeiro","M. Ribeiro","1031","2014","04","18","South America","Brazil","Espírito Santo","Baixo Guandu",NA,"-41.0017","-19.6164","-41.0017","-19.6164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685359 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423473","NY02423473",NA,NA,"140","140","2014","05","18",NA,NA,NA,NA
"9","2019-12-16 17:06:23-03","NYBG","NYBG","2423156","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","R.Knuth",NA,"H. C. de Lima","7847","2014","10","19","South America","Brazil","Espírito Santo","Baixo Guandu","Estrada para Ibituba, km 8, em frente ao Sitio da Fantasia.","-41.0133","-19.5381","-41.0133","-19.5381","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423156","NY02423156",NA,NA,"62","62",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:06:23-03","NYBG","NYBG","2423158","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","R.Knuth",NA,"H. C. de Lima","7846","2014","10","19","South America","Brazil","Espírito Santo","Baixo Guandu","Estrada para Ibituba, km 8, em frente ao Sitio da Fantasia.","-41.0133","-19.5381","-41.0133","-19.5381","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423158","NY02423158",NA,NA,"62","62",NA,NA,NA,NA,NA,NA,NA
