"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1068","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","sp.","Anthurium sp.","Juliana Ordones Rego;","Brasil","Minas Gerais","Barão de Cocais","Vale do brucutu","-43.4872016906738","-19.94580078125","21378","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1259","S","Plantae","Magnoliophyta",NA,"Poales","Bromeliaceae","Dyckia","sp.","Dyckia sp.","Paulo Eduardo C. Rocha;","Brasil","Minas Gerais","Barão de Cocais","Mina de Brucutu","-43.4872016906738","-19.94580078125","21378","254","auto","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1070","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Philodendron","sp.","Philodendron sp.",NA,"Brasil","Minas Gerais","Barão de Cocais","Vale do brucutu","-43.4872016906738","-19.94580078125","21378","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2299","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Phlebodium","pseudoaureum","Phlebodium pseudoaureum","Míriam Pimentel Mendonça;","Brasil","Minas Gerais","Barão de Cocais","Mina de Brucutu-CVRD ( Companhia Vale do Rio Doce)","-43.4872016906738","-19.94580078125","21378","254","auto","1","(Cav.) Lellinger","Thais Elias Almeida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2308","S","Plantae","Pteridophyta",NA,NA,"Polypodiaceae","Serpocaulon","latipes","Serpocaulon latipes",NA,"Brasil","Minas Gerais","Barão de Cocais","Mina de Brucutu-CVRD ( Companhia Vale do Rio Doce)","-43.4872016906738","-19.94580078125","21378","254","auto","1","(Langsd. & Fisch.) A.R.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2163","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Zygopetalum","maculatum","Zygopetalum maculatum","Paulo Eduardo C. Rocha;","Brasil","Minas Gerais","Barão de Cocais","Mina de Brucutu - CVRD","-43.4872016906738","-19.94580078125","21378","254","auto",NA,"(Kunth) Garay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:42:59-03","NYBG","NYBG","1005639","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianales","Rubiaceae","Psyllocarpus",NA,"Psyllocarpus","M. Marques-Leitão","Brazil","Minas Gerais","Barão de Cocais","Barão de Cocais, Mina de Brucutu-CVRD","-43.4869","-19.9458",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095026 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Mart.","P. G. Delprete","2005","s.n.","1999","02","09","South America","-43.4869","-19.9458","sheet","NY01005639","NY01005639",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 19:07:19-03","NYBG","NYBG","00701374","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Solanum","subumbellatum","Solanum subumbellatum","H. S. Irwin","Brazil","Minas Gerais","Barão de Cocais","Lower slopes of Serra da Caraça, ca. 12km W. of Barão de Cocais","-43.4869","-19.9458",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Vell.","M. D. Whalen","1987","29269","1971","01","27","South America","-43.4869","-19.9458","sheet","NY00701374","NY00701374","1500","1500",NA,NA,NA,NA,NA
"9","2019-12-16 17:03:36-03","NYBG","NYBG","2423272","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericales","Ericaceae","Gaylussacia","salicifolia","Gaylussacia salicifolia","G. O. Romão","Brazil","Minas Gerais","Barão de Cocais","Serra do Caraça, trilha da Cascatinha","-43.4872016906738","-19.94580078125","21378","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"Cham. & Schltdl.",NA,NA,"981","2004","12","07","South America",NA,NA,"sheet","NY02423272","NY02423272",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:42:11-03","NYBG","NYBG","00897846","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poales","Eriocaulaceae","Paepalanthus","flaccidus","Paepalanthus flaccidus","N. Hensold","Brazil","Minas Gerais","Barão de Cocais","Serra do Garimpo, 10 km by road NW of Barão de Cocais.","-43.4872016906738","-19.94580078125","21378","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"(Bong.) Kunth","N. Hensold","1986","781","1982","05","04","South America",NA,NA,"sheet","NY00897846","NY00897846","1200","1300",NA,NA,NA,NA,NA
