"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","order","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2020-02-03 10:31:22-03","UNESP-IBB","BOTU","24921","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","Taguchi, L.E.","2016","02","02","Kollmann, L.","3334","2000","11","21","MBML","Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde, Trilha da Pedra","-40.8908004760742","-18.7549991607666","36480","BOTU024921","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-03 10:31:22-03","UNESP-IBB","BOTU","24928","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","Taguchi, L.E.","2016","02","05","Kollmann, L.","3270","2000","11","21",NA,"Brasil","Espirito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.8908004760742","-18.7549991607666","36480","BOTU024928","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-04 11:48:44-03","UFRJ","RFA","32552","Preservedecimen","Plantae","Bignoniaceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann; E. Bausen & A. E. Andrade","3357","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da tarde. Terreno de Sr Réné .","-40.8908004760742","-18.7549991607666","36480","RFA21264","auto","230","230","Trepadeira. Sol. Flores lilás. Corola branca com listras lilás escuras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-04 10:44:33-03","UFRJ","RFA","32549","Preservedecimen","Plantae","Bignoniaceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann; E.Bausen & Clóves","3281","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde (Terreno do Sr. Réné)","-40.8908004760742","-18.7549991607666","36480","RFA21207","auto","230","230","Trepadeira no sol. Flores rosas, frutos verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-04 10:44:33-03","UFRJ","RFA","32524","Preservedecimen","Plantae","Bignoniaceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann; E.Bausen & Clóves","3286","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde (terreno so Sr. Rene)","-40.8908004760742","-18.7549991607666","36480","RFA21242","auto","230","230","Trepadeira no sol. Flores lilás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-07-11 08:51:24-03","ESALQ","ESA","114354","S","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis",NA,"Sampaio, D.","2009",NA,NA,"Kollmann, L.","3331","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","ESA114354","auto",NA,NA,NA,"Magnoliophyta","ESA114354",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-07-11 08:54:44-03","ESALQ","ESA","132609","S","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia",NA,"Flores, T.B.","2014",NA,NA,"Kollmann, L. et al.","3492","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","ESA132609","auto",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-07-11 08:48:50-03","ESALQ","ESA","136179","S","Plantae","Proteaceae",NA,NA,NA,NA,"T.B. Flores","2014",NA,NA,"L. Kollmann","3327","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","ESA136179","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-22 15:23:48-03","ESALQ","ESA","132670","S","Plantae","Meliaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Piziolo, R.M.","187","1984","07","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","ESA132670","auto",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-07-11 08:53:40-03","ESALQ","ESA","94716","S","Plantae","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii","W.R.Andersson","Almeida, R.F.","2013",NA,NA,"Kollmann, L. et al.","3476","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.8908004760742","-18.7549991607666","36480","ESA094716","auto",NA,NA,NA,"Magnoliophyta","ESA094716",NA,NA,NA,NA,NA,NA,NA,NA,NA
