"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet"
"1","2019-12-16 17:51:21-03","NYBG","NYBG","00956426","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Petrea","volubilis","Petrea volubilis","L.","R. M. Rueda","G. M. Magalhaes","4257","1950","10","18","South America","Brazil","Minas Gerais","Barra Longa","Municipio - Barra Longa - Bom Jesús do Galho. Local de Barra Longa a Bom Jesús do Galho.","-43.0408","-20.2831","-43.0408","-20.2831","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061022 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00956426","NY00956426",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:37-03","UFV","VIC","16086","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Acanthostachys","strobilacea","Acanthostachys strobilacea","(Schult. f.) Klotzsch",NA,"Paula, C.C.; Gomes, E.C.","1138","1996","07","18",NA,"Brasil","Minas Gerais","Barra Longa","distrito de Dobra","-43.0410995483398","-20.2828006744385",NA,NA,NA,"Epífita, brácteas alaranjadas, pétalas amarelas.","VIC016086","VIC016086","16960","auto",NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:27:31-03","UFV","VIC","29129","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Podranea","ricasoliana","Podranea ricasoliana","(Tanfani) Sprague","Araújo, R.S. de","Xavier, D.M.","01","2004","11","24",NA,"Brasil","Minas Gerais","Barra Longa","Fazenda Crasto e Souza, Próximo ao curral.","-43.0410995483398","-20.2828006744385",NA,NA,NA,"Trepadeira; corola gamopétala de cor rosa com guias de néctar, cálice gamossépalo de cor verde.","VIC029129","VIC029129","16960","auto","2007","07","31",NA,NA,NA
"4","2019-11-21 14:48:33-03","UFJF","CESJ","27070","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Petrea","volubilis","Petrea volubilis","L.",NA,"?","s.n.","1943",NA,NA,"América do Sul","Brasil","Minas Gerais","Barra Longa",NA,"-43.0410995483398","-20.2828006744385",NA,NA,NA,"Arbusto sarmento.","CESJ027070",NA,"16960","auto",NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:57:43-03","UFOP","OUPR","30691","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Corrado, A.R.","Corrado, A.R.; Messias, M.C.T.B.; Pedrosa, L.G. & Souza, J.P.","10","2018","08","28",NA,"Brasil","Minas Gerais","Barra Longa","Margem do Rio do Carmo.","-43.044806","-20.282611","-43.044806","-20.282611",NA,"Arvoreta, 1,5m. Flores roxas. Frutos verdes imaturos. Em área antropizada atingida pelo rompimento da Barragem de Fundão (Samarco). Coleta realizada pelo Projeto Plantas Úteis da Bacia do Rio Doce (CAPES).",NA,NA,NA,NA,"2018","08","28","367","367",NA
"6","2019-11-06 09:57:44-03","UFOP","OUPR","30692","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","Corrado, A.R.","Corrado, A.R.; Messias, M.C.T.B.; Pedrosa, L.G. & Souza, J.P.","11","2018","08","28",NA,"Brasil","Minas Gerais","Barra Longa","Margem do Rio do Carmo.","-43.044806","-20.282611","-43.044806","-20.282611",NA,"Arbusto, ca. 1,5m. Flores brancas. Frutos verdes imaturos. Em área antropizada atingida pelo rompimento da Barragem de Fundão (Samarco). Coleta realizada pelo Projeto Plantas Úteis da Bacia do Rio Doce (CAPES).",NA,NA,NA,NA,"2018","08","28","367","367",NA
"7","2019-11-06 09:57:17-03","UFOP","OUPR","11789","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantopsis","chlorophylla","Adiantopsis chlorophylla","(Sw.) Fée","Almeida, T.E.","Badini, J.","s.n.","1975","04","12",NA,"Brasil","Minas Gerais","Barra Longa",NA,"-43.0410995483398","-20.2828006744385",NA,NA,NA,"Erva. Mata",NA,NA,"16960","auto","2013","04","17",NA,NA,NA
"8","2019-11-06 09:57:26-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","Badini, J.","Badini, J.","s.n.","1981","02","13",NA,"Brasil","Minas Gerais","Barra Longa",NA,"-43.0410995483398","-20.2828006744385",NA,NA,NA,"Arbusto, rósea com manchas vermelhas. Beira da estrada.",NA,NA,"16960","auto","1981","05","26",NA,NA,NA
"9","2019-11-06 09:57:36-03","UFOP","OUPR","22572","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Paullinia","carpopoda","Paullinia carpopoda","Cambess.","Ferrucci, M.S.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Barra Longa",NA,"-43.0410995483398","-20.2828006744385",NA,NA,NA,"Mata. Trepadeita. Flores amareladas",NA,NA,"16960","auto","2009","11","12",NA,NA,NA
"10","2019-11-05 16:46:20-03","UFOP","OUPR","1151","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K.Schum.","Araújo, R.S.","Badini, J.","s.n.","1975","04","12",NA,"Brasil","Minas Gerais","Barra Longa",NA,"-43.0410995483398","-20.2828006744385",NA,NA,NA,"Árvore, flores violáceas. Mata.",NA,NA,"16960","auto","2007","07","26",NA,NA,NA
