"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","continentOcean","typeStatus","preparationType","imagecode","class","order"
"1","2015-07-02 14:02:58-03","JBP","HPL","7009","S","Plantae","Melastomataceae","Miconia","affinis","Miconia affinis","DC.","R. Goldenberg","2008","06","03","R. Tsuji, H. Lorenzi et al.","1590","2007","01","28","Brasil","MG","Belo Oriente","Coletado em beira de rodovia.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:03:19-03","JBP","HPL","10752","S","Plantae","Myrtaceae","Myrcia","spectabilis","Myrcia spectabilis","DC.","V.C. Souza","2012","06","11","R. Tsuji","2229","2007","09","29","Brasil","MG","Belo Oriente","Coletado na estrada entre Açucena e Belo Oriente. Prensado em álcool.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:02:30-03","JBP","HPL","11842","S","Plantae","Lauraceae","Ocotea","cf. lanata","Ocotea cf. lanata",NA,NA,NA,NA,NA,"H. Lorenzi","6738","2009","09","09","Brasil","MG","Belo Oriente","No distrito de Brauninha em mata de encosta na zona da mata de MG a 250 metros de altitude","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:04:00-03","JBP","HPL","7003","S","Plantae","Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1583","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:39-03","JBP","HPL","7001","S","Plantae","Passifloraceae","Passiflora","speciosa","Passiflora speciosa",NA,"R. Tsuji, H. Lorenzi et al.","2007","01","28","R. Tsuji, H. Lorenzi et al.","1581","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:04:13-03","JBP","HPL","7006","S","Plantae","Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Cambess.","Ferrucci, M.S.","2008","11","28","R. Tsuji, H. Lorenzi et al.","1586","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:04:13-03","JBP","HPL","6993","S","Plantae","Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Cambess.","M.S. Ferrucci","2009","05","16","R. Tsuji, H. Lorenzi et al.","1573","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:01:47-03","JBP","HPL","9372","S","Plantae","Euphorbiaceae","Pera","heteranthera","Pera heteranthera","(Schrank) I.M. Johnst.","I. Cordeiro","2009","07","10","R. Tsuji","2082","2007","08","26","Brasil","MG","Belo Oriente","Coletado nas proximidades da estrada às margens da Lagoa do Jacaré (área da CENIBRA); em borda de mata.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:04:17-03","JBP","HPL","13630","S","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,NA,"R. Tsuji","2233",NA,NA,NA,"Brasil","MG","Belo Oriente","Estrada Açucena.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:03:40-03","JBP","HPL","7007","S","Plantae","Peraceae","Pera","cf. heteranthera","Pera cf. heteranthera",NA,"R. Tsuji, H. Lorenzi et al.","2007","01","28","R. Tsuji, H. Lorenzi et al.","1587","2007","01","28","Brasil","MG","Belo Oriente","Coletado na estrada não pavimentada, atrás da fábrica da CENIBRA.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
