"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean"
"1","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2243","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Acianthera","saundersiana","Acianthera saundersiana","(Rchb.f.) Pridgeon & M.W.Chase","Carlos A. Ferreira Jr.","2009","05","Carlos Alberto F. Jr.;","1997","05","03","Brasil","Minas Gerais","Bom Jesus do Amparo","Serra da Bocaína","-43.4735984802246","-19.7035999298096","11340","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2217","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","avicula","Epidendrum avicula","Lindl.","Carlos A. Ferreira Jr.","2008","04","Carlos Alberto F. Jr.;",NA,NA,NA,"Brasil","Minas Gerais","Bom Jesus do Amparo",NA,"-43.4735984802246","-19.7035999298096","11340","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-31 11:12:05-03","UNEMAT","TANG","6912","S","Plantae",NA,NA,NA,"Portulacaceae","Portulaca","umbraticola","Portulaca umbraticola","Kunth","Silva, CA","2016","05","Silva, CA","2016","05","13","Brasil","Minas Gerais","Bom Jesus do Amparo","Avenida Coronel João da Mata Ribeira, 42.","-43.472875","-19.705206",NA,NA,NA,NA,"13","591","-43.472875","-19.705206","695","695","TANG000006912",NA,NA
"4","2019-12-02 11:47:57-03","UNICAMP","UEC","203047","S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","Bordon, NG; Bordon, C","2015","10","15","Brazil","Minas Gerais","Bom Jesus do Amparo","voltando de Itabira para BH; beira estrada","-43.4475","-19.735",NA,NA,"Árvore 15 m altura; Mata Atlântica",NA,"27","ITA8","-43.4475","-19.735","668","668","UEC191256","UEC191256",NA
"5","2019-12-02 11:47:57-03","UNICAMP","UEC","203048","S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","Bordon, NG; Bordon, C","2015","10","14","Brazil","Minas Gerais","Bom Jesus do Amparo","indo para Itabira; beira de estrada, sem vegetação, próximo a capela e Açogue Carne Boa próximo a Bom Jesus do Amparo e Bairro Ponte do Machado","-43.441944","-19.735",NA,NA,"Árvore; flores brancas e fauce do tubo da corola alaranjado; Mata Atlântica",NA,"27","ITA1","-43.441944","-19.735","664","664","UEC191260","UEC191260",NA
"6","2019-12-02 11:47:57-03","UNICAMP","UEC","205157","S","Plantae","Magnoliopsida",NA,NA,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","Bordon, NG; Bordon, C","2015","10","15","Brazil","Minas Gerais","Bom Jesus do Amparo","sentido BH; beira estrada","-43.444722","-19.735278",NA,NA,"Árvore 7 m altura; Mata Atlântica",NA,"27","ITA7","-43.444722","-19.735278","661","661","UEC166769","UEC166769",NA
"7","2019-08-20 10:08:08-03","UNICAMP","UEC","65805","S","Plantae","Magnoliopsida",NA,NA,"Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K.Schum.","Semir, J","2013","04","Costa, LV","1990","02",NA,"Brazil","Minas Gerais","Bom Jesus do Amparo",NA,"-43.4735984802246","-19.7035999298096","11340",NA,"árvore 8m, flores rosadas; mata atlântica","auto","11","332",NA,NA,NA,NA,"UEC140993","UEC140993 UEC140993_1",NA
"8","2019-09-20 09:33:53-03","UFRRJ","RBR","4070","S","Plantae",NA,NA,NA,"Convolvulaceae","Ipomoea","ramosissima","Ipomoea ramosissima","(Poir.) Choisy","R. Simão-Bianchini","1999","12","A. Peixoto; A. Gomes, V. Vianna","1989","09","22","Brasil","Minas Gerais","Bom Jesus do Amparo","Ferrovia Vitória - Minas","-43.4735984802246","-19.7035999298096","11340",NA,NA,"auto","16","5133",NA,NA,NA,NA,"RBR00004070","RBR00004070",NA
"9","2019-05-24 14:15:17-03","JBB","HEPH","22261","S","Plantae","Magnoliid",NA,"Piperales","Aristolochiaceae","Holostylis",NA,"Holostylis",NA,"Salles, AEH",NA,NA,"Salles, AEH","2005","12","08","Brasil","Minas Gerais","Bom Jesus do Amparo","Estrada Real","-43.4735984802246","-19.7035999298096","11340",NA,"Trepadeira; flor amarronzada; Zona da Mata","auto",NA,"3916",NA,NA,"609","609",NA,NA,"Southern America"
"10","2019-10-02 15:04:08-03","UFMG","BHCB","12144","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.",NA,NA,NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Bom Jesus do Amparo",NA,"-43.4735984802246","-19.7035999298096","11340",NA,"Arbustivo. Capoeira. Determinada por comparações - HCB; Arbustivo; Capoeira","auto",NA,"209",NA,NA,NA,NA,"BHCB025407",NA,"Southern America"
