"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet"
"1","2019-12-16 17:21:30-03","NYBG","NYBG","02679185","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","E. P. Heringer","15166","1975","09","23","South America","Brazil","Minas Gerais","Bom Jesus do Galhos","On east bank of the Rio Doce, ca. 25 km east of Marliéria, in small village at Ponta Queimada","-42.47","-19.77","-42.47","-19.77","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941880 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02679185","NY02679185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:21:30-03","NYBG","NYBG","02679184","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","E. P. Heringer","15166","1975","09","23","South America","Brazil","Minas Gerais","Bom Jesus do Galhos","On east bank of the Rio Doce, ca. 25 km east of Marliéria, in small village at Ponta Queimada","-42.47","-19.77","-42.47","-19.77","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02679184","NY02679184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:37-03","JBP","HPL","8015","S","Plantae",NA,NA,"Passifloraceae","Passiflora","cf. galbana","Passiflora cf. galbana",NA,"L.C. Bernacci, H. Lorenzi et al.","3727","2004","05","04",NA,"Brasil","MG","Bom Jesus do Galho","Coletado em área de mata de mata atlântica. S 19° 49' 37; 42° 28' 16 - 600 m.s.m.","-42.3161","-19.8289",NA,NA,NA,NA,NA,NA,"L.C. Bernacci","2007","05","04","39343","auto",NA,NA,NA,NA
"4","2015-07-02 14:42:05-03","JBP","HPL","2489","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","elegans","Aristolochia elegans","Mast.","H. Lorenzi","4826","2004","05","04",NA,"Brasil","MG","Bom Jesus do Galho","Coletada na estrada de Bom Jesus do Galho para Corrego Novo-MG.","-42.3161","-19.8289",NA,NA,NA,NA,NA,NA,"D.S. Gissi","2011","02","15","39343","auto",NA,NA,NA,NA
"5","2019-08-20 10:04:00-03","UNICAMP","UEC","192913","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Tabernaemontana",NA,"Tabernaemontana","L.","Francisco, JNC; et al.","4","2013","09","13",NA,"Brazil","Minas Gerais","Bom Jesus do Galho","Estrada para Ipatinga. Ramal não pavimentado","-42.453722","-19.710944","-42.453722","-19.710944",NA,"Árvore, ca. 7m alt. Flores brancas, com cheiro adocicado. Botões imaturos verdes. Presença de latex branco; Em borda de fragmento florestal","UEC129901","UEC129901",NA,NA,NA,NA,NA,NA,"254","254",NA,NA
"6","2019-12-04 12:52:31-03","UTFPR","HCF","29997","S","Plantae",NA,NA,"Poaceae","Acroceras","zizanioides","Acroceras zizanioides","(Kunth) Dandy","F. Marinero","1052","2018","11","21",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","42°29'38 W","19°41'24 S",NA,"herbácea 40 cm. Espiguetas esverdeadas, base da folha invaginada. Várzea.",NA,NA,"F. Marinero","2018","12","10",NA,NA,"243","243",NA,NA
"7","2019-11-26 13:10:39-03","UTFPR","HCF","29844","S","Plantae",NA,NA,"Fabaceae","Canavalia","brasiliensis","Canavalia brasiliensis","Mart. ex Benth.","F. Marinero","1044","2018","11","19",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","42°29'38 W","19°41'24 S",NA,"trepadeira volúvel. Flores roxas. Área do brejo aparentemente seco. Várzea.",NA,NA,"F. Marinero","2019","04","04",NA,NA,"243","243",NA,NA
"8","2019-11-15 20:23:39-03","UTFPR","HCF","29620","S","Plantae",NA,NA,"Cyperaceae","Carex","brasiliensis","Carex brasiliensis","A. St. Hil.","F. Marinero","1062","2018","11","22",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","42°29'17 W","19°34'46 S",NA,"herbácea cespitosa 90 cm. Folhas cortantes. espiguetas esverdeadas. Várzea.",NA,NA,"F. Marinero","2019","03","19",NA,NA,"230","230",NA,NA
"9","2019-12-01 11:41:39-03","UTFPR","HCF","29954","S","Plantae",NA,NA,"Malpighiaceae","Dicella","bracteosa","Dicella bracteosa","(A.Juss.) Griseb.","F. Marinero","1054","2018","11","22",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","42°29'35 W","19°34'25 S",NA,"arbusto 1 m. Flores amarelas. Vegetação secundária. Estágio Inicial.",NA,NA,"F. Marinero","2019","04","25",NA,NA,"247","247",NA,NA
"10","2019-12-01 11:41:39-03","UTFPR","HCF","29963","S","Plantae",NA,NA,"Apocynaceae","Mesechites","mansoanus","Mesechites mansoanus","(A.DC.) Woodson","F. Marinero","1049","2018","11","21",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","42°29'38 W","19°41'24 S",NA,"trepadeira volúvel com látex transparente. Flores amarelo-esverdeadas. Vegetação secundária Estágio Inicial.",NA,NA,"E. Barboza & F. Marinero","2019","07","01",NA,NA,"243","243",NA,NA
"11","2019-12-01 11:41:39-03","UTFPR","HCF","29940","S","Plantae",NA,NA,"Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haworth","F. Marinero","1083","2018","11","23",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","42°29'53 W","19°31'35 S",NA,"árvore 5 m. Flores com pétalas rosas e estames amarelos. Várzea.",NA,NA,"E.C. Nardin","2019","04","05",NA,NA,"223","223",NA,NA
"12","2019-11-15 20:23:39-03","UTFPR","HCF","29615","S","Plantae",NA,NA,"Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl) Kuntze","F. Marinero","1064","2018","11","22",NA,"Brasil","MG","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","42°29'17 W","19°34'46 S",NA,"herbácea 30 cm. Flores azuladas. Várzea.",NA,NA,"F. Marinero","2019","04","12",NA,NA,"230","230",NA,NA
"13","2019-12-06 14:45:06-03","MBM","MBM","418824","S","Plantae",NA,NA,"Euphorbiaceae","Joannesia","princeps","Joannesia princeps","Vell.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1084","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418824",NA,"Cordeiro, J.","2019","05","15",NA,NA,"223","223",NA,NA
"14","2019-12-06 14:37:56-03","MBM","MBM","418787","S","Plantae",NA,NA,"Campanulaceae","Lobelia","fistulosa","Lobelia fistulosa","Vell.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1047","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418787",NA,"Ariati, V.","2019","05","13",NA,NA,"243","243",NA,NA
"15","2019-12-06 15:14:48-03","MBM","MBM","418795","S","Plantae",NA,NA,"Poaceae","Megathyrsus","maximus","Megathyrsus maximus","(Jacq.) B.K. Simon & S.W.L. Jacobs","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1055","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418795",NA,"Marinero, F.","2018","12","10",NA,NA,"247","247",NA,NA
