"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","locality","individualCount","occurrenceRemarks","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","relatedCatalogItem","class"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1219","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","2008","05","08","Brasil","Minas Gerais","Braúnas/Joanésia","Usina Porto Estrela","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1251","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","2008","05","08","Brasil","Minas Gerais","Braúnas/Joanésia","Usina Porto Estrela",NA,"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1236","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","2008","06","10","Brasil","Minas Gerais","Braúnas/Joanésia","Usina Porto Estrela","3","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:55:07-03","NYBG","NYBG","985086","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","widgrenii","Protium widgrenii","Engl.","2003",NA,NA,"Brazil","Minas Gerais","Braúnas","UHE Porto Estrela.",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","D. C. Daly","E. T. Neto","2553","1997","09","27","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY00985086","NY00985086",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:27:46-03","NYBG","NYBG","00934977","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","(DC.) G.P.Lewis & M.P.Lima",NA,NA,NA,"Brazil","Minas Gerais","Braúnas","Braúnas. UHE Porto Estrela, rio Santo Antônio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","C. V. Mendonca","E. T. Neto","1808","1993","11","03","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY00934977","NY00934977",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:44:06-03","NYBG","NYBG","1006193","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Sphinctanthus",NA,"Sphinctanthus",NA,"2005",NA,NA,"Brazil","Minas Gerais","Braúnas","Braúnas. UHE Porto Estrela.",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","P. G. Delprete","E. T. Neto","2567","1997","10","15","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY01006193","NY01006193",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:37:43-03","NYBG","NYBG","949041","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa",NA,"Bathysa",NA,"2005",NA,NA,"Brazil","Minas Gerais","Braúnas","Braúnas, UHE Porto Estrela.",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","P. G. Delprete","E. T. Neto","2572","1997","10","15","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY00949041","NY00949041",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:38:34-03","NYBG","NYBG","949335","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Cordiera","elliptica","Cordiera elliptica","(Cham.) Kuntze","2005",NA,NA,"Brazil","Minas Gerais","Braúnas","Braúnas",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026048 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","P. G. Delprete","E. T. Neto","2571","1997","10","15","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY00949335","NY00949335",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:26:54-03","NYBG","NYBG","00935509","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma",NA,"1993","11","08","Brazil","Minas Gerais","Braúnas","Braúnas. UHE Porto Estrela, rio Santo Antônio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","G. P. Lewis","E. T. Neto","1788","1993","10","09","South America","-42.7156","-19.0558","-42.7156","-19.0558","sheet","NY00935509","NY00935509",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:26:54-03","NYBG","NYBG","00935510","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","(Benth.) Brenan","1993","11","08","Brazil","Minas Gerais","Braúnas","Braúnas. UHE Porto Estrela, rio Santo Antônio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","G. P. Lewis","E. T. Neto","1788","1993","10","09","South America","-42.7156","-19.0558","-42.7156","-19.0558","separate fruit","NY00935510","NY00935510",NA,NA,NA,NA,NA,NA,NA
