"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","order","continentOcean","typeStatus"
"1","2019-12-04 15:24:42-03","PUCPR","HUCP","13783","S","Plantae","Eudicotiledonea","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Leeuwenberg, AJM","Hatschbach, GG","71524","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:26:58-03","UFV","VIC","052703","PreservedSpecimen","Plantae",NA,"Asteraceae",NA,NA,NA,NA,NA,"H.V. Pinto Junior","492","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 30cm, ilha de vegetação, folhas verdes aveludadas, capítulos brancos, sol.","VIC052703","VIC052703",NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:28:51-03","UFV","VIC","052700","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Banisteriopis","angustifolia","Banisteriopis angustifolia","(A.Juss.) B.Gates","Almeida, R.F. de","H.V. Pinto Junior","488","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 1.6m, ilha de vegetação, folhas verdes, pétalas brancas, anteras amarelas, fruto 3-alas, castanho, sol, poucos indivíduos.","VIC052700","VIC052700","2019","04","22",NA,NA,NA,NA
"4","2020-03-10 08:30:33-03","UFV","VIC","052701","PreservedSpecimen","Plantae",NA,"Rubiaceae","Bradea","bicornuta","Bradea bicornuta","Brade","H.V. Pinto Junior","H.V. Pinto Junior","489","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 30cm, ilha de vegetação, folhas verdes brilhosas, pétalas alvas no interior e roxas na parte de fora, botões verde/roxo, sol, rara.","VIC052701","VIC052701","2019","04","22",NA,NA,NA,NA
"5","2020-03-10 08:28:15-03","UFV","VIC","052697","PreservedSpecimen","Plantae",NA,"Cyperaceae","Bulbostylis",NA,"Bulbostylis",NA,"H.V. Pinto Junior","H.V. Pinto Junior","483","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 20cm, ilha de vegetação, inflorescência escura, sol, local aberto.","VIC052697","VIC052697",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:28:33-03","UFV","VIC","052698","PreservedSpecimen","Plantae",NA,"Fabaceae","Centrosema","virginianum","Centrosema virginianum","(L.) Benth.","H.V. Pinto Junior","H.V. Pinto Junior","486","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Liana habitando ilha de vegetação, folhas verdes, flores rosa/lilás, fruto verde, sol, abundante.","VIC052698","VIC052698","2019","04","09",NA,NA,NA,NA
"7","2020-03-10 08:29:48-03","UFV","VIC","052696","PreservedSpecimen","Plantae",NA,"Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","H.V. Pinto Junior","H.V. Pinto Junior","482","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 50cm, ilha de vegetação, folhas verdes, flores rosas, sol, abundante.","VIC052696","VIC052696","2019","04","09",NA,NA,NA,NA
"8","2020-03-10 08:28:32-03","UFV","VIC","052702","PreservedSpecimen","Plantae",NA,"Fabaceae",NA,NA,NA,NA,NA,"H.V. Pinto Junior","491","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 1.7m, ilha de vegetação, folhas verdes, pétalas amarelas, fruto negro passado, sol.","VIC052702","VIC052702",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:27:29-03","UFV","VIC","052694","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","H.V. Pinto Junior","H.V. Pinto Junior","480","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 2.5m, ilha de vegetação, folhas verdes com borda inteira/dentadas, flores roxas/lilás, anteras amarelas.","VIC052694","VIC052694","2019","04","08",NA,NA,NA,NA
"10","2020-03-10 08:27:15-03","UFV","VIC","052699","PreservedSpecimen","Plantae",NA,"Asteraceae","Lepidaploa","cotoneaster","Lepidaploa cotoneaster","(Willd. ex Spreng.) H.Rob.","H.V. Pinto Junior","H.V. Pinto Junior","487","2019","03","18","Brasil","Espírito Santo","Brejetuba","Brejaubinha, Pedra do Submarino","-41.483611","-20.299167",NA,NA,"-41.483611","-20.299167","1193","1193","Planta com +/- 40cm, ilha de vegetação, folhas verdes, inflorescência rosa/branco, sol, abundante.","VIC052699","VIC052699","2019","04","09",NA,NA,NA,NA
