"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1433","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","sellowii","Vellozia sellowii","Seub.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, área da capelinha de baixo","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1309","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho do milagre","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1304","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Mez.","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho da Capela antiga","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1451","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","stricta","Tillandsia stricta","Sol.","Carlos A. Ferreira Jr.","2010","05","17","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","16","Brasil","Minas Gerais","Caeté","Milagre, Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1452","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra.","Carlos A. Ferreira Jr.","2010","04","01","Carlos Alberto F. Jr.; Rainna Souza Gomes e Allysson Rezende","2010","04","01","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°40.319'","19°49.293'","1667","1667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2345","S","Plantae","Pterifophyta",NA,"Dryopteridaceae","Elaphoglossum","sp.","Elaphoglossum sp.",NA,"Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1836","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","sp.","Adiantum sp.",NA,"Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.129'","19°48.727'","1247","1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1621","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","sp.","Adiantum sp.",NA,"Carlos A. Ferreira Jr.","2011","01","09","Carlos Alberto F. Jr.;","2011","01","09","Brasil","Minas Gerais","Caeté","Serra da Piedade, entrada de terra na Mata antes do ponto de onibus do Asílo São Luiz","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39'25","19°48'59","1226","1226","CAF129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1476","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Carlos A. Ferreira Jr.","2011","12","12","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","30","Brasil","Minas Gerais","Caeté","Funil - Próximo ao corrego Caeté","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1828","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","raddiana","Anemia raddiana","Link","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39.696'","19°48.935'","1252","1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
