"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","phylum","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","individualCount"
"1","2020-02-03 10:29:03-03","UNESP-IBB","BOTU","12650","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","tenella","Alternanthera tenella","Colla.","Murashima, P.H.P.","2018","07","31","Gemtchújnicov, I.D.","7","1972","01","31","Brasil","Minas Gerais","Campanário","Entre Caratonga e Ipanema.","-41.7482986450195","-18.2385997772217","21003","Plantação de arroz, seco.","BOTU012650","BOTU012650","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:29:14-03","UFV","VIC","37766","PreservedSpecimen","Plantae","Mimosoideae","Anadenanthera","peregrina","Anadenanthera peregrina","(L.) Speg.","Batista, M.L.","2012","04","19","Batista, M.L.; Vieira, D.M.","s.n.","2012","02","28","Brasil","Minas Gerais","Campanário","Estrada de terra.","-41.670556","-18.219444",NA,"Árvore, c.a. de 4,5 metros de altura, com frutos e acúleos no tronco.","VIC037766",NA,NA,"-41.670556","-18.219444",NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:24-03","UFV","VIC","37792","PreservedSpecimen","Plantae","Mimosoideae","Mimosa","artemisiana","Mimosa artemisiana","Heringer & Paula","Batista, M.L.","2012","09","20","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","20","Brasil","Minas Gerais","Campanário","Estrada de terra.","-41.681667","-18.218333",NA,"Árvore 8m alt., com frutos.","VIC037792",NA,NA,"-41.681667","-18.218333",NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:29-03","UFV","VIC","37789","PreservedSpecimen","Plantae","Mimosoideae","Senegalia",NA,"Senegalia","Raf.","Batista, M.L.","2012","09","20","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","20","Brasil","Minas Gerais","Campanário","Estrada de terra.","-41.681667","-18.218333",NA,"Árvore 4m alt., com frutos e acúleos no tronco.","VIC037789",NA,NA,"-41.681667","-18.218333",NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:29:30-03","UFV","VIC","37782","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","Batista, M.L.","2012","04","19","Batista, M.L.; Vieira, D.M.","s.n.","2012","02","28","Brasil","Minas Gerais","Campanário","Estrada de terra.","-41.694722","-18.323611",NA,"Árvore, c.a. de 4,0 metros de altura, com flores e apresentando acúleos no tronco, ramos e ráquis foliar.","VIC037782",NA,NA,"-41.694722","-18.323611",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:30-03","UFV","VIC","37783","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","Batista, M.L.","2012","04","19","Batista, M.L.; Vieira, D.M.","s.n.","2012","02","28","Brasil","Minas Gerais","Campanário","Estrada de terra.","-41.676111","-18.216111",NA,"Árvore, c.a. de 4,5 metros de altura, com flores e apresentando acúleos no tronco, ramos e ráquis foliar.","VIC037783",NA,NA,"-41.676111","-18.216111",NA,NA,NA,NA,NA,NA
"7","2019-12-02 11:47:57-03","UNICAMP","UEC","203036","S","Plantae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","27","Bordon, NG; Bordon, C","TEO1","2015","10","15","Brazil","Minas Gerais","Campanário","BR116 Km333, a 3Km de Campanário, indo para Teófilo; beira estrada","-41.736111","-18.265833",NA,"Árvore 10 m altura; Mata Atlântica","UEC191271","UEC191271",NA,"-41.736111","-18.265833","Magnoliopsida","292","292",NA,NA,NA
"8","2019-12-02 11:47:57-03","UNICAMP","UEC","203044","S","Plantae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","27","Bordon, NG; Bordon, C","TEO4","2015","10","15","Brazil","Minas Gerais","Campanário","saída de Campanário; beira estrada, próximo a bairro","-41.7275","-18.236389",NA,"Árvore 10 m altura; flores amareladas; Mata Atlântica","UEC166742","UEC166742",NA,"-41.7275","-18.236389","Magnoliopsida","291","291",NA,NA,NA
"9","2019-12-02 11:47:57-03","UNICAMP","UEC","203046","S","Plantae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","27","Bordon, NG; Bordon, C","TEO3","2015","10","15","Brazil","Minas Gerais","Campanário","BR116 Km333, a 3Km de Campanário","-41.735278","-18.266111",NA,"Árvore 15 m altura; Mata Atlântica","UEC166750","UEC166750",NA,"-41.735278","-18.266111","Magnoliopsida","268","268",NA,NA,NA
"10","2020-02-10 17:49:35-03","UNICAMP","UEC","203046","S","Plantae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Bordon, NG","2019","09","27","Bordon, NG; Bordon, C","TE03","2015","10","15","Brazil","Minas Gerais","Campanário","Brasil, Minas Gerais, Campanário, BR 116 Km 333, a 3 Km de Campanário.","-41.752778","-18.266111",NA,"Árvore 15 m de altura.; Mata Atlântica.","UEC166750","UEC166750",NA,"-41.752778","-18.266111","Magnoliopsida","268","268",NA,NA,NA
