"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","preparationType","individualCount"
"1","2018-12-21 14:46:58-02","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05378","S","Plantae","Pteridophyta","Filicopsida","Polypodiales","Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C. Presl) Copel","A. Salino","1998","04","01","Máximo F. Morel","159","1990","02","25","América do Sul","Brasil","Minas Gerais","Canaã","8 km sentido Canaã","-42.619701385498","-20.6858005523682","11848","GEOGRAFIA: touceira dentro da mata;","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:28:13-03","UFV","VIC","023589","PreservedSpecimen","Plantae",NA,NA,NA,"Cyatheaceae","Cyathea","delgadii","Cyathea delgadii","Sternb",NA,NA,NA,NA,"Carvalho, A.F.","614","1999","06","20",NA,"Brasil","Minas Gerais","Canaã",NA,"-42.619701385498","-20.6858005523682","11848","Samambaia de porte arbóreo acima de 3 m.","auto","VIC023589","VIC023589",NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:28:48-03","UFV","VIC","23592","PreservedSpecimen","Plantae",NA,NA,NA,"Lycopodiaceae","Lycopodiella","cernua","Lycopodiella cernua","(L.) Pic.Serm",NA,"2014","07",NA,"Carvalho, A.F.","616","1999","06","20",NA,"Brasil","Minas Gerais","Canaã",NA,"-42.619701385498","-20.6858005523682","11848","Brejo e sombreado.","auto","VIC023592","VIC023592",NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:30:45-03","UFV","VIC","005126","PreservedSpecimen","Plantae",NA,NA,NA,"Smilacaceae","Smilax","quinquirnevia","Smilax quinquirnevia","Vell.",NA,NA,NA,NA,"Coons, M.P.","77-439","1977","09","10",NA,"Brasil","Minas Gerais","Canaã",NA,"-42.619701385498","-20.6858005523682","11848","Cipó em cerca ao lado de uma estrada,no perimetro da cidade,sem flores,folhas verdes quando frescas,escurescem ao secar,esporádico na região.","auto","VIC005126","VIC005126",NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:30:06-03","UFV","VIC","9684","PreservedSpecimen","Plantae",NA,NA,NA,"Passifloraceae","Passiflora","galbana","Passiflora galbana","Mast.",NA,NA,NA,NA,"Vieira, M.F.; et al.","425","1986","08","09",NA,"Brasil","Minas Gerais","Canaã","A 2 km de cachoeira grande","-42.619701385498","-20.6858005523682","11848","Trepadeira. Sépalas com cristas ,pétalas brancas,estaminoides brancos,androginóforo,ovário e estilete verde claro,coleta do curso de coleções botânicas da xI semana da biologia.","auto","VIC009684","VIC009684",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:43-03","UFV","VIC","9681","PreservedSpecimen","Plantae",NA,NA,NA,"Myrtaceae","Neomithantes","glomerata","Neomithantes glomerata","(Legrand) Legrand",NA,NA,NA,NA,"Vieira, M.F.; et al.","422","1986","08","09",NA,"Brasil","Minas Gerais","Canaã","A 4 km da Cachoeira Grande","-42.619701385498","-20.6858005523682","11848","Arbusto de 3 m, flores de corola branca, em local sombreado, coleta do curso coleções botânicas da XI semana da Biologia","auto","VIC009681","VIC009681",NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:29:10-03","UFV","VIC","9665","PreservedSpecimen","Plantae",NA,NA,NA,"Menispermaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Vieira, M.F.; Okano, R.M.C.","s.n.","1986","07","29",NA,"Brasil","Minas Gerais","Canaã","A 4 km da Cachoeira Grande, Em beira de estrada de terra","-42.619701385498","-20.6858005523682","11848","Trepadeira de flores branco esverdeadas","auto","VIC009665","VIC009665",NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:26:39-03","UFV","VIC","7208","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Amaranthus","lividus","Amaranthus lividus","L.","Coons, M.P.","1978","12","10","Coons, M.P.","438","1977","09","10",NA,"Brasil","Minas Gerais","Canaã","Ao lado de rua.","-42.619701385498","-20.6858005523682","11848","Erva com flores verdes. Não muito comum no lugar; bem menos frequente do que A. spinosus.","auto","VIC007208","VIC007208",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:29:20-03","UFV","VIC","34857","PreservedSpecimen","Plantae",NA,NA,NA,"Mimosoideae","Inga","subnuda","Inga subnuda luschnathiana","(Benth.) T.D. Penn.","Fernandes, J.M.","2006","08","19","Fernandes, J.M.","368","2006","08","19",NA,"Brasil","Minas Gerais","Canaã","Beira de estrada - próximo da usina da UFV, Floresta Estacional Semidecidual alterada.","-42.619701385498","-20.6858005523682","11848","Árvore, c.a. de 10 metros de altura; flores com estames verde-amarelados.","auto","VIC034857","VIC034857","luschnathiana",NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:30:51-03","UFV","VIC","024200","PreservedSpecimen","Plantae",NA,NA,NA,"Sterculiaceae","Helicteres",NA,"Helicteres",NA,NA,NA,NA,NA,"Valente, G.E.; Azevedo, A.A.","440","2000","02","20",NA,"Brasil","Minas Gerais","Canaã","Borda de rio Santana na Cachoeira Grande","-42.619701385498","-20.6858005523682","11848","Planta de cerca de 2 m, crescendo em pleno sol em local úmido.","auto","VIC024200",NA,NA,NA,NA,NA,NA,NA,NA
