"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","month","day","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","individualCount","infraspecificEpithet","class","relatedCatalogItem"
"1","2019-12-16 17:25:45-03","NYBG","NYBG","00924655","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pithecolobioides","Mimosa pithecolobioides","R. C. Barneby","1997","E. Teixeira","s.n.","1990","South America","Brazil","Minas Gerais","Capelinha","Capelinha","-42.5156","-17.6917","-42.5156","-17.6917","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004923 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00924655","NY00924655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-11-22 14:37:46-02","EBDA","BAH","8337","S","Plantae",NA,NA,"Sapindaceae","Matayba",NA,"Matayba",NA,NA,"O.A. Salgado","206","1981",NA,"Brasil","Minas Gerais","Capelinha",NA,"-42.5158","-17.6914",NA,NA,NA,"Árvore frequente apresentando botões esverdeados.",NA,NA,"Aubl.","11","09","26339","1000","1000","auto",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:20:46-03","UFBA","ALCB","24521","PreservedSpecimen","Plantae","Dicotyledon",NA,"Meliaceae","Cabralea","canjerana","Cabralea canjerana","Barreiro, H","1983","Salgado, OA","212","1981","Southern America","Brasil","Minas Gerais","Capelinha",NA,"-42.6","-17.466667","-42.6","-17.466667",NA,"Pequena, comum, apresentando flores brancas e frutos vermelhos.; Solo Arenoso.","ALCB063852",NA,"(Vell.) Ma","11","11",NA,"850","850",NA,"04",NA,NA,NA,NA,NA
"4","2019-10-09 11:24:20-03","UFBA","ALCB","19592","PreservedSpecimen","Plantae","Dicotyledon",NA,"Salicaceae","Casearia","arborea","Casearia arborea","Marquete, R","1998","Silva, FCF da","110","1981","Southern America","Brasil","Minas Gerais","Capelinha",NA,"-42.6","-17.716667","-42.6","-17.716667",NA,"comum, com flores esbranquiçadas.; Arbórea Aberta. Solo arenoso.","ALCB042102","ALCB042102","(L.C.Rich.) Urban","11","09",NA,NA,NA,NA,"07",NA,NA,NA,NA,NA
"5","2019-10-09 11:21:27-03","UFBA","ALCB","24520","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","guianensis","Myrcia guianensis","Sobral, M","2012","Salgado, OA","211","1981","Southern America","Brasil","Minas Gerais","Capelinha",NA,"-42.6","-17.466667","-42.6","-17.466667",NA,"Comum. Apresentando fruto maduros de cor preta e jovens de cor vermelha.; Solo arenoso.","ALCB058905",NA,"(Aubl.) DC.","11","11",NA,"850","850",NA,"03",NA,NA,NA,NA,NA
"6","2020-02-13 14:13:23-03","MN","R","211557","S","Plantae",NA,NA,"Salicaceae","Casearia",NA,"Casearia",NA,NA,"Silva, F.C.F.","111","1981",NA,"Brasil","Minas Gerais","Capelinha",NA,"-42.6","-17.7","42°36'W","17°42'S",NA,NA,NA,NA,NA,"11","09",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-13 14:13:23-03","MN","R","211558","S","Plantae",NA,NA,"Salicaceae","Casearia",NA,"Casearia",NA,NA,"Silva, F.C.F.","110","1981",NA,"Brasil","Minas Gerais","Capelinha",NA,"-42.6","-17.716667","42°36'W","17°43'S",NA,NA,NA,NA,NA,"11","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-09 08:37:28-03","UFPI","TEPB","9912","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Piptadenia",NA,"Piptadenia",NA,NA,"A .E.Brina",NA,"1991",NA,"Brasil","Minas Gerais","Capelinha","Vale do Jequitinhonha","-42.5158004760742","-17.6914005279541",NA,NA,NA,"Arbóreo 8m Ambiente: Cerrado",NA,NA,NA,"03","21","26339","910","910","auto",NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:12:24-03","UNICAMP","UEC","7554","S","Plantae","Magnoliopsida",NA,"Fabaceae","Camptosema","coriaceum","Camptosema coriaceum","Andrade, JB","1978","Salgado, PR; Paulino, VT","s.n.","1978",NA,"Brazil","Minas Gerais","Capelinha","Rodovia Capelinha a Turmalina, km 38.","-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"UEC151140","UEC151140","(Nees & Mart.) Benth.","07","08","26339",NA,NA,"auto","07",NA,NA,NA,NA,NA
"10","2019-10-02 11:34:17-03","UDESC","LUSC","440","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","spectabilis","Senna spectabilis","Silva, A.C. da",NA,"Carlos",NA,"2004",NA,"Brasil","Minas Gerais","Capelinha",NA,"-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"LUSC003949","LUSC003949","(DC.) H.S.Irwin & Barneby","12","18","26339",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"11","2019-10-02 11:34:07-03","UDESC","LUSC","5692","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Acosmium",NA,"Acosmium",NA,NA,"M.Brandão","25158",NA,NA,"Brasil","Minas Gerais","Capelinha",NA,"-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"LUSC083601",NA,NA,NA,NA,"26339",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"12","2019-12-06 14:36:00-03","MBM","MBM","145677","S","Plantae",NA,NA,"Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta","Oliveira, V.L.",NA,"Pedralli, G.; et al.; et al.","447","1989","Southern America","Brazil","Minas Gerais","Capelinha","Capelinha","-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"MBM145677","MBM145677","(Ker-Gawl.) Miers","06","28","26339",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"13","2019-12-06 14:23:37-03","MBM","MBM","145636","S","Plantae",NA,NA,"Acanthaceae","Hygrophila","costata","Hygrophila costata","Oliveira, V.L.","1989","Pedralli, G.; Oliveira, V.L.; Carvalho; Oliveira, V.L.; Carvalho","3067","1989","Southern America","Brazil","Minas Gerais","Capelinha",NA,"-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"MBM145636","MBM145636","Nees","02","15","26339",NA,NA,"auto","07",NA,NA,NA,NA,NA
"14","2019-12-06 14:56:14-03","MBM","MBM","146002","S","Plantae",NA,NA,"Lamiaceae","Hyptis","inodora","Hyptis inodora","Meyer",NA,"Pedralli, G.; et al.; et al.","4323","1989","Southern America","Brazil","Minas Gerais","Capelinha",NA,"-42.5158004760742","-17.6914005279541",NA,NA,NA,NA,"MBM146002","MBM146002","Schrank","06","27","26339",NA,NA,"auto",NA,NA,NA,NA,NA,NA
