"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","locality","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","yearIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","individualCount","typeStatus"
"1","2020-03-04 15:25:13-03","UNESC","CRI","2954","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","canescens","Tibouchina canescens","(D.Don) Cogn.","A. P. Duarte","1952","10","24","Brasil","Minas Gerais","Carandaí","-43.806667","-20.954167","43º48'24''W","20º57'15''S","CRI004462","CRI004462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-04 15:25:33-03","UNESC","CRI","2795","PreservedSpecimen","Plantae","Onagraceae","Oenothera","longiflora","Oenothera longiflora","L.","A. P. Duarte","1946","11","16","Brasil","Minas Gerais","Carandaí","-56.004167","-20.941111","56º0'15''W","20º56'28''S","CRI013771","CRI013771","Brade","Crespo.","Flor amarelo Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:53:46-03","NYBG","NYBG","00918568","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","A. P. Duarte","1952","10","24","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00918568",NA,"L. E. Kopp","Carandaí","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:53:46-03","NYBG","NYBG","00918567","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","A. P. Duarte","1946","11","18","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00918567","NY00918567","L. E. Kopp","Crespo.","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","557","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:27:12-03","NYBG","NYBG","00934827","PreservedSpecimen","Plantae","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","A. F. M. Glaziou","1882","06","22","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00934827","NY00934827",NA,"Carandahy, [illegible]","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","12646","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:39:42-03","NYBG","NYBG","921298","PreservedSpecimen","Plantae","Lycopodiaceae","Pseudolycopodiella","meridionalis","Pseudolycopodiella meridionalis","(Underw. & F.E.Lloyd) Holub","A. P. Duarte","1962","02","04","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00921298",NA,"K. Cook","Hermilo Alves","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Lycopodiophyta","Lycopodiales","6353","South America","sheet","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:32:19-03","NYBG","NYBG","00923028","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","dichotoma","Qualea dichotoma elongata","(Warm.) Stafleu","A. P. Duarte","1946","11","28","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00923028","NY00923028","F. A. Stafleu","Brejão","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","690","South America","sheet",NA,"elongata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:35:43-03","NYBG","NYBG","971248","PreservedSpecimen","Plantae","Apocynaceae","Rhabdadenia","pohlii","Rhabdadenia pohlii","Müll.Arg.","A. P. Duarte","1946","02","19","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY00971248","NY00971248","F. Markgraf","Carandaí","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069916 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","569","South America","sheet","1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:53:52-03","NYBG","NYBG","1006478","PreservedSpecimen","Plantae","Campanulaceae","Siphocampylus","sulfureus","Siphocampylus sulfureus","E.Wimm.","A. P. Duarte","1946","11","27","Brazil","Minas Gerais","Carandaí","-43.8064","-20.9536","-43.8064","-20.9536","NY01006478","NY01006478","A. C. Brade","Carandai","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asterales","662","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:50:12-03","NYBG","NYBG","880109","PreservedSpecimen","Plantae","Asteraceae","Erigeron","tweediei","Erigeron tweediei","Hook. & Arn.","A. F. M. Glaziou","1884","03","03","Brazil","Minas Gerais","Carandaí","-43.8064002990723","-20.9535999298096",NA,NA,"NY00880109","NY00880109",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asterales","15084","South America","sheet",NA,NA,"23079","auto",NA,NA,NA,NA,NA,NA,NA,NA
