"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","infraspecificEpithet","dayIdentified","recordedBy","recordNumber","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","typeStatus","class","previousCatalogNumber","relatedCatalogItem","sex"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2758","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","asterophorum","Solanum asterophorum","Mart.","Yuri Fernandes Gouvea","2012","11","2012","11","Brasil","Minas Gerais","Caratinga","Estação ecologica de Caratinga","-42.1391983032227","-19.7896995544434","49886","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:27:30-03","NYBG","NYBG","605538","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platymiscium","pubescens","Platymiscium pubescens pubescens","Micheli","B. B. Klitgaard","1996","02","1993","11","Brazil","Minas Gerais","Caratinga","Km 7.6 on rd. BR 116, Caratinga-Ipatinga.","-42.13","-19.8",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"pubescens","01","B. B. Klitgaard","15","10","South America","-42.13","-19.80","500","550","sheet","NY00605538","NY00605538",NA,NA,NA,NA,NA
"3","2019-12-16 16:37:25-03","NYBG","NYBG","01835348","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Polytrichum","commune","Polytrichum commune",NA,"G. L. Smith",NA,NA,"1976","03","Brazil","Minas Gerais","Caratinga","along BR-116, Km 380, near Santa Rita village","-42.1391983032227","-19.7896995544434","49886",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2107935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,"D. M. Vital","5855","27","South America",NA,NA,NA,NA,"packeted","NY01835348","NY01835348",NA,NA,NA,NA,NA
"4","2019-12-16 18:14:15-03","NYBG","NYBG","00996776","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","J. A. Kallunki","1985",NA,"1983","01","Brazil","Minas Gerais","Caratinga","Estação Biologica de Caratinga. Atlantic forest.","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","511","07","South America","-41.83","-19.67",NA,NA,"sheet","NY00996776","NY00996776",NA,NA,NA,NA,NA
"5","2019-12-16 16:56:54-03","NYBG","NYBG","00859267","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Ramisia","brasiliensis","Ramisia brasiliensis","Oliv.","J. A. Kallunki","1985",NA,"1984","04","Brazil","Minas Gerais","Caratinga","Estaçao Biológica de Caratinga.","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956999 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","1484","03","South America","-41.83","-19.67",NA,NA,"sheet","NY00859267","NY00859267",NA,NA,NA,NA,NA
"6","2019-12-16 18:58:34-03","NYBG","NYBG","00995757","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","lethalis","Serjania lethalis","A.St.-Hil.","P. Acevedo-Rodríguez","1986",NA,"1983","09","Brazil","Minas Gerais","Caratinga","Atlantic forest. Estacao Biologica de Caratinga.","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","1167","19","South America","-41.83","-19.67",NA,NA,"sheet","NY00995757","NY00995757",NA,NA,NA,NA,NA
"7","2019-12-16 19:04:07-03","NYBG","NYBG","669145","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","M. H. Nee","1994",NA,"1984","01","Brazil","Minas Gerais","Caratinga","Estaçao Biologica de Caratinga.","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53516 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","740","29","South America","-41.83","-19.67",NA,NA,"sheet","NY00669145","NY00669145",NA,NA,NA,NA,NA
"8","2019-12-16 19:04:24-03","NYBG","NYBG","00700953","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","jussiaei","Solanum jussiaei","Dunal","M. H. Nee","1997",NA,"1983","08","Brazil","Minas Gerais","Caratinga","Atlantic forest, Caratinga. Estacao Biologica de Caratinga","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=838814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","1064","22","South America","-41.83","-19.67",NA,NA,"sheet","NY00700953","NY00700953",NA,NA,NA,NA,NA
"9","2019-12-16 18:52:33-03","NYBG","NYBG","447503","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","J. D. Mitchell",NA,NA,NA,NA,"Brazil","Minas Gerais","Caratinga","EBC.","-42.1392","-19.7897",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"J. Rimoli","17681",NA,"South America","-42.1392","-19.7897",NA,NA,"sheet","NY00447503","NY00447503",NA,NA,NA,NA,NA
"10","2019-12-16 17:19:38-03","NYBG","NYBG","00983875","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","nigra","Dalbergia nigra","(Vell.) Allemão ex Benth.","J. G. Kuhlmann",NA,NA,"1928","07","Brazil","Minas Gerais","Caratinga",NA,"-42.1391983032227","-19.7896995544434","49886",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117876 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,"J. G. Kuhlmann","52","26","South America",NA,NA,NA,NA,"sheet","NY00983875","NY00983875",NA,NA,NA,NA,NA
"11","2020-01-27 14:49:50-03","NYBG","NYBG","1835163","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Polytrichadelphus","pseudo-polytrichum","Polytrichadelphus pseudo-polytrichum","(Raddi) G.L.Sm.","D. F. Peralta","2008","01","1976","03","Brazil","Minas Gerais","Caratinga","Along BR 116, km 381.","-42.1391983032227","-19.7896995544434","49886",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2106970 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"09","Collector unspecified","DV-5858","27","South America",NA,NA,NA,NA,"packeted","NY01835163","NY01835163",NA,NA,NA,NA,NA
"12","2019-12-16 16:55:31-03","NYBG","NYBG","02460984","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","tenella","Alternanthera tenella","Colla",NA,NA,NA,"1984","05","Brazil","Minas Gerais","Caratinga","Estação Biológica de Caratinga.","-42.1391983032227","-19.7896995544434","49886",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2688487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,"P. M. Andrade","237","26","South America",NA,NA,NA,NA,"sheet","NY02460984","NY02460984",NA,NA,NA,NA,NA
"13","2019-12-16 18:13:41-03","NYBG","NYBG","00968854","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","spicata","Melochia spicata","(L.) Fryxell",NA,NA,NA,"1967","02","Brazil","Minas Gerais","Caratinga","Vincinity of Caratinga.","-42","-19.33",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"J. C. Lindeman","4583","05","South America","-42","-19.33",NA,NA,"sheet","NY00968854","NY00968854",NA,NA,NA,NA,NA
"14","2019-12-16 17:36:53-03","NYBG","NYBG","945200","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Loganiaceae","Strychnos",NA,"Strychnos",NA,NA,NA,NA,"1987","11","Brazil","Minas Gerais","Caratinga","EBC.","-42.1392","-19.7897",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"L. V. Costa","368","14","South America","-42.1392","-19.7897",NA,NA,"sheet","NY00945200","NY00945200",NA,NA,NA,NA,NA
"15","2019-12-16 18:57:10-03","NYBG","NYBG","02431570","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae",NA,NA,NA,NA,NA,NA,NA,"1983","08","Brazil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","1068","22","South America","-41.83","-19.67",NA,NA,"sheet","NY02431570","NY02431570",NA,NA,NA,NA,NA
"16","2019-12-16 18:01:46-03","NYBG","NYBG","870083","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha",NA,"Acalypha","L.","M. J. Huft",NA,NA,"1983","09","Brazil","Minas Gerais","Caratinga","Estaçao Biologica de Caratinga.","-41.83","-19.67",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"K. B. Strier","1197","20","South America","-41.83","-19.67",NA,NA,"sheet","NY00870083","NY00870083",NA,NA,NA,NA,NA
