"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","order","relatedCatalogItem"
"1","2019-10-09 11:18:11-03","UFBA","ALCB","022807","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","deflexa","Ocotea deflexa","Rohwer","Moraes, PLR de","2010","08","18","Almeida, EdeF","210","1982","05","21","Southern America","Brasil","Minas Gerais","Carmésia","8 Km após Carmésia, na estrada Carmésia/Morro do Pilar","-43.166667","-19.1","-43.166667","-19.1","ca. 4m de altura. Flores esverdeadas. Folhas buladas. Poco frequente.; Estacional Semidecidual. Argiloso.","ALCB003119","ALCB003119",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:17:04-03","UFBA","ALCB","21267","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Senna","alata","Senna alata","(L.) Roxb.","Guedes, ML",NA,NA,NA,"Almeida, EdeF","209","1982","05","21","Southern America","Brasil","Minas Gerais","Carmésia","8 Km após Carmésia, na estrada Carmésia/Morro do Pilar","-43.166667","-19.1","-43.166667","-19.1","Porte alto. Tronco multiramificado. Flores amarelas. Frutos alados. Muito frequente em área antropicas.; Argiloso.","ALCB027816","ALCB027816",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:54:43-03","ESALQ","ESA","76989","S","Plantae","Magnoliophyta","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","(D.Don.) Cogn.","Stehmann, J.R.",NA,NA,NA,"Stehmann, J.R.","2532","1999","05","30",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.1417007446289","-19.0888996124268",NA,NA,NA,"ESA076989","ESA076989","15443","auto",NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:49:06-02","IPA","IPA","50504","S","Plantae","Plantae","Ranunculaceae","Clematis","dioica","Clematis dioica","L.","Pinto, G.C.P.","1982","05","21","Pinto, G.C.P.","69","1982","05","21","Southern America","Brasil","Minas Gerais","Carmésia","na estrada Carmésia?Morro do Pilar a 18 km de Morro do Pilar.","-43.1417007446289","-19.0888996124268",NA,NA,"Cipó multiflorido; inflorescências axilares, estigmas longos, branco-prateados. Pouco frequente. Planta feminina.; Floresta Estacional Semidecidual. Solo argiloso.","IPA0050504",NA,"15443","auto",NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:45:51-02","IPA","IPA","54170","S","Plantae","Plantae","Melastomataceae","Rhynchanthera",NA,"Rhynchanthera",NA,NA,NA,NA,NA,"Pinto, G.C.P.","71","1982","05","21","Southern America","Brasil","Minas Gerais","Carmésia","na estrada Carmésia/Morro do Pilar a 18km de Morro do Pilar.","-43.1417007446289","-19.0888996124268",NA,NA,"Arbusto ca. 60cm de altura; flores róseo-arroxeadas. Pouco frequente.","IPA0054170",NA,"15443","auto",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:27:42-03","UFV","VIC","19431","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia",NA,"Pitcairnia",NA,"Paula, C.C. de","2005","02","13","Ribeiro, O B C; Paula, C.C. de","42","2005","02","13",NA,"Brasil","Minas Gerais","Estrada de Carmésia a Morro do",NA,"-43","-19","-43","-19","Saxícola em mata fechada frequência de aproximadamente 20 indivíduos","VIC019431","VIC019431",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:48:17-03","UFJF","CESJ","44084","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","sidoides","Lippia sidoides","Cham.","F.R.G. Salimena","2001","10",NA,"J.R. Stehmann","2536","1999","05","30","América do Sul","Brasil","Minas Gerais","Carmésia","arredores da aldeia pataxós","-43.1417007446289","-19.0888996124268",NA,NA,"Arbusto, ca. 1,5 m alt.; flores esbranquiçadas.","CESJ044084",NA,"15443","auto",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:48:17-03","UFJF","CESJ","34621","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Lippia","sidoides","Lippia sidoides","Cham.","F.R.G. Salimena","2001","09",NA,"J.R. Stehmann","2536","1999","05","30","América do Sul","Brasil","Minas Gerais","Carmésia","arredores da aldeia pataxós","-43.1417007446289","-19.0888996124268",NA,NA,"Arbusto, ca. 1,5 m alt.; flores esbranquiçadas.","CESJ034621",NA,"15443","auto",NA,NA,NA,NA,NA,NA
"9","2020-03-05 16:12:21-03","UFC","EAC","64057","PreservedSpecimen","Plantae",NA,"Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium","(Cambess.) O.Berg","Sobral, M.","2013","05","18","Gontijo, F.D.","319","2014","10","02","Southern America","Brasil","Minas Gerais","Carmésia",NA,"-43.265278","-19.606111","-43.265278","-19.606111","Arbustivo/subarbustivo, altura 1,3 m; frutos verdes.; Floresta estacional semidecidual.","EAC0064057",NA,NA,NA,"596","596",NA,NA,NA,NA
"10","2019-12-06 15:17:30-03","MBM","MBM","116515","S","Plantae",NA,"Ranunculaceae","Clematis","dioica","Clematis dioica","L.","Pinto, G.C.P.",NA,NA,NA,"Pinto, G.C.P.","6982",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Carmésia","Estrada Carmésia - Morro do Pilar a 18km de Morro do Pilar","-43.1417007446289","-19.0888996124268",NA,NA,NA,"MBM116515",NA,"15443","auto",NA,NA,NA,NA,NA,NA
