"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","day","locality","recordNumber","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2218","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Isabelia","violacea","Isabelia violacea","(Lindl.) van den Berg & M.W.Chase","Carlos A. Ferreira Jr.","2008","04","Carlos Alberto F. Jr.;","2001","10","Brasil","Minas Gerais","Catas Altas da Noruega","-43.497501373291","-20.6900005340576","11539","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2219","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Maxillaria","ochroleuca","Maxillaria ochroleuca","Lodd. ex Lindl.","Carlos A. Ferreira Jr.","2008","04","Carlos Alberto F. Jr.;","2001","10","Brasil","Minas Gerais","Catas Altas da Noruega","-43.497501373291","-20.6900005340576","11539","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG406","S","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","labiata","Aristolochia labiata",NA,NA,NA,NA,"Maielo - Silva, L.","2009","12","Brasil","Minas Gerais","Catas Altas da Noruega","-43.497501373291","-20.6900005340576","11539","N° Ibama (CTF) = 4477412","auto",NA,"18","Catas Altas da Noruega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 09:57:24-03","UFOP","OUPR","3720","PreservedSpecimen","Plantae",NA,NA,NA,"Rubiaceae","Borreria",NA,"Borreria",NA,NA,NA,NA,"Coelho, L.E.","1893","02","Brasil","Minas Gerais","Catas Altas da Noruega","-43.497501373291","-20.6900005340576","11539","Herva, flores brancas em capitulos axillares. (Ex Herb. da Escola de Pharmacia de Ouro Preto)","auto",NA,"15",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-02 15:03:31-03","UFMG","BHCB","164717","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Aureliana","velutina","Aureliana velutina","Sendtn.",NA,"2013","09","Silva, LVC; Mascarenhas, G; Jorge, TB","2012","11","Brasil","Minas Gerais","Catas Altas da Noruega","-43.561111","-20.594722",NA,"Arbusto, 3m.",NA,NA,"20","Fazenda malta e Meira","1381","12","Southern America","-43.561111","-20.594722","1200","1200",NA,NA,NA
"6","2019-10-02 15:03:31-03","UFMG","BHCB","166236","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Aureliana","velutina","Aureliana velutina","Sendtn.",NA,"2013","09","Silva, LVC; Mascarenhas, G; Jorge, TB","2012","11","Brasil","Minas Gerais","Catas Altas da Noruega","-43.561111","-20.594722",NA,"Arbusto, 3m.",NA,NA,"20","Fazenda malta e Meira","1382","12","Southern America","-43.561111","-20.594722","1200","1200",NA,NA,NA
"7","2019-10-02 15:04:00-03","UFMG","BHCB","164716","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,NA,"Silva, LVC; Mascarenhas, G; Jorge, TB","2012","11","Brasil","Minas Gerais","Catas Altas da Noruega","-43.561111","-20.594722",NA,"Arbusto, 3m.",NA,NA,"20","Fazenda malta e Meira","1380",NA,"Southern America","-43.561111","-20.594722","1200","1200",NA,NA,NA
"8","2018-10-26 12:02:42-03","Cenargen","CEN","56692","S","Plantae",NA,NA,NA,"Poaceae","Aristida","brasiliensis","Aristida brasiliensis","Longhi-Wagner","H. M. Longhi-Wagner",NA,NA,"Hilda Maria Longhi Wagner","2005","03","Brasil","MG","CATAS ALTAS DA NORUEGA","-43.513055","-20.070555",NA,"Doação - Herb. UFRGS - Porto Alegre ICN:136995",NA,"1","18","MG. Catas Altas, Serra do Caraça (R.P.P.N.)","9660",NA,NA,"-43.513055","-20.070555","1100","1100","Exsicatas","CEN00056692","CEN00056692"
"9","2019-06-27 15:39:22-03","Cenargen","CEN","80352","S","Plantae",NA,NA,NA,"Myrtaceae","Accara","elegans","Accara elegans","(DC.) Landrum","J. E. Q. Faria Júnior","2010","11","Jair Eustáquio Quintino de Faria Jr.","2010","11","Brasil","MG","CATAS ALTAS DA NORUEGA","-43.473888","-20.105555",NA,"Botges florais imaturos verdes. HERBÁRIO UB - Minas Gerais.",NA,"1","13","RPPN Serra do Caraça, base da trilha para o Pico do Sol.","973",NA,NA,"-43,473888","-20,105555","1360","1360","Exsicatas","CEN00080352","CEN00080352"
"10","2018-10-26 12:00:12-03","Cenargen","CEN","80359","S","Plantae",NA,NA,NA,"Ochnaceae","Sauvagesia","ericoides","Sauvagesia ericoides","(A.St.-Hil.) Sastre","R. G. Chacon",NA,NA,"Jair Eustáquio Quintino de Faria Jr.","2010","11","Brasil","MG","CATAS ALTAS DA NORUEGA","-43.461944","-20.105555",NA,"HERBÁRIO UB - Minas Gerais.",NA,"1","13","RPPN Serra do Caraça, Trilha para o Pico do Sol, metade da trilha, próximo do Portal.","990",NA,NA,"-43,461944","-20,105555","1726","1726","Exsicatas","CEN00080359","CEN00080359"
