"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","specificEpithet","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","order"
"1","2019-10-02 15:08:45-03","UFMG","BHCB","15186","PreservedSpecimen","Plantae","Monocotyledon","Typhaceae","Typha","Typha","Pedralli, G; Silva","s.n.","1986","07","22","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-14 18:36:41-03","UFMG","BHCB","161574","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Vigna","Vigna adenantha","Pedralli, G","2653","1986","07","22","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","adenantha","F.S.Mey.","2011","06","14","a 67 km de Mantena","liana; Solo arenoso","BHCB004285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-02 15:01:16-03","UFMG","BHCB","14003","PreservedSpecimen","Plantae","Dicotyledon","Passifloraceae","Passiflora","Passiflora silvestris","Pedralli, G","2652","1986","07","22","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","silvestris","Vell.","2015","04","24","A 67 km de Mantena","Liana. Frutos imaturos, flores jovens, frutos com listras verdes verticais, exsicata com sementes; Mata Atlântica","BHCB008753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-02 15:00:51-03","UFMG","BHCB","170243","PreservedSpecimen","Plantae","Dicotyledon","Nyctaginaceae","Bougainvillea","Bougainvillea spectabilis","Kamino, LHY; Maielo Silva, L","1111","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","spectabilis","Willd.",NA,NA,NA,"RPPN Reserva dos Macacos","Trepadeira, brácteas lilases.","BHCB036740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-02 15:00:51-03","UFMG","BHCB","170245","PreservedSpecimen","Plantae","Dicotyledon","Nyctaginaceae","Bougainvillea","Bougainvillea","Kamino, LHY; Maielo Silva, L","1113","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto",NA,NA,NA,NA,NA,"RPPN Reserva dos Macacos, Restaurante Frango com Quiabo.","Arbóreo, brácteas brancas com cálice verde e corola com tricomas marrons.","BHCB036741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-02 14:51:36-03","UFMG","BHCB","170248","PreservedSpecimen","Plantae","Dicotyledon","Boraginaceae",NA,NA,"Kamino, LHY; Maielo Silva, L","1118","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto",NA,NA,"2015","09","22","RPPN Reserva dos Macacos, Restaurante Frango com Quiabo.","Arbóreo, cálice verde e corola branca.; Beira de córrego.","BHCB030898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-02 14:52:16-03","UFMG","BHCB","170249","PreservedSpecimen","Plantae","Dicotyledon","Combretaceae",NA,NA,"Kamino, LHY","1119","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto",NA,NA,"2016",NA,NA,"RPPN Reserva dos Macacos., Restaurante Frango com Quiabo","Árboreo, frutos imaturos verdes e maduros secos","BHCB034590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 14:56:26-03","UFMG","BHCB","170250","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Pachira","Pachira glabra","Kamino, LHY; Maielo Silva, L","1121","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","glabra","Pasq.",NA,NA,NA,"RPPN Reserva dos Macacos, Restaurante Frango com Quiabo - RPPN","Arbórea, 11,5m. Fruto imaturo verde.","BHCB041500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 14:52:29-03","UFMG","BHCB","170246","PreservedSpecimen","Plantae","Dicotyledon","Convolvulaceae","Merremia","Merremia dissecta","Kamino, LHY; Maielo Silva, L","1115","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","dissecta","(Jacq.) Hallier f.","2016","09","22","RPPN Reserva dos Macacos, Restaurante Frango com Quiabo - RPPN","Trepadeira, frutos secos.","BHCB030899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 14:48:09-03","UFMG","BHCB","170247","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Thunbergia","Thunbergia alata","Kamino, LHY; Maielo Silva, L","1117","2008","09","03","Southern America","Brasil","Minas Gerais","Central de Minas","-41.3064002990723","-18.7618999481201","13657","auto","alata","Bojer","2017","01","23","RPPN Reserva dos Macacos, Restaurante Frango com Quiabo - RPPN","Treipadeira, partes florais verdes e fruto imaturo verde.","BHCB043378","BHCB043378 BHCB043378_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
