"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode"
"1","2019-11-21 14:51:21-03","UFJF","CESJ","57343","PreservedSpecimen","Plantae","Polypodiopsida","Anemiaceae","Anemia","organensis","Anemia organensis","Rosenst.","T.E. Almeida","2009","08","28","T.E. Almeida; D.T. Souza; M.M.T.Cota","2057","2009","08","28","América do Sul","Brasil","Minas Gerais","Chalé","Margens do rio José Pedro, Floresta Estacional Semidecidual e Mata Ciliar. 20º02'53''S 41º44'41''W. 371m.","-41.744722","-20.048056","-41.744722","-20.048056","371","371","Erva rupícula em cachoeira, borda de floresta.","CESJ057343","CESJ057343"
"2","2019-10-02 15:05:57-03","UFMG","BHCB","133115","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Astrocaryum","aculeatissimum","Astrocaryum aculeatissimum","(Schott) Burret",NA,NA,NA,NA,"Almeida, TE; Souza, DT; Cota, MMT","2067","2009","09","02","Southern America","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Espata e frutos na carpoteca; Árvore com 8m de altura, no interior de floresta. Lâmina com 3,0 m; pecíolo com 1,8 m; 70 pares de folíolos. Frutos maduros marrons.; Floresta Estacional Semidecidual.","BHCB050499","BHCB050499 BHCB050499_1"
"3","2019-11-07 11:19:18-03","UFMG","BHCB-SL","133102","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,NA,NA,NA,NA,"Almeida, TE; Souza, DT; Cota, MMT","2054","2009","08","28","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual e Mata Ciliar","-41.74475","-20.047917","-41.74475","-20.047917","371","371","Erva terrestre ao lado de cachoeira",NA,NA
"4","2019-11-07 11:19:18-03","UFMG","BHCB-SL","133116","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,NA,NA,NA,NA,"Almeida, TE; Souza, DT; Cota, MMT","2068","2009","09","03","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Erva terrestre no interior de floresta",NA,NA
"5","2020-02-11 18:26:28-03","UFMG","BHCB-SL","133114","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","dolosum","Adiantum dolosum","Kunze","Almeida, TE","2009","09","02","Almeida, TE; Souza, DT; Cota, MMT","2066","2009","09","02","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Floresta Esacional Semidecidual e Mata Ciliar",NA,NA
"6","2020-03-04 20:43:42-03","UFMG","BHCB-SL","133109","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Amauropelta","opposita","Amauropelta opposita","(Vahl) Pic.Serm.","Almeida, TE","2009","08","30","Almeida, TE; Souza, DT; Cota, MMT","2061","2009","08","30","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Erva terrestre em barranco, na beira da estrada",NA,NA
"7","2019-11-07 11:13:50-03","UFMG","BHCB-SL","133105","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","organensis","Anemia organensis","Rosenst.","Almeida, TE","2009","08","28","Almeida, TE; Souza, DT; Cota, MMT","2057","2009","08","28","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual e Mata Ciliar","-41.74475","-20.047917","-41.74475","-20.047917","371","371","Erva rupícola em cachoeira, borda de floresta",NA,NA
"8","2019-11-07 11:15:28-03","UFMG","BHCB-SL","133106","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.","Almeida, TE","2009","08","28","Almeida, TE; Souza, DT; Cota, MMT","2058","2009","08","28","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual e Mata Ciliar","-41.74475","-20.047917","-41.74475","-20.047917","371","371","Erva rupícola em cachoeira, borda de floresta",NA,NA
"9","2019-11-07 11:15:31-03","UFMG","BHCB-SL","133112","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","polypodioides","Blechnum polypodioides","Raddi","Almeida, TE","2009","08","30","Almeida, TE; Souza, DT; Cota, MMT","2064","2009","08","30","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Erva terrestre em barranco, na beira de estrada",NA,NA
"10","2019-11-07 11:21:33-03","UFMG","BHCB-SL","133110","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Goniopteris","vivipara","Goniopteris vivipara","(Raddi) Brade","Almeida, TE","2009","08","30","Almeida, TE; Souza, DT; Cota, MMT","2062","2009","08","30","América","Brasil","Minas Gerais","Chalé","Rio José Pedro., Floresta Estacional Semidecidual","-41.747583","-20.046694","-41.747583","-20.046694","371","371","Erva terrestre em barranco, a beira de estrada",NA,NA
