"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet"
"1","2019-12-16 18:55:07-03","NYBG","NYBG","629417","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","warmingianum","Protium warmingianum","Marchand","D. C. Daly","1998","A. Salino","3844","1997","12","04","South America","Brazil","Minas Gerais","Coimbra","Coimbra, 2 km depois do Córrego Estiva","-42.8028","-20.8569","-42.8028","-20.8569","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00629417","NY00629417",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:14:04-03","ESALQ","ESA","48548","S","Plantae","Magnoliophyta",NA,"Burseraceae","Protium","warmingianum","Protium warmingianum",NA,"Daly, D.","2014","Salino, A.","3844","1997","12","04",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,NA,"ESA048548","ESA048548","10161","auto",NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:30:56-03","UFV","VIC","31729","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Cecropia","pachystachya","Cecropia pachystachya","Trécul","Souza, P.P. de","2008","Souza, P.P. de","263","2008","09","24",NA,"Brasil","Minas Gerais","Coimbra","BR 120 - Serra de São Geraldo, Mata logo na descida da serra, beirando a estrada.","-42.789444","-20.881083","-42.789444","-20.881083",NA,"Árvore, c.a. de 6,0 metros de altura, tronco de cor cinza-claro, seiva latescente de cor branca, tornando-se escura após o corte, estípula espatácea de cor branca a rosa-claro, pubescente, espata de cor branca, recoberta por tricomas h","VIC031729","VIC031729",NA,NA,"09","30",NA,NA,NA,NA
"4","2020-03-10 08:28:20-03","UFV","VIC","22475","PreservedSpecimen","Plantae",NA,NA,"Didymochlaenaceae","Didymochlaena","truncatula","Didymochlaena truncatula","(SW) J.Sm",NA,NA,"Valente, G.E.","360","1998","10","08",NA,"Brasil","Minas Gerais","Estrada de Viçosa a Coimbra (B",NA,NA,NA,NA,NA,NA,"Terrestre de interior de mata em local sombreado.","VIC022475",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:28:58-03","UFV","VIC","21382","PreservedSpecimen","Plantae",NA,NA,"Marantaceae",NA,NA,NA,NA,NA,NA,"Valente, G.E.; Azevedo, A.A.","1638","2003","12","08",NA,"Brasil","Minas Gerais","Viçosa-Coimbra","Sítio Bom Sucesso (mais conhecido como Mata do Sr., Próximo ao trevo da UFV",NA,NA,NA,NA,NA,"Planta herbácea crescendo em sub-bosque de mata. Inflorescência palheacea esverdida.","VIC021382","VIC021382",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:30:26-03","UFV","VIC","007996","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E. Fourn.",NA,NA,"Patrícia","s.n.","1977","09","23",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,"Retirada de casca de árvore, epífita.","VIC007996","VIC007996","10161","auto",NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:30:26-03","UFV","VIC","007998","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Phlebodium","areolatum","Phlebodium areolatum","(Humb. & Bonpl. ex Willd) J.Sm",NA,NA,"Patrícia","s.n.","1977","09","23",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,"Planta de local úmido, silvestre ou podendo ser cultivada.","VIC007998","VIC007998","10161","auto",NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:28:23-03","UFV","VIC","007981","PreservedSpecimen","Plantae",NA,NA,"Equisetaceae","Equisetum","bogotense","Equisetum bogotense","H.B. & K.",NA,NA,"Coons, M. .P.","s.n.","1977","09","23",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,"Local úmido,caule verde, folhas cinzas,planta estéril.","VIC007981","VIC007981","10161","auto",NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:28:49-03","UFV","VIC","7994","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","L","Pena, N.T.L.","2019","Patrícia","s.n.","1977","09","23",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,NA,"VIC007994","VIC007994","10161","auto","04",NA,NA,NA,NA,NA
"10","2020-03-10 08:30:58-03","UFV","VIC","022310","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz. & Pav.) Juss.",NA,NA,"Carvalho, A.F.","568","1998","09","01",NA,"Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,"Arbusto de flores brancas aromáticas.","VIC022310",NA,"10161","auto",NA,NA,NA,NA,NA,NA
