"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","year","month","day","locality","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","626","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sp.","Neoregelia sp.","Elton. C. M. Leme","2011","08","C. Moreira; R. Bello","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","68","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Niduregelia","x fraudulenta","Niduregelia x fraudulenta","Elton. C. M. Leme","2011","08","Alvim Seidel;","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","1","254","auto","Leme","Seidel1006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","562","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","strobilispica","Quesnelia strobilispica","Elton. C. M. Leme","2011","08","R. Bello; C. Moreira","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","1","254","auto","Wawra",NA,"2000","09","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","3772","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","fosteriana","Vriesea fosteriana",NA,NA,NA,"Elton M. C. Leme; Roberto A. Kautsky; Bruno Rezende Silva; Karl Green","Brasil","Espirito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","1","254","auto","L. B. Smith","LEME4885","2000","04","20","Próximo a Conceição do Castelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:35:44-03","NYBG","NYBG","555738","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","amplum","Piper amplum","R. Callejas Posada","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kunth","49869","1985","10","17","Venda Nova, arredores","South America","-41.2439","-20.3683","sheet","NY00555738","NY00555738",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:31:43-03","NYBG","NYBG","616934","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","rivularis","Plinia rivularis","M. Sobral","1992",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Cambess.) Rotman","49879","1985","10","17","Venda Nova, arredores","South America","-41.2439","-20.3683","sheet","NY00616934","NY00616934","800","800",NA,NA,NA,NA,NA,NA
"7","2019-12-16 16:37:24-03","NYBG","NYBG","02637457","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Pogonatum","pensilvanicum","Pogonatum pensilvanicum","W. R. Buck","1989",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceição do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2918397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Hedw.) P.Beauv.","s.n.","1987","08","20","Alto Bananal (mun. Conceição do Castelo)","South America","-41.256612","-20.378333","packeted","NY02637457",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 16:58:16-03","NYBG","NYBG","626477","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Pristimera","celastroides","Pristimera celastroides","J. A. Lombardi","2007",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Kunth) A.C.Sm.","50686","1986","11","06","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY00626477","NY00626477",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:58:16-03","NYBG","NYBG","626479","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Pristimera","nervosa","Pristimera nervosa","A. M. W. Mennega","1987",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Miers) A.C.Sm.","50695","1986","11","06","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY00626479","NY00626479",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:42:59-03","NYBG","NYBG","502371","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","J. H. Kirkbride Jr.","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Benth.","48650","1984","12","05","Rod. BR 262","South America","-41.2439","-20.3683","sheet","NY00502371","NY00502371",NA,NA,NA,NA,NA,NA,NA,NA
