"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","scientificNameAuthorship","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem","relationshipType"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3784","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","strobilabica","Quesnelia strobilabica","L.Assis","2015","10","21","Lucas Assis; Kelen Soares","2015","10","21","Brasil","MG","Conceição do Mato Dentro","Serra do Intendente","-43.4249992370605","-19.0372009277344","7893419","23k645116","60318","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1492","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Encyclia","sp.","Encyclia sp.","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,NA,"254",NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","1497","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","teres","Acianthera teres","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,"Equisetopsida","(Lindl.) Borba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","1489","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","teres","Acianthera teres","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,"Equisetopsida","(Lindl.) Borba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","3490","S","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","affine","Anthurium affine","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","2","254","auto","Equisetopsida","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1493","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","exaltatum","Bulbophyllum exaltatum","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,"Equisetopsida","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","3489","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","angereri","Cattleya angereri","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,"254","auto","Equisetopsida","(Pabst) Van den Berg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1549","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","crispata","Cattleya crispata","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,NA,"254",NA,"Equisetopsida","(Thunb.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1550","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","crispata","Cattleya crispata","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,"Equisetopsida","(Thunb.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1491","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","crispata","Cattleya crispata","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,NA,"254",NA,"Equisetopsida","(Thunb.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1551","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","crispata","Cattleya crispata","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,"Equisetopsida","(Thunb.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1552","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","crispata","Cattleya crispata","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,NA,"254",NA,"Equisetopsida","(Thunb.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3488","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","rupestris","Cattleya rupestris","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto","Equisetopsida","(Lindl.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3486","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cipocereus","minensis","Cipocereus minensis","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,"(Werderm.) Ritter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3482","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","leopoldo-horstii","Cryptanthus leopoldo-horstii","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","2","254","auto",NA,"Rauh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1490","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1496","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1494","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,"1","254",NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1495","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Carlos A. Ferreira Jr.","2010","06","29","Miriam Pimentel;","2010","06","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.434444","-18.894722","43º 26' 04W","18º 53' 41S",NA,NA,"254",NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3483","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","sp.","Encholirium sp.","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3484","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Encholirium","subsecundum","Encholirium subsecundum","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,"(Baker) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","3487","S","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","cf. phosphorea","Euphorbia cf. phosphorea","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3485","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,"(G.Forst.) Hook. & Arn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","3491","S","Plantae","Magnoliophyta","Alismatales","Araceae","Philodendron","adamantinum","Philodendron adamantinum","Lucas Assis","2014","08","11","Lucas Assis; Kelen Soares","2014","08","08","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada da cachoeira do Tabuleiro","-43.4249992370605","-19.0372009277344",NA,NA,"60318","2","254","auto","Equisetopsida","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","700","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cipoensis","Vriesea cipoensis","Elton. C. M. Leme","2011","08",NA,"C. C. Paula; Otávio; Elídio",NA,NA,NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","Alto Palácio, em Jaboticatubas/Conceição do Mato Dentro, Km 135","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,"O.B.C.Ribeiro et al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1554","S","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","sp.","Xyris sp.","Mirian Pimentel","2010","01","11","Miriam Pimentel;","2011","01","10","Brasil","Minas Gerais","Conceição do Mato Dentro","Área da mineração Anglo Ferrous","-43.4249992370605","-19.0372009277344",NA,NA,"60318","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 18:35:27-03","NYBG","NYBG","00957033","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","T. G. Yuncker",NA,NA,NA,"M. B. Foster","1940","07","13","Brazil","Minas Gerais","Conceição do Mato Dentro","Municipio Conceição, Serra do Cipó- k. 152- estrada de Conceição.","-43.4247","-19.0372","-43.4247","-19.0372",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"(G.Forst.) Hook. & Arn.","10901","South America","sheet","NY00957033","NY00957033",NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 17:27:13-03","NYBG","NYBG","00934717","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","R. C. Barneby","1989",NA,NA,"G. G. Hatschbach","1989","05","19","Brazil","Minas Gerais","Conceição do Mato Dentro","Ouro Fino","-43.4247","-19.0372","-43.4247","-19.0372",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Mart.) J.F.Macbr.","52899","South America","sheet","NY00934717","NY00934717","700","700",NA,NA,NA,NA,NA
"29","2019-12-16 19:16:29-03","NYBG","NYBG","02474273","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pityrogramma","calomelanos","Pityrogramma calomelanos","R. C. Moran","2015",NA,NA,"P. H. Labiak E.","2013","02","02","Brazil","Minas Gerais","Conceição do Mato Dentro","Parque Nacional da Serra do Cipó. Estrada para a Cachoeira da Farofa.","-43.584","-19.384","-43.584","-19.384",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2687186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"(L.) Link","5409","South America","sheet","NY02474273","NY02474273","800","800",NA,NA,NA,NA,NA
