"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"1","2019-12-16 17:35:26-03","NYBG","NYBG","1013507","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","pachyglossum","Oxypetalum pachyglossum","Decne.","D. L. Spellman","1977","G. Davidse","10764","1976","02","27","South America","Brazil","Minas Gerais","Conselheiro Lafaiete","6 km SE of Consolheiro Lafaiete along Highway 135 to Barbacena.","-43.7858","-20.6606","-43.7858","-20.6606","1020","1020","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01013507","NY01013507",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:42:09-03","NYBG","NYBG","00860389","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","aequalis","Paepalanthus aequalis","(Vell.) J.F.Macbr.","H. N. Moldenke","1950","H. L. de M. Barreto","5180","1936","09","29","South America","Brazil","Minas Gerais","Conselheiro Lafaiete","Congonhas- casa de pedra","-43.7858","-20.6606","-43.7858","-20.6606",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00860389","NY00860389","02",NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG484","S","Plantae",NA,NA,"Primulaceae","Myrsine","gardneriana","Myrsine gardneriana",NA,NA,NA,"Maielo - Silva, L.",NA,"2011","12","16",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Conselheiro Lafaiete","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Nº Ibama (CTF) = 4477412",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"4","2020-01-28 13:11:43-03","MCN-PUC-MINAS","HPUC-MG","PTF018","S","Plantae","Pteridophyta",NA,"Thelypteridaceae","Amauropelta","amambayensis","Amauropelta amambayensis",NA,"Maielo, Silva, L.",NA,"Maielo, Silva, L. et al",NA,"2009","12","18",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Conselheiro Lafaiete","-43.785","-20.663889","43° 47' 06'' W","20° 39' 50'' S","989","989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF008","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale",NA,"Assis, F.C.","2016","Maielo, Silva, L. et al",NA,"2009","12","18",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Conselheiro Lafaiete","-43.785","-20.663889","43° 47' 06'' W","20° 39' 50'' S","989","989",NA,NA,NA,NA,"05",NA,NA,"05",NA,NA,NA
"6","2019-03-20 11:47:23-03","MCN-PUC-MINAS","HPUC-MG","ANG551","S","Plantae",NA,NA,"Rosaceae","Rubus","urticifolius","Rubus urticifolius",NA,NA,NA,"Maielo - Silva, L.",NA,"2009","09","16",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Conselheiro Lafaiete","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Nº IBAMA (CTF) = 4477412",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"7","2019-07-11 10:14:13-03","ESALQ","ESA","15466","S","Plantae","Magnoliophyta",NA,"Scrophulariaceae","Verbascum",NA,"Verbascum",NA,NA,NA,"Carvalho, A.F.","69","1992","11","30",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"ESA015466",NA,NA,"15602","auto",NA,NA,NA,NA
"8","2019-07-11 10:14:13-03","ESALQ","ESA","15418","S","Plantae","Magnoliophyta",NA,"Scrophulariaceae","Verbascum","virgatum","Verbascum virgatum","Stokes","Souza, V.C.","1994","Carvalho, A.F.","69","1992","11","30",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"ESA015418","ESA015418","11","15602","auto","27",NA,NA,NA
"9","2020-02-13 14:06:35-03","MN","R","5067","S","Plantae",NA,NA,"Apocynaceae","Blepharodon","nitidum","Blepharodon nitidum","(Vell.) J.F. Macbr.",NA,NA,"Sampaio, A.J.","458","1905","12","11",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15602","auto",NA,NA,NA,NA
"10","2020-02-13 14:07:08-03","MN","R","12100","S","Plantae",NA,NA,"Apocynaceae","Peschiera","affinis","Peschiera affinis","(Müll. Arg.) Miers","Markgraf, F.",NA,"Glaziou, A.F.M.","15212","1884","04","06",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000012100","R000012100_001",NA,"15602","auto",NA,NA,NA,NA
