"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","typeStatus","order","individualCount","class","infraspecificEpithet","preparationType"
"1","2019-07-11 08:48:38-03","ESALQ","ESA","134850","S","Plantae","Orchidaceae","Dryadella","krenakiana","Dryadella krenakiana","Campacci","Campacci, M.A.","Ribeiro, E.C.","178","2014","10","01","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","ESA134850","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:48:38-03","ESALQ","ESA","134858","S","Plantae","Orchidaceae","Hoffmannseggella","campaccii","Hoffmannseggella campaccii","P.A. Harding & Bohnke","Harding, P.A.","Campacci, M.A.","MAC 2013 009","2013","09","01","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","ESA134858","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:27-03","UFV","VIC","36538","PreservedSpecimen","Plantae","Mimosoideae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","(DC.) G.P. Lewis & M.P. Lima","Fernandes, J.M.","Fernandes, J.M.","1433","2012","05","14","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","VIC036538","auto","2012","05","14","Parque Estadual dos Sete Salões","Árvore 5m alt., frutos verdes, desenvolvidos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:17-03","UFV","VIC","36547","PreservedSpecimen","Plantae","Mimosoideae","Inga","hispida","Inga hispida","Schott ex Benth.","Fernandes, J.M.","Fernandes, J.M.","1159","2009","11","08","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","VIC036547","auto","2009","11","08","Parque Estadual dos Sete Salões, Floresta Estacional Semidecidual; mata ciliar.","Árvore, c.a. de 7,0 metros de altura; frutos secos.","VIC036547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-26 11:49:35-03","UFOPA","HSTM","3894","PreservedSpecimen","Plantae","Polypodiaceae","Microgramma","geminata","Microgramma geminata","(Schrad.) R.M.Tryon & A.F.Tryon",NA,"Salino, A.","10900","2006","05","07","Brasil","Minas Gerais","Conselheiro Pena","-41.393611","-19.2525",NA,"HSTM003894",NA,NA,NA,NA,"Parque Estadual de Sete Salões. Área com floresta Estacional Semidecidual e com palmeira (Attalea sp.) e Cactus nas margens do córrego da Onça, além de afloramentos rochosos no entorno.",NA,NA,"41º23'37''W","19º15'9''S","430","430",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:33:37-03","UFJF","CESJ","18759","PreservedSpecimen","Plantae","Convolvulaceae","Merremia","umbellata","Merremia umbellata","(L.) Hallier f.",NA,"L. Krieger","CESJ18759","1955","07","04","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","CESJ018759","auto",NA,NA,NA,NA,"À beira do rio, flores amarelas.",NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:39:11-03","UFJF","CESJ","5412","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax",NA,"Pseudobombax",NA,NA,"E.M; V.M","s.n.,","1955","07","04","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","CESJ005412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:50-03","UFJF","CESJ","15528","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata","(L.) L.","G. Martinelli","L. Krieger","CESJ15528","1955","08","04","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","CESJ015528","auto","1980","04",NA,"Vale do Rio Doce","Epífiota de bombax sobre pedreira",NA,NA,NA,NA,NA,"Angiosperma","América do Sul",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:53:33-03","UFJF","CESJ","56977","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","plumula","Pecluma plumula","(Humb. & Bonpl. ex Willd.) M.G.Price","A. Salino","A. Salino; T.E. Almeida; G. Heringer","10891","2006","05","07","Brasil","Minas Gerais","Conselheiro Pena","-41.393639","-19.252611",NA,"CESJ056977",NA,"2006","05",NA,"Pq, Estadual de Sete Salões, 430m de altitude; 19º15'09,4 S, 41º23'37,1 W.","Área com Floresta Estacional semidecidual e com palmeira (Attalea sp.) e Cactus, nas margens do córrego da Onça, além de afloramentos rochosos no entorno. Rupícola no interior de mata. Prensado em álcool.",NA,"-41.393639","-19.252611","430","430","Polypodiopsida","América do Sul",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:53:53-03","UFJF","CESJ","57527","PreservedSpecimen","Plantae","Polypodiaceae","Serpocaulon","triseriale","Serpocaulon triseriale","(Sw.) A.R.Sm.","V.A.O. Dittrich","A. Salino; T.E. Almeida; G. Heringer","10897","2006","05","07","Brasil","Minas Gerais","Conselheiro Pena","-41.393639","-19.7525",NA,"CESJ057527",NA,"2015","02",NA,"Pq, Estadual de Sete Salões, 430m de altitude; 19º15'09,4 S, 41º23'37,1 W.","Área com Floresta Estacional semidecidual e com palmeira (Attalea sp.) e Cactus, nas margens do córrego da Onça, além de afloramentos rochosos no entorno. Rupícola no interior de mata. Prensado em álcool.",NA,"-41.393639","-19.7525","430","430","Polypodiopsida","América do Sul",NA,NA,NA,NA,NA,NA
