"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","infraspecificEpithet"
"1","2019-12-16 18:43:19-03","NYBG","NYBG","00861683","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Axonopus","capillaris","Axonopus capillaris","G. Davidse","G. Davidse","11482","1976","03","28","South America","Brazil","Minas Gerais","Coroaci","Ca. 30 km ESE of Pecanha along Highway MG 109","-42.2856","-18.6219","-42.2856","-18.6219","780","780","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936133 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00861683","NY00861683",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:48:21-03","NYBG","NYBG","00897497","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Chondodendron",NA,"Chondodendron","R. C. Barneby","E. T. Neto","2751","1998","11","18","South America","Brazil","Minas Gerais","Coroaci","Usina de Tronqueiras, Rio Tronqueiras.","-42.2856","-18.6219","-42.2856","-18.6219",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00897497",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:13:39-03","NYBG","NYBG","00996508","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","grandiflora","Luehea grandiflora","M. C. d. S. Cunha","G. Davidse","11480","1976","03","28","South America","Brazil","Minas Gerais","Coroaci","Ca. 30 km ESE of Peçanha along Highway MG 109.","-42.2856","-18.6219","-42.2856","-18.6219","780","780","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00996508","NY00996508","Mart.","1983",NA,NA,NA,NA,NA,NA
"4","2019-02-22 15:20:57-03","ESALQ","ESA","78948","S","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea",NA,"Ocotea",NA,"Tameirão Neto, E.","2769","1998","11","18",NA,"Brasil","Minas Gerais","Coroaci",NA,"-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,NA,"ESA078948","ESA078948",NA,NA,"24192","auto",NA,NA,NA,NA
"5","2019-02-22 15:20:39-03","ESALQ","ESA","78947","S","Plantae","Magnoliophyta",NA,"Lauraceae",NA,NA,NA,NA,"Tameirão Neto, E.","2759","1998","11","18",NA,"Brasil","Minas Gerais","Coroaci",NA,"-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,NA,"ESA078947","ESA078947",NA,NA,"24192","auto",NA,NA,NA,NA
"6","2019-11-21 14:39:54-03","UFJF","CESJ","33302","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Brosimum","glaziovii","Brosimum glaziovii","C.C.Berg","E. Tameirão-Neto","2768","1998","11","18","América do Sul","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras, rio Tronqueiras","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Habitat: Floresta Semidecidual. Hábito: arbóreo","CESJ033302",NA,"Taub.","2001","24192","auto","03",NA,NA,NA
"7","2019-11-21 14:39:54-03","UFJF","CESJ","33304","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Brosimum","guianense","Brosimum guianense","C.C.Berg","E. Tameirão-Neto","2767","1998","11","18","América do Sul","Brasil","Minas Gerais","Coroaci","Usina de Tronqueiras, rio Tronqueiras","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Habitat: Floresta Semidecidual. Hábito: arbóreo","CESJ033304",NA,"(Aubl.) Huber","2001","24192","auto","03",NA,NA,NA
"8","2019-08-20 10:21:42-03","UNICAMP","UEC","121388","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","vellozoi","Myrcia vellozoi","Kawasaki, ML","Tameirão Neto, E","2771","1998","11","18",NA,"Brazil","Minas Gerais","Coroaci","Usina de tronqueiras, Rio Tronqueiras.","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,"Arboreo.","UEC008289","UEC008289","Mazine","1999","24192","auto",NA,NA,NA,NA
"9","2019-12-06 14:39:59-03","MBM","MBM","90587","S","Plantae",NA,NA,"Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","Faden, R.B.","Davidse, G.; et al.; et al.","11467","1976","03","28","Southern America","Brazil","Minas Gerais","Coroaci","Ca. 27 Km SE of Coroaci","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,NA,"MBM090587","MBM090587","(Mart.) Handlos",NA,"24192","auto",NA,NA,NA,NA
"10","2019-12-06 15:13:52-03","MBM","MBM","61946","S","Plantae",NA,NA,"Poaceae","Acroceras","zizanioides","Acroceras zizanioides",NA,"Davidse, G.; et al.; et al.","11473",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Coroaci","Ca. 27km SE de Coroaci","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,NA,"MBM061946","MBM061946","(Kunth) Dandy",NA,"24192","auto",NA,NA,NA,NA
"11","2019-12-06 15:06:57-03","MBM","MBM","256284","S","Plantae",NA,NA,"Moraceae","Brosimum","guianense","Brosimum guianense","Berg, C.C.","Trameirão Neto, E.","2767",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Coroaci","Usina de Tranqueiras","-42.2858009338379","-18.6219005584717",NA,NA,NA,NA,NA,NA,"MBM256284","MBM256284","(Aubl.) Huber",NA,"24192","auto",NA,NA,NA,NA
