"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","550","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pineliana","Aechmea pineliana","(Brong. ex Planch.) Baker","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Bruno Rezende Silva","2000","05","25","Brasil","Minas Gerais","Coronel Fabriciano","Mata remanescente ciliar","-42.6288986206055","-19.5186004638672","21443","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:48:40-03","NYBG","NYBG","00896718","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Leonurus",NA,"Leonurus",NA,"J. F. Pruski",NA,NA,"R. de Lemos Fróes","1957","08","28","Brazil","Minas Gerais","Coronel Fabriciano","Coronel Fabricianao, Rio Piracicaba.","-42.6289","-19.5186",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"33357","South America","-42.6289","-19.5186","sheet","NY00896718","NY00896718",NA,NA,NA,NA,NA
"3","2019-11-04 10:44:33-03","UFRJ","RFA","6704","Preservedecimen","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","agnus-castus","Arrabidaea agnus-castus","DC.","R.Laroche","1972","09","Mendes Magalhães","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Trepadeira, flor violácea frequente.","auto","17601",NA,NA,NA,NA,"RFA26532",NA,"19",NA,NA,NA,NA
"4","2019-11-04 10:44:33-03","UFRJ","RFA","6679","Preservedecimen","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","agnus-castus","Arrabidaea agnus-castus","DC.","R.Laroche","1972","09","Mendes Magalhães","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Trepadeira de flor violácea frequente.","auto","17601",NA,NA,NA,NA,"RFA26518",NA,"19",NA,NA,NA,NA
"5","2019-09-24 10:49:25-03","EAO","IAN","106789","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Gurania","ovata","Gurania ovata","Cogn.","Klein, VLG","2016","08","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata secular.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó. Flor alaranjada. Frequente.","auto","17734","Southern America",NA,NA,NA,"IAN106789",NA,"17",NA,NA,NA,NA
"6","2019-09-24 10:49:25-03","EAO","IAN","106788","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Gurania","ovata","Gurania ovata","Cogn.","Klein, VLG","2016","08","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata secular.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó. Flor alaranjada. Frequente.","auto","17734","Southern America",NA,NA,NA,"IAN106788",NA,"17",NA,NA,NA,NA
"7","2019-09-24 10:34:07-03","EAO","IAN","99599","PreservedSpecimen","Plantae",NA,NA,"Indet.","Indet",NA,"Indet",NA,NA,NA,NA,"Fróes, RL","1957","09","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m, mata virgem da reserva florestal do estado. Amostra de madeira.","auto","33369","Southern America",NA,NA,NA,"IAN099599",NA,NA,NA,NA,NA,NA
"8","2019-09-24 11:00:53-03","EAO","IAN","XILO3276","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Viana Filho, M","2007","11","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da Florestal Reserval do estado. Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m. de altura.","auto","33419","Southern America",NA,NA,NA,"IANXILO3276",NA,"26",NA,NA,NA,NA
"9","2019-09-24 11:05:12-03","EAO","IAN","99636","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","integrifolia","Pilocarpus integrifolia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região de Piracicaba. Mata virgem da reserva florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore pequena.","auto","33413","Southern America",NA,NA,NA,"IAN099636",NA,NA,NA,NA,NA,NA
"10","2019-09-24 10:57:13-03","EAO","IAN","99632","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Platypodium","elegans","Platypodium elegans","Vogel",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m.","auto","33409","Southern America",NA,NA,NA,"IAN099632",NA,NA,NA,NA,NA,NA
