"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","continentOcean","occurrenceRemarks","barcode","imagecode","preparationType","class","order"
"1","2015-07-02 14:55:32-03","JBP","HPL","5377","S","Plantae","Heliconiaceae","Heliconia","episcopalis","Heliconia episcopalis","Vell","H. Lorenzi","2004","05","05","H. Lorenzi","4827","2004","05","05","Brasil","MG","Córrego Novo","Coletado na estrada para a Ponte Queimada a 3km da cidade.","-42.416389","-19.814722","42° 24' 59 W","19° 48' 53 S","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:01:06-03","JBP","HPL","10024","S","Plantae","Bignoniaceae",NA,NA,NA,NA,NA,NA,NA,NA,"R. Tsuji & A. Campos-Rocha","2411","2008","01","09","Brasil","MG","Córrego Novo","Coletado nas proximidades do município de Córrego Novo; em beira de estrada de terra, sentido Córrego Novo-Pingo D#?#Água.","-42.3964","-19.8319",NA,NA,NA,NA,"16605","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:36:52-03","UFJF","CESJ","44157","PreservedSpecimen","Plantae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott",NA,NA,NA,NA,"G.S. França","331","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas","-42.3964004516602","-19.8318996429443",NA,NA,NA,NA,"16605","auto","Angiosperma","América do Sul","Arbóreo - 3 m, rebrota, beira de estrada próximo a reflorestamento.","CESJ044157",NA,NA,NA,NA
"4","2019-11-21 14:37:13-03","UFJF","CESJ","44158","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Mart.",NA,NA,NA,NA,"G.S. França","334","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas, Lat: 19°51'26 S. Lon: 42°30'29 W. Alt: 260 m.","-42.3964004516602","-19.8318996429443",NA,NA,NA,NA,"16605","auto","Angiosperma","América do Sul","Arbóreo - 8 m, inflorescência bonina, floresta estacional semidecidual.","CESJ044158",NA,NA,NA,NA
"5","2019-11-21 14:39:35-03","UFJF","CESJ","45851","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans","(Sw.) Triana",NA,NA,NA,NA,"G.S. França","332","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas, Lat.: 19° 51' 26S, Lon.: 42° 30' 29 W, Alt.: 260m.","-42.3964004516602","-19.8318996429443",NA,NA,NA,NA,"16605","auto","Angiosperma","América do Sul","Árboreo - 5m, frutos verdes, ,floresta estacional semidecidual.","CESJ045851",NA,NA,NA,NA
"6","2019-11-21 14:44:53-03","UFJF","CESJ","45739","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","(Rich.) Urb.",NA,NA,NA,NA,"G.S. França","337","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas, Lat.:19º51'26S, Lon.:42º30'29W, Alt.: 260m.","-42.508056","-19.857222","-42.508056","-19.857222","260","260",NA,NA,"Angiosperma","América do Sul","Arbustivo - 2,5m, floresta estacional semidecidual.","CESJ045739",NA,NA,NA,NA
"7","2019-12-06 14:40:05-03","MBM","MBM","422224","S","Plantae","Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","Nardin, E.C.","2019","05","09","Pujals, A.; Molina, J.; Molina, J.","s.n.","2019","01","15","Brazil","Minas Gerais","Córrego Novo",NA,"-42.490833","-19.793056","-42.490833","-19.793056",NA,NA,NA,NA,NA,"Southern America",NA,"MBM422224",NA,NA,NA,NA
"8","2019-10-02 14:51:17-03","UFMG","BHCB","81859","PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","sessile","Adenocalymma sessile","Udulutsch & Assis",NA,NA,NA,NA,"França, GS","341","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas","-42.508056","-19.857222","-42.508056","-19.857222","260","260",NA,NA,"Dicotyledon","Southern America","Fruto da Carpoteca&nf;; Arbóreo, 3 metros de altura, flores amarelas; Sub-bosque de Floresta Estacional Semidecidual","BHCB030312",NA,NA,NA,NA
"9","2019-10-02 14:51:17-03","UFMG","BHCB",NA,"PreservedSpecimen","Plantae","Bignoniaceae","Adenocalymma","sessile","Adenocalymma sessile","Udulutsch & Assis",NA,NA,NA,NA,"França, GS","341","2003","05","09","Brasil","Minas Gerais","Córrego Novo","Lagoa das Piabas","-42.508056","-19.857222","-42.508056","-19.857222","260","260",NA,NA,"Dicotyledon","Southern America","Fruto da Carpoteca&nf;; Arbóreo, 3 metros de altura, flores amarelas; Sub-bosque de Floresta Estacional Semidecidual","BHCB032069",NA,NA,NA,NA
"10","2019-10-02 15:02:54-03","UFMG","BHCB","81864","PreservedSpecimen","Plantae","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.",NA,"2013","10","11","França, GS","355","2003","06","05","Brasil","Minas Gerais","Córrego Novo","Lagoa Zé de Brito","-42.454167","-19.816111","-42.454167","-19.816111","314","314",NA,NA,"Dicotyledon","Southern America","Árboreo - 10 m de altura, frutos verdes.; Floresta estacional semidecidual.","BHCB013128",NA,NA,NA,NA
