"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","previousCatalogNumber","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount"
"1","2019-02-22 15:18:38-03","ESALQ","ESA","101759","S","Plantae","Magnoliophyta","Fabaceae","Mimosa","Mimosa","Proença, C.","3083","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","ESA101759","ESA101759","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:56:24-03","ESALQ","ESA","89030","S","Plantae","Magnoliophyta","Osmundaceae","Osmunda","Osmunda regalis","Duarte, A.P.","11048","1968","08","06","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","ESA089030",NA,"auto","regalis","L.","Salino, A.","2003","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:28:26-03","UFV","VIC","30229","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Acalypha","Acalypha brasiliensis","Proença, C.; Harris, S.A.","3086","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,"VIC030229","VIC030229",NA,"brasiliensis","Müll. Arg.","Proença, C.","2006","01","17","Remanescente de Mata Atlântica antropizada.","-43.769167","-20.843611","Arbusto, c.a. de 1,2 metros de altura. Flor creme. Estigmas vermelhos.",NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:22-03","UFV","VIC","30220","PreservedSpecimen","Plantae",NA,"Mimosoideae","Mimosa","Mimosa","Proença, C.; Harris, S.A.","3083","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,"VIC030220","VIC030220",NA,NA,NA,NA,NA,NA,NA,"Vegetação antropizada e pasto com remanescentes de mata atlântica.","-43.769167","-20.843611","Arbusto. Flor rosa escuro. Anteras amarelo-claras. Folhas tigmotrópicas rápidas. Flores com perfume suave.",NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:27:23-03","UFV","VIC","30236","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","Vernonia westiniana","Proença, C.; Harris, S.A.","3092","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,"VIC030236","VIC030236",NA,"westiniana","Less.","Riveira, V.L.","2006","01","17","Remanescente de mata atlântica antropizada.","-43.769167","-20.843611","Arbusto ereto, c.a. de 1,5 metros. Flor rosa lilás forte. Flores velhas se tornam brancas. Folhas verde muito escuras na ventral.",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:30:39-03","UFV","VIC","30234","PreservedSpecimen","Plantae",NA,"Rubiaceaeae","Galium","Galium hypocarpium","Proença, C.; Harris, S.A.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","VIC030234",NA,"auto","hypocarpium","Endl. ex Griseb",NA,NA,NA,NA,NA,NA,NA,"Erva prostrada de fruto alaranjado vistoso.",NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:30:31-03","UFV","VIC","30235","PreservedSpecimen","Plantae",NA,"Rosaceae","Rubus","Rubus rosaefolius","Proença, C.; Harris, S.A.","3084","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","VIC030235","VIC030235","auto","rosaefolius","Sm.",NA,NA,NA,NA,"próximo a cascatinha",NA,NA,"Arbusto de 0,7 m, flor branca e fruto vermelho; Vegetação antropizada e pasto com remanescentes de mata Atlântica.",NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:29:52-03","UFV","VIC","24086","PreservedSpecimen","Plantae",NA,"Papilionoideae","Arachis","Arachis prostrata","BVE230","s.n.","1999","12","11","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","VIC024086","VIC024086","auto","prostrata","Benth.",NA,NA,NA,NA,"Sítio de Odila",NA,NA,"Flores amarelas, isoladas e frutos subterrâneos.",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:08:00-03","UNICAMP","UEC","65809","S","Plantae","Magnoliopsida","Bignoniaceae","Handroanthus","Handroanthus chrysotrichus","Grandi, TSM; et al.","2601","1989","09","29","Brazil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","UEC120895","UEC120895","auto","chrysotrichus","(Mart. ex A.DC.) Mattos","Semir, J","2015","07",NA,"Br 040 -MG. Quintal de uma casa.",NA,NA,"Árvore 6m. Flores amarelas, cálice muito piloso pardo ferrugíneo com folhas.",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-06 11:20:51-03","UFT","HTO","35","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Handroanthus","Handroanthus chrysotrichus","T.S.M. Grandi et al.","2601","1989","09","29","Brasil","MG","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830",NA,NA,"auto","chrysotrichus","(Mart. ex DC.) Mattos","R. Farias","2000","02","00","BR-040",NA,NA,"Doação do herbário BHCB","BHCB",NA,NA,NA,NA,NA,NA
