"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode"
"1","2020-02-13 14:12:00-03","MN","R","230672","S","Plantae","Moraceae","Ficus","Ficus","Vianna, M.C.; Barbosa, M.A.M","2003","06","22","Brasil","Minas Gerais","Desterro do Melo","Perto da Fábrica de Latícinios","-43.5177993774414","-21.1471996307373","9962","R010029778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:29:20-03","UFV","VIC","37767","PreservedSpecimen","Plantae","Mimosoideae","Inga","Inga striata","Batista, M.L.; Vieira, D.M.","2011","09","15","Brasil","Minas Gerais","Desterro do Melo","Estrada para antena.","-43.546944","-21.145556",NA,"VIC037767",NA,"striata","Benth.","Batista, M.L.","2012","06","02","s.n.","-43.546944","-21.145556","Árvore, c.a. de 5,0 metros de altura, com flores.",NA,NA,NA,NA,NA
"3","2020-03-10 08:29:22-03","UFV","VIC","37827","PreservedSpecimen","Plantae","Mimosoideae","Leucochloron","Leucochloron incuriale","Batista, M.L.; Arruda, D.","2011","09","16","Brasil","Minas Gerais","Desterro do Melo","Fragmento florestal.","-43.552778","-21.131111",NA,"VIC037827",NA,"incuriale","(Vell.) Barneby & J.W. Grimes","Batista, M.L.","2012","09","05","s.n.","-43.552778","-21.131111","Árvore 9,5m alt., com flores.",NA,NA,NA,NA,NA
"4","2019-10-02 14:52:26-03","UFMG","BHCB","170518","PreservedSpecimen","Plantae","Convolvulaceae","Jacquemontia","Jacquemontia glabrescens","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.683333","-21.186667",NA,"BHCB015183",NA,"glabrescens","(Meisn.) M.Pastore & Sim.-Bianch.",NA,"2016","12",NA,"15603","-43.683333","-21.186667","Trepadeira , flores azul-claras; Beira de Mata junto a BR-265","Dicotyledon","Southern America","1081","1081",NA
"5","2019-10-02 14:57:04-03","UFMG","BHCB","170525","PreservedSpecimen","Plantae","Melastomataceae","Miconia","Miconia","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.599722","-21.164722",NA,"BHCB015190",NA,NA,"Ruiz & Pav.",NA,NA,NA,NA,"15658","-43.599722","-21.164722","Arbusto 1 m; flores brancas; frutos imaturos.; Em beira de mata junto à estrada para Santinha.","Dicotyledon","Southern America","1117","1117",NA
"6","2019-10-02 15:04:24-03","UFMG","BHCB","170505","PreservedSpecimen","Plantae","Solanaceae","Solanum","Solanum melissarum","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha, No entroncamento BR-265 - Santinha","-43.597778","-21.16",NA,"BHCB015170",NA,"melissarum","Bohs",NA,"2014",NA,NA,"15596","-43.597778","-21.16","Arbusto 2 m, flores com corola creme; Em resto de mata","Dicotyledon","Southern America","1155","1155",NA
"7","2019-02-27 14:01:34-03","UFSJ","HUFSJ","5945","S","Plantae","Amaranthaceae","Alternanthera","Alternanthera","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.597806","-21.159944",NA,"HUFSJ005945",NA,NA,NA,NA,NA,NA,NA,"15590","-43.597806","-21.159944","Erva em touceira, 0,5 m, em resto de mata no entroncamento BR-265 - Santinha; flores creme.",NA,NA,"115","115",NA
"8","2019-02-27 14:01:49-03","UFSJ","HUFSJ","5955","S","Plantae","Begoniaceae","Begonia","Begonia","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.599639","-21.164778",NA,"HUFSJ005955",NA,NA,NA,NA,NA,NA,NA,"15600","-43.599639","-21.164778","Erva em barranco junto a resto de mata na estrada para Santinha; frutos maduros.",NA,NA,"111","111",NA
"9","2019-02-27 14:02:36-03","UFSJ","HUFSJ","5927","S","Plantae","Myrtaceae","Calyptranthes","Calyptranthes pteropoda","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Estrada secundária da BR-383 para Casa Grande.","-43.603417","-21.153556",NA,"HUFSJ005927",NA,"pteropoda","O.Berg","Sobral, M","2013",NA,NA,"15572","-43.603417","-21.153556","Árvore 4 m, em beira de resto de mata; casca rugosa; flores ora em botão ora fenecidas; flores abertas não observadas.",NA,NA,"119","119",NA
"10","2019-02-27 14:03:35-03","UFSJ","HUFSJ","6001","S","Plantae","Rubiaceae","Coccocypselum","Coccocypselum condalia","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","BR-265","-43.603417","-21.153556",NA,"HUFSJ006001",NA,"condalia","Pers.","Sobral, M","2013",NA,NA,"15646","-43.603417","-21.153556","Erva prostrada, 0, 1 m, em beira de mata de galeria próxima à BR-25; flores azul-claras.",NA,NA,"119","119",NA
"11","2019-02-27 14:01:56-03","UFSJ","HUFSJ","6008","S","Plantae","Cyperaceae","Cyperus","Cyperus pohlii","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.599639","-21.164778",NA,"HUFSJ006008",NA,"pohlii","(Nees) Steud.","Gonçalves, J","2014","07","21","15653","-43.599639","-21.164778","Erva em barranco à beira da estrada para Santinha; inflorescências verde-claras.",NA,NA,"111","111",NA
"12","2019-02-27 14:01:56-03","UFSJ","HUFSJ","6010","S","Plantae","Cyperaceae","Cyperus","Cyperus virens","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.599639","-21.164778",NA,"HUFSJ006010",NA,"virens","Michx.","Gonçalves, J","2014","07","21","15655","-43.599639","-21.164778","Erva em barranco em beira de mata junto à estrada para Santinha; inflorescências verde-claras.",NA,NA,"111","111",NA
"13","2019-12-09 10:46:16-03","UFSJ","HUFSJ","6006","S","Plantae","Winteraceae","Drimys","Drimys brasiliensis","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","BR-265","-43.603417","-21.153556",NA,"HUFSJ006006",NA,"brasiliensis","Miers","Sobral, M","2013",NA,NA,"15651","-43.603417","-21.153556","Árvore 3 m, em beira de mata de galeria próxima à estrada; frutos imaturos.",NA,NA,"119","119",NA
"14","2019-02-27 14:01:55-03","UFSJ","HUFSJ","5958","S","Plantae","Convolvulaceae","Jacquemontia","Jacquemontia","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","Santinha","-43.683389","-21.186639",NA,"HUFSJ005958",NA,NA,NA,NA,NA,NA,NA,"15603","-43.683389","-21.186639","Trepadeira em beira de mata junto à BR-265; flores azul-claras.",NA,NA,"108","108",NA
"15","2019-02-27 14:01:52-03","UFSJ","HUFSJ","5952","S","Plantae","Campanulaceae","Lobelia","Lobelia","Sobral, M","2013","12","28","Brasil","Minas Gerais","Desterro do Melo","BR-265","-43.624444","-21.168361",NA,"HUFSJ005952",NA,NA,NA,NA,NA,NA,NA,"15597","-43.624444","-21.168361","Erva 2-2,5 m, em beira de estrada, em local brejoso; ramos com látex branco, abundante; flores com corola roxo-clara.",NA,NA,"108","108",NA
