"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","monthIdentified","dayIdentified","occurrenceRemarks","locality","infraspecificEpithet"
"1","2019-07-11 10:14:50-03","ESALQ","ESA","101476","S","Plantae","Magnoliophyta","Violaceae","Anchietea","exalata","Anchietea exalata","Paula-Souza, J.","2001","Carvalho, A.F.","741","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","ESA101476","ESA101476","auto",NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:29:35-03","UFV","VIC","25191","PreservedSpecimen","Plantae",NA,"Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","Santos, A.","2010","Carvalho, A. .F.","732","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025191","VIC025191","auto","Gaudich","11","16","Árvore de flores brancas usada como sendo Maytenus ilicifolia da familia Celastraceae",NA,NA
"3","2020-03-10 08:27:31-03","UFV","VIC","25178","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Stizophyllum",NA,"Stizophyllum",NA,NA,"Carvalho, A.F.","737","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025178","VIC025178","auto",NA,NA,NA,"Cipó de flores rosas. Medicinal.",NA,NA
"4","2020-03-10 08:26:42-03","UFV","VIC","25171","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Hebanthe","paniculata","Hebanthe paniculata",NA,NA,"Carvalho, A.F.","733","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025171","VIC025171","auto","Mart.",NA,NA,"Cipó de raizes medicinal.",NA,NA
"5","2020-03-10 08:30:22-03","UFV","VIC","025199","PreservedSpecimen","Plantae",NA,"Polygalaceae","Diclidanthera",NA,"Diclidanthera",NA,NA,"Carvalho, A.F.","736","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025199","VIC025199","auto",NA,NA,NA,"Cipó escandente de flores amarelas.",NA,NA
"6","2020-03-10 08:28:42-03","UFV","VIC","23161","PreservedSpecimen","Plantae",NA,"Lauraceae",NA,NA,NA,NA,NA,"Carvalho A.F.","7152","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC023161",NA,"auto",NA,NA,NA,"Árvore","Cachoeira da Fumaça",NA
"7","2020-03-10 08:29:41-03","UFV","VIC","25167","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","perforata","Myrcia perforata",NA,NA,"Carvalho, A. .F.","711","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025167","VIC025167","auto",NA,NA,NA,"Árvore de 5 m,","Cachoeira da Fumaça",NA
"8","2020-03-10 08:27:36-03","UFV","VIC","25201","PreservedSpecimen","Plantae",NA,"Boraginaceae",NA,NA,NA,NA,NA,"Carvalho, A.F.","740","2000","10","13","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025201","VIC025201","auto",NA,NA,NA,"Árvores de flores creme.","Cachoeira da Fumaça",NA
"9","2020-03-10 08:28:25-03","UFV","VIC","25187","PreservedSpecimen","Plantae",NA,"Erythroxylaceae","Erythroxylum",NA,"Erythroxylum",NA,NA,"Carvalho, A.F.","686","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025187","VIC025187","auto",NA,NA,NA,"Arbusto, c.a. de 3,0 metros de altura; flores amarelas.","Cachoeira da Fumaça",NA
"10","2020-03-10 08:29:32-03","UFV","VIC","25190","PreservedSpecimen","Plantae",NA,"Monimiaceae","Siparuna",NA,"Siparuna",NA,NA,"Carvalho, A.F.","684","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025190","VIC025190","auto",NA,NA,NA,NA,"Cachoeira da Fumaça",NA
"11","2020-03-10 08:26:55-03","UFV","VIC","25176","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Blepharodon","nitidum","Blepharodon nitidum","Rapini","2004","Carvalho, A.F.","708","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025176","VIC025176","auto","(Vell.) JF Macbr.",NA,NA,"Cipó com látex.","Cachoeira da Fumaça",NA
"12","2020-03-10 08:28:08-03","UFV","VIC","25159","PreservedSpecimen","Plantae",NA,"Chrysobalanaceae","Hirtella","hebeclada","Hirtella hebeclada","Prance, G.T.","2007","Carvalho, A.F.","712","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025159","VIC025159","auto","Moric. ex DC.","07","24","Árvore.","Cachoeira da Fumaça",NA
"13","2020-03-10 08:29:02-03","UFV","VIC","25163","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,"Carvalho, A. .F.","716","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025163","VIC025163","auto",NA,NA,NA,"Arbusto ca. de 2m de altura.","Cachoeira da Fumaça",NA
"14","2020-03-10 08:28:42-03","UFV","VIC","25160","PreservedSpecimen","Plantae",NA,"Lauraceae",NA,NA,NA,NA,NA,"Carvalho A.F.","714","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025160",NA,"auto",NA,NA,NA,"Árvore","Cachoeira da Fumaça",NA
"15","2020-03-10 08:30:32-03","UFV","VIC","25196","PreservedSpecimen","Plantae",NA,"Rubiaceae","Augusta","lancifolia","Augusta lancifolia lancifolia",NA,NA,"Carvalho, A.F.","682","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025196","VIC025196","auto","(Spreng.) Rehder",NA,NA,"Flores amarelas de 40 cm próximo ao rio","Cachoeira da Fumaça","lancifolia"
"16","2020-03-10 08:29:02-03","UFV","VIC","25166","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,"Carvalho, A. .F.","719","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025166","VIC025166","auto",NA,NA,NA,NA,"Cachoeira da Fumaça",NA
"17","2020-03-10 08:26:51-03","UFV","VIC","25173","PreservedSpecimen","Plantae",NA,"Apocynaceae","Mandevilla","hirsuta","Mandevilla hirsuta","Morokawa, R.","2008","Carvalho, A.F.","710","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025173","VIC025173","auto","(Rich.) K. Schum.","02","01","Cipó de flores tubulosas róseas com látex.","Cachoeira da Fumaça",NA
"18","2020-03-10 08:27:17-03","UFV","VIC","25181","PreservedSpecimen","Plantae",NA,"Asteraceae","Piptocarpha","leprosa","Piptocarpha leprosa","Esteves, R.L.","2004","Carvalho, A.F.","688","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025181","VIC025181","auto","(Less.) Baker","07","21","Cipó escandente.","Cachoeira da Fumaça",NA
"19","2020-03-10 08:30:51-03","UFV","VIC","025197","PreservedSpecimen","Plantae",NA,"Sterculiaceae",NA,NA,NA,NA,NA,"Caravlho, A.F.","707","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025197",NA,"auto",NA,NA,NA,NA,"Cachoeira da Fumaça",NA
"20","2020-03-10 08:29:02-03","UFV","VIC","25165","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,"Carvalho, A. .F.","718","2000","09","28","Brasil","Minas Gerais","Diogo de Vasconcelos","-43.198299407959","-20.4878005981445","15070","VIC025165","VIC025165","auto",NA,NA,NA,NA,"Cachoeira da Fumaça",NA
