"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","relatedCatalogItem"
"1","2019-12-16 17:53:46-03","NYBG","NYBG","00504864","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","R. Callejas Posada","E. P. Heringer","15983","1976","09","29","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00504864","NY00504864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:31:43-03","NYBG","NYBG","00908456","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Pimenta","pseudocaryophyllus","Pimenta pseudocaryophyllus fulvescens","(DC.) Landrum","L. R. Landrum","E. P. Heringer","15978","1976","11","29","South America","Brazil","Minas Gerais","Dionísio",NA,"-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00908456","NY00908456","fulvescens","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:35:44-03","NYBG","NYBG","00957166","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","anisum","Piper anisum","(Spreng.) Angely","R. Callejas Posada","E. P. Heringer","16010","1976","09","29","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1087030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957166","NY00957166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:36:02-03","NYBG","NYBG","00556094","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","Piper corcovadensis","(Miq.) C.DC.","R. Callejas Posada","E. P. Heringer","16045","1976","11","23","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=738196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00556094","NY00556094",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:36:02-03","NYBG","NYBG","00957316","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","corcovadensis","Piper corcovadensis","(Miq.) C.DC.","R. Callejas Posada","E. P. Heringer","16034","1974","09","23","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce.","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957316","NY00957316",NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:36:34-03","NYBG","NYBG","00957480","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","klotzschianum","Piper klotzschianum","(Kunth) C.DC.","R. Callejas Posada","E. P. Heringer","16041",NA,NA,NA,"South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957480","NY00957480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:36:34-03","NYBG","NYBG","00957481","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","klotzschianum","Piper klotzschianum","(Kunth) C.DC.","R. Callejas Posada","E. P. Heringer","16025","1976","09","23","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957481","NY00957481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:27:46-03","NYBG","NYBG","00934954","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","(DC.) G.P.Lewis & M.P.Lima",NA,"E. P. Heringer","16019","1976","09","23","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00934954","NY00934954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:45:13-03","NYBG","NYBG","930522","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","acutangula","Ruellia acutangula","Nees",NA,"E. P. Heringer","16011","1976","09","23","South America","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce.","-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930522","NY00930522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:35:44-03","NYBG","NYBG","971295","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Secondatia","floribunda","Secondatia floribunda","A.DC.",NA,"E. P. Heringer","16042","1976","09","23","South America","Brazil","Minas Gerais","Dionísio",NA,"-42.7767","-19.8431","-42.7767","-19.8431","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1070042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00971295","NY00971295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
