"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 18:14:13-03","NYBG","NYBG","407406","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","sepium","Pavonia sepium","A.St.-Hil.","P. A. Fryxell","1991","L. de S. Leoni","740","1989","04","02","South America","Brazil","Minas Gerais","Divino","Divino. fazenda Córrego da Barra de Sao Pedro","-42.1483","-20.6144","-42.1483","-20.6144","700","700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=278365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407406","NY00407406",NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 12:06:37-03","IAP","PACA-BRYOPHYTES","117283","PreservedSpecimen","Plantae",NA,NA,"Helicophyllaceae","Helicophyllum","torquatum","Helicophyllum torquatum","(Hook.) Brid.","Yano, O.",NA,"Yano, O.","4968","1982","11","24",NA,"Brasil","MG","Divino","estrada para a cidade","-42.148333","-20.614722","42º08'54#?#W","20º36'53S","660","660",NA,"sp172466 Habitat: sobre tronco de arvore viva","PACA117283",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-22 15:10:02-03","ESALQ","ESA","15351","S","Plantae","Magnoliophyta",NA,"Apocynaceae","Ditassa","mucronata","Ditassa mucronata","Mart.","Fontella, P.J.",NA,"Leoni, L.S.","1798","1992","03","11",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"ESA015351","ESA015351","21327","auto",NA,NA,NA,NA,NA
"4","2019-07-11 08:53:57-03","ESALQ","ESA","71984","S","Plantae","Magnoliophyta",NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart.","Ferrucci, M.S.","1995","Hatschbach, G.","47823","1984","04","12",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"ESA071984","ESA071984","21327","auto","01","01",NA,NA,NA
"5","2020-02-13 14:12:59-03","MN","R","180742","S","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","glaziovii","Phyllanthus glaziovii","Müll. Arg.","A. Souza","1993","Leoni, L.S.",NA,"1992","05","01",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475","0,9W","2034S",NA,NA,NA,NA,NA,NA,"21327","auto","02","10",NA,NA,NA
"6","2015-07-02 14:03:43-03","JBP","HPL","13529","S","Plantae",NA,NA,"Piperaceae","Ottonia","cf. frutescens","Ottonia cf. frutescens",NA,"L.S. Leoni","2006","L.S. Leoni et al.","6693","2006","11","24",NA,"Brasil","MG","Divino","Fazenda Fortaleza - Floresta alterada. GFJP.","-42.1486","-20.6144",NA,NA,NA,NA,NA,NA,NA,NA,"21327","auto","06","24",NA,NA,NA
"7","2020-03-10 08:29:07-03","UFV","VIC","3989","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","chamisoana","Tibouchina chamisoana",NA,"Oliveira, A.L.F.","2010","O.A.D.","s.n.","1941","02","16",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"VIC003989","VIC003989","21327","auto",NA,NA,NA,NA,NA
"8","2020-03-10 08:29:07-03","UFV","VIC","3985","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","chamisoana","Tibouchina chamisoana",NA,"Oliveira, A.L.F.","2010","O.A.D.","s.n.","1941","02","16",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"VIC003985","VIC003985","21327","auto",NA,NA,NA,NA,NA
"9","2020-03-10 08:27:49-03","UFV","VIC","17063","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Brownea","negrensis","Brownea negrensis","Benth","Klitgaard, B.B.","2004","Santana, P.P.","s.n.","1992","10","17",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Altura de 5,5 metros em um gramado; corola vermelha.","VIC017063","VIC017063","21327","auto","07","20",NA,NA,NA
"10","2020-03-10 08:27:55-03","UFV","VIC","36363","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Chamaecrista","nictitans","Chamaecrista nictitans","(L.) Moench","Fernandes, J.M.","2005","Fernandes, J.M.","125","2005","12","16",NA,"Brasil","Minas Gerais","Divino","Fragmento do Alexandre, Sistema agroflorestal.","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Herbácea, corola amarela com 4 cm de altura.","VIC036363",NA,"21327","auto","12","16",NA,NA,NA
