"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","dayIdentified","previousCatalogNumber","fieldNumber","relatedCatalogItem"
"1","2020-03-04 15:24:29-03","UNESC","CRI","2599","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","innocentii","Nidularium innocentii","Lem.","R. Reitz","R. Reitz","7845","1975","04","19","Brasil","Espírito Santo","Domingos Martins","-40.659444","-20.363889","40º39'34''W","20º21'50''S","CRI001893","CRI001893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-04 15:24:29-03","UNESC","CRI","2618","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","ensiformis","Vriesea ensiformis","(Vell.) Beer","R. Reitz","R. Reitz",NA,"1975","04","19","Brasil","Espírito Santo","Domingos Martins","-40.659444","-20.363889","40º39'34''W","20º21'50''S","CRI001927","CRI001927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","548","S","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata var. flavo-miniata","Wawra","Elton. C. M. Leme","Elton M. C. Leme; Bruno Rezende Silva; Karl Green",NA,"2000","04","25","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. flavo-miniata","2011","08","Mata do Kautsky","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","578","S","Plantae","Bromeliaceae","Aechmea","entringeri","Aechmea entringeri","Leme","Elton. C. M. Leme","Roberto A.Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05",NA,"48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","319","S","Plantae","Bromeliaceae","Aechmea","perforata","Aechmea perforata","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05","Alto de Santa Maria","48150","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","323","S","Plantae","Bromeliaceae","Aechmea","pineliana","Aechmea pineliana var. minuta","(Brong. ex Planch.) Baker","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. minuta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","322","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","320","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","88","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto. A. Kautsky; Agostinho Entringer; Vital Schunk",NA,"1986","09",NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Propriedade de João Thomas","48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1847","S","Plantae","Bromeliaceae","Aechmea","ramosa","Aechmea ramosa var. festiva","L.B.Sm.","Sergio Gurken",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. festiva",NA,NA,NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","28","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,"1982",NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","12","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,"1981",NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","762","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii var. intermedia","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. intermedia","2011","08",NA,"48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","44","S","Plantae","Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E.Pereira & Leme","Elton. C. M. Leme","Roberto A. Kautsky ;","Kautsky670","1982","05","31","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08","Vila de Tijuco Preto","48150","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1857","S","Plantae","Bromeliaceae","Neoregelia","lilliputiana","Neoregelia lilliputiana","E. Perrira","Sergio Gurken",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","73","S","Plantae","Bromeliaceae","Nidularium","espiritosantense","Nidularium espiritosantense","Leme","Elton. C. M. Leme","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky",NA,"1986","01","27","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05",NA,"48150","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","317","S","Plantae","Bromeliaceae","Nidularium","procerum","Nidularium procerum","Lindm.","Elton. C. M. Leme","Roberto A. Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
