"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","identifiedBy","locality","imagecode"
"1","2019-10-02 14:53:29-03","UFMG","BHCB","185798","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Andira","ormosioides","Andira ormosioides","Benth.","2015","05","22","Gontijo, FD; Tameirão Neto, E; Souza, DT","1171","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.290797","-19.708192","-43.290797","-19.708192","693","693","Arbóreo; Floração; Floresta estacional semidecidual","BHCB185798",NA,NA,NA,NA,NA
"2","2019-10-02 14:51:52-03","UFMG","BHCB","185790","PreservedSpecimen","Plantae","Dicotyledon","Campanulaceae","Centropogon","cornutus","Centropogon cornutus","(L.) Druce",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1163","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.256572","-19.267819","-43.256572","-19.267819","626","626","Arbustivo/Subarbustivo; Floração; Margem de curso d'água; Floresta estacional semidecidual","BHCB185790",NA,NA,NA,NA,NA
"3","2019-10-02 14:51:36-03","UFMG","BHCB","185794","PreservedSpecimen","Plantae","Dicotyledon","Boraginaceae","Cordia",NA,"Cordia",NA,NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1167","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.290797","-19.708192","-43.290797","-19.708192","693","693","Arbóreo; Floração; Pétalas brancas; Floresta estacional semidecidual","BHCB185794",NA,NA,NA,NA,NA
"4","2019-10-02 15:07:07-03","UFMG","BHCB","186017","PreservedSpecimen","Plantae","Monocotyledon","Marantaceae","Ctenanthe",NA,"Ctenanthe",NA,NA,NA,NA,"Gontijo, FD","398","2014","10","10","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.327583","-19.580889","-43.327583","-19.580889",NA,NA,"Herbáceo; Floração; Flores roxas e vermelhas. Às margens de córrego, altura 1,10m; Floresta estacional semidecidual","BHCB186017",NA,NA,NA,NA,NA
"5","2019-10-02 14:59:42-03","UFMG","BHCB","185800","PreservedSpecimen","Plantae","Dicotyledon","Moraceae","Ficus","mexiae","Ficus mexiae","Standl.",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1172","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.290797","-19.708192","-43.290797","-19.708192","693","693","Arbóreo; Floração; Floresta estacional semidecidual","BHCB185800",NA,NA,NA,NA,NA
"6","2019-10-02 14:59:42-03","UFMG","BHCB","185785","PreservedSpecimen","Plantae","Dicotyledon","Moraceae","Ficus","mexiae","Ficus mexiae","Standl.",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1158","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.264375","-19.064172","-43.264375","-19.064172","637","637","Arbóreo; Frutificação; Floresta estacional semidecidual","BHCB185785",NA,NA,NA,NA,NA
"7","2019-10-02 14:51:26-03","UFMG","BHCB","185793","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex DC.) N.F.Mattos",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1166","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.266642","-19.577239","-43.266642","-19.577239","660","660","Arbóreo; Floração; Altura 6m, flor amarela; Floresta estacional semidecidual","BHCB185793",NA,NA,NA,NA,NA
"8","2019-10-02 14:56:07-03","UFMG","BHCB","185927","PreservedSpecimen","Plantae","Dicotyledon","Malpighiaceae","Heteropterys",NA,"Heteropterys",NA,NA,NA,NA,"Gontijo, FD; Souza, DT","1145","2014","09","16","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.284697","-19.604203","-43.284697","-19.604203",NA,NA,"Arbóreo; Floração; Altura 3,5m; Floresta estacional semidecidual candeial","BHCB185927",NA,NA,NA,NA,NA
"9","2019-10-02 14:54:08-03","UFMG","BHCB","185786","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Inga","striata","Inga striata","Benth.","2015","05","22","Gontijo, FD; Tameirão Neto, E; Souza, DT","1159","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.259214","-19.196533","-43.259214","-19.196533","613","613","Arbóreo; Floração; Altura 7m; Floresta estacional semidecidual","BHCB185786",NA,NA,NA,NA,NA
"10","2019-10-02 15:00:36-03","UFMG","BHCB","185797","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.","2015","05","18","Gontijo, FD; Tameirão Neto, E; Souza, DT","1170","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.290797","-19.708192","-43.290797","-19.708192","693","693","Arbóreo; Floração; Floresta estacional semidecidual","BHCB185797",NA,NA,NA,NA,NA
"11","2019-10-02 14:55:27-03","UFMG","BHCB","185791","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","2016","02","12","Gontijo, FD; Tameirão Neto, E; Souza, DT","1164","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.256572","-19.267819","-43.256572","-19.267819","626","626","Arbustivo/Subarbustivo; Floração/Frutificação; Margem de curso d'água; Floresta estacional semidecidual","BHCB185791",NA,NA,NA,NA,NA
"12","2019-10-02 15:05:54-03","UFMG","BHCB","185787","PreservedSpecimen","Plantae","Monocotyledon","Araceae","Philodendron",NA,"Philodendron",NA,NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1160","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.256572","-19.267819","-43.256572","-19.267819","626","626","Escandente; Floração; Margem de curso d'água; Floresta estacional semidecidual","BHCB185787",NA,NA,NA,NA,NA
