"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLatitude","verbatimLatitude","decimalLongitude","verbatimLongitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","barcode","coordinatePrecision","geoFlag","identifiedBy","infraspecificEpithet"
"1","2019-10-02 14:53:29-03","UFMG","BHCB","68431","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Andira","fraxinifolia","Andira fraxinifolia","Benth.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Quinquim.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-02 14:55:18-03","UFMG","BHCB","68435","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna II.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-02 14:48:22-03","UFMG","BHCB","68439","PreservedSpecimen","Plantae","Dicotyledon","Annonaceae",NA,NA,NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna II.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-02 15:02:56-03","UFMG","BHCB","68430","PreservedSpecimen","Plantae","Dicotyledon","Salicaceae","Banara","serrata","Banara serrata","(Vell.) Warb.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Pirapitinga.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-02 14:59:39-03","UFMG","BHCB","135418","PreservedSpecimen","Plantae","Dicotyledon","Moraceae","Brosimum","glaziovii","Brosimum glaziovii","Taub.","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-02 15:03:34-03","UFMG","BHCB","68428","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Brunfelsia","clandestina","Brunfelsia clandestina","Plowman","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Fortuna.","-19.05","-19.05","-42.916667","-42.916667",NA,NA,NA,"2015","12","28","BHCB038256",NA,NA,NA,NA
"7","2019-10-02 14:55:20-03","UFMG","BHCB","68434","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 15:00:05-03","UFMG","BHCB","68442","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.","-19.05","-19.05",NA,NA,NA,NA,NA,"2019","04",NA,NA,NA,NA,NA,NA
"9","2019-10-02 15:00:08-03","UFMG","BHCB","135419","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","neoformosa","Eugenia neoformosa","Sobral","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 15:00:10-03","UFMG","BHCB","68443","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Sumidouro.","-19.05","-19.05",NA,NA,NA,NA,NA,"2019","04",NA,NA,NA,NA,NA,NA
"11","2019-10-02 14:52:57-03","UFMG","BHCB","68426","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae",NA,NA,NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Senhora do Porto.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
