"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","imagecode"
"1","2019-11-04 10:45:15-03","UFRJ","RFA","37574","Preservedecimen","Plantae","Cucurbitaceae","Citrullus","lanatus","Citrullus lanatus","(Thunb.) Matsum. & Nakai","R.C. Lopes","2011","09","04","A.C. Túler","6","2009","10","11","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira","-41.7977981567383","-20.2033004760742","17816","Planta herbácea, anual, rasteira. Os caules rastejantes são angulosos, pubescentes, estriados e com gavinhas ramificadas. O fruto é arredondado ou alongado de polpa vermelha, suculenta e doce com alto teor de água e diâmetro variável","RFA41879","auto",NA,NA,NA,NA
"2","2019-11-04 10:47:57-03","UFRJ","RFA","37562","Preservedecimen","Plantae","Nyctaginaceae","Mirabilis","jalapa","Mirabilis jalapa","L.","R.C. Lopes","2011","09","04","Amélia C. Túler","101","2010","03","27","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, zona rural","-41.7977981567383","-20.2033004760742","17816","Arbusto com caule ramificado, ereto com cerca de 70 cm de altura com folhas verdes e lanceoladas. As flores são em forma de trombeta, hermafroditas, solitárias ou em pequenos grupos","RFA46999","auto",NA,NA,NA,NA
"3","2019-11-04 10:48:59-03","UFRJ","RFA","37567","Preservedecimen","Plantae","Rutaceae","Citrus","x sinensis","Citrus x sinensis","(L.) Osbeck","R.C. Lopes","2011","09","04","A.C. Tuler","15","2009","05","10","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, zona rural","-41.7977981567383","-20.2033004760742","17816","Arbórea com 4 metros de comprimento. Folhas verdes, pecioladas. Flores brancas. Fruto amarelado","RFA48252","auto",NA,NA,NA,NA
"4","2019-11-04 10:46:45-03","UFRJ","RFA","37571","Preservedecimen","Plantae","Lamiaceae","Ocimum","basilicum","Ocimum basilicum","L.","R.C. Lopes","2011","09","04","Amélia Carlos Túler","17","2010","02","02","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, zona rural","-41.7977981567383","-20.2033004760742","17816","Pequeno arbusto com folhas verdes e pilosas. As flores são pequenas, brancas e são distribuídas no ápice da planta. Apresenta cheiro","RFA42754","auto",NA,NA,NA,NA
"5","2019-11-04 10:44:56-03","UFRJ","RFA","37569","Preservedecimen","Plantae","Cactaceae","Epiphyllum","phyllanthus","Epiphyllum phyllanthus","(L.) Haw.","M. Machado","2013","09","18","Amélia Carlos Túler","29","2009","12","16","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Herbácea com raízes aéreas, geralmente cresce apoiada em outra planta. Apresenta folhas grandes, suculentas, verdes. As flores são esbranquiçadas e grandes. Apresenta caule dividido em artículos e produz grande quantidade de ramos. Hábi","RFA24219","auto",NA,NA,NA,NA
"6","2019-11-04 10:44:14-03","UFRJ","RFA","37581","Preservedecimen","Plantae","Asteraceae","Erechtites","valerianifolius","Erechtites valerianifolius","(Wolf) DC.","R.C. Lopes","2011","09","04","Amélia C. Túler","92","2010","02","17","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Erva até 1,5 m de altura, ereta, anual; ramos estriados, glabros. Folhas pinatissectas, membranácea de cor verde. Flores no ápice, róseas","RFA38616","auto",NA,NA,NA,NA
"7","2019-11-04 10:46:45-03","UFRJ","RFA","37573","Preservedecimen","Plantae","Lamiaceae","Ocimum","gratissimum","Ocimum gratissimum","L.","R.C. Lopes","2011","09","04","Amélia C. Túler","119","2009","10","11","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Herbácea de folhas verdes e lisas. caule alongado e ereto. Flores pequenas, brancas, no ápice da planta. Apresenta cheiro forte, agradável","RFA42759","auto",NA,NA,NA,NA
"8","2019-11-04 10:49:20-03","UFRJ","RFA","37583","Preservedecimen","Plantae","Solanaceae","Capsicum","frutescens","Capsicum frutescens","L.","Rosana C. Lopes","2011","09","04","Amelia Carlos Túler","65","2010","06","07","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Pequeno arbusto, com base lenhosa. As folhas são verdes e lisas. As flores são pequenas e amareladas. Os frutos são verdes quando jovens e quando maduros, apresentam cor avermelhada","RFA49013","auto",NA,NA,NA,NA
"9","2019-11-04 10:45:12-03","UFRJ","RFA","37568","Preservedecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","R.C. Lopes","2011","09","04","Amélia C. Túler","86","2010","01","11","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Herbácea rasteira com folhas verdes e flores roxas. As flores apresentam cálice tubuloso. A planta cresce apoiada em outras plantas ou rasteira no solo","RFA39677","auto",NA,NA,NA,NA
"10","2019-11-04 10:48:15-03","UFRJ","RFA","37576","Preservedecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","R.C. Lopes","2011","09","04","Amélia Carlos Túler","13","2009","05","10","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Herbácea com cerca de 30 cm de comprimento. Folhas largas, coriáceas. Flores pequenas e brancas","RFA47825","auto",NA,NA,NA,NA
"11","2019-11-04 10:44:40-03","UFRJ","RFA","37564","Preservedecimen","Plantae","Boraginaceae","Symphytum","officinale","Symphytum officinale","L.","Rosana C. Lopes","2011","09","04","Amélia Carlos Túler","25","2010","06","07","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona rural","-41.7977981567383","-20.2033004760742","17816","Herbácea que atinge 1,2 m de altura. seus rizomas e raízes são grossos. O caule é ereto e com superfície áspera. As folhas são grandes com superfície ligeiramente ondulada. As flores são de coloração violácea, grandes e tubulosas","RFA24218","auto",NA,NA,NA,NA
"12","2019-11-04 10:47:42-03","UFRJ","RFA","37566","Preservedecimen","Plantae","Myrtaceae","Eucalyptus","grandis","Eucalyptus grandis","W.Hill","R. C. Lopes","2011","09","04","A. C. Túler","52","2010","06","07","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Árvore, atinge até 70 metros de altura. Tem ramos cilíndricos, pouco folhosos e com casca lisa, de coloração acinzentada ou castanha. Suas folhas são alternas, com pecíolo e superfície coriácea. Suas flores são axilares e de coloração b","RFA46416","auto",NA,NA,NA,NA
"13","2019-11-04 10:49:23-03","UFRJ","RFA","37577","Preservedecimen","Plantae","Solanaceae","Solanum","aculeatissimum","Solanum aculeatissimum","Jacq.","R. C. Lopes","2011","09","04","A. C. Túler",NA,"2010","03","21","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Arbusto, ereto com cerca de 50 cm de altura, com folhas verdes de formato cordiforme e com espinhos por todo o limbo. Flores pequenas, brancas. Frutos globosos e de coloração amarelada","RFA49427","auto",NA,NA,NA,NA
"14","2019-11-04 10:47:48-03","UFRJ","RFA","37565","Preservedecimen","Plantae","Myrtaceae","Eugenia","stipitata","Eugenia stipitata","McVaugh","R. C. Lopes","2011","09","04","A. C. Túler","123","2009","04","07","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Arbusto de até 3 metros de altura. Folhas opostas oblongas, pecioladas, coriáveas e pilosas. Flores brancas e axilares. Frutos globosos com casca de cor amarelo bastante fina","RFA46535","auto",NA,NA,NA,NA
"15","2020-03-04 11:49:55-03","UFRJ","RFA","37570","Preservedecimen","Plantae","Oxalidaceae","Averrhoa","carambola","Averrhoa carambola","L.","R. C. Lopes","2009","09","04","A. C. Túler","30","2009","05","07","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Árvore de até 8 metros de altura. Caule nodoso e tortuoso. Apresenta inúmeros ramos, folhas verdes, compostas, alternas. Flores pequenas, de cores branca e púrpura, dispostas em racimos curtos e axilares. O fruto é uma baga oblonga, ca","RFA47363","auto",NA,NA,NA,NA
"16","2019-11-04 10:48:12-03","UFRJ","RFA","37582","Preservedecimen","Plantae","Phyllanthaceae","Phyllanthus","niruri","Phyllanthus niruri","L.","R. C. Lopes","2011","09","04",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Herbácea de 50 cm. Folhas compostas e lisas. Flores pequenas e brancas","RFA47945","auto",NA,NA,NA,NA
"17","2019-11-04 10:43:36-03","UFRJ","RFA","37575","Preservedecimen","Plantae","Annonaceae","Annona","muricata","Annona muricata","L.","Rosana C. Lopes","2011","09","04","Amélia Carlos Túler","111","2010","04","01","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural","-41.7977981567383","-20.2033004760742","17816","Árvore com flores globosas, com 6 pétalas. Folhas verdes coriáceas. Fruto baga composta, com até 30 cm de comprimento, chegando a pesar 10 kg ou mais.","RFA24221","auto",NA,NA,NA,NA
"18","2019-11-04 10:45:44-03","UFRJ","RFA","37563","Preservedecimen","Plantae","Euphorbiaceae","Jatropha","multifida","Jatropha multifida","L.","Rosana C. Lopes","2011","09","04","Amélia Carlos Túler","121","2009","12","16","Brasil","Minas Gerais","Durandé","Distrito de São José da Figueira, Zona Rural.","-41.7977981567383","-20.2033004760742","17816","Arbusto com presença de látex ou seiva. Possui caule ereto, folhas verdes, pecioladas. Flores rosas, dispostas em racimos.","RFA24215","auto",NA,NA,NA,NA
