"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","infraspecificEpithet","class","order"
"1","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF034","S","Plantae","Pteridophyta","Blechnaceae","Blechnum","polypodioides","Blechnum polypodioides","Maielo, Silva, L.","Maielo, Silva, L. et al","2009","12","19","Brasil","Minas Gerais","Ervália","Ervália","-42.656389","-20.837778","42° 39' 23'' W","20° 50' 16'' S","801","801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-24 10:55:30-03","EAO","IAN","104714","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Caesalp.","Senna","multijuga","Senna multijuga","Nascimento, EAP","Magalhães, MG","1945","06","19","Brasil","Minas Gerais","Ervália","Capoeirinha ciliar, de curso d'água na base da Serra Brigadeiro.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Rich.) H.S. Irwin & Barneby","2011","09","20","5439","Southern America","19783","Arbusto de 2-3m de altura. Flor amarela.","IAN104714","auto",NA,NA,NA,NA
"3","2019-07-11 08:54:56-03","ESALQ","ESA","102262","S","Plantae","Magnoliophyta","Moraceae","Ficus","mexiae","Ficus mexiae","Pelissari, G.","Tsuji, R.","2007","01","30","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,"2011","08","02","1597",NA,"19783",NA,"ESA102262","auto","ESA102262",NA,NA,NA
"4","2020-02-13 14:12:00-03","MN","R","215130","S","Plantae",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Carauta, J.P.P.; Machado, A.F.P. & Vianna-Filho, M.D.M.","Araújo, L.M.","2006","01","26","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Lam.","2006","02",NA,"s.n.",NA,"19783",NA,"R010024893","auto",NA,NA,NA,NA
"5","2020-02-13 14:12:00-03","MN","R","215131","S","Plantae",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Carauta, J.P.P.; Machado, A.F.P. & Vianna-Filho, M.D.M.","Araújo, L.M.","2006","01","26","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Lam.",NA,NA,NA,"s.n.",NA,"19783",NA,"R010024891","auto",NA,NA,NA,NA
"6","2015-07-02 14:01:55-03","JBP","HPL","7318","S","Plantae",NA,"Fabaceae-Faboideae","Andira",NA,"Andira",NA,"R. Tsuji","2007","01","29","Brasil","MG","Ervália","Coletado nas proximidades do município de Ervália.","-42.6572","-20.84",NA,NA,NA,NA,NA,NA,NA,NA,"1623",NA,"19783",NA,NA,"auto",NA,NA,NA,NA
"7","2015-07-02 14:03:03-03","JBP","HPL","7016","S","Plantae",NA,"Moraceae","Ficus",NA,"Ficus",NA,"R. Tsuji, H. Lorenzi et al.","2007","01","30","Brasil","MG","Ervália","Coletado nas proximidades da cidade.","-42.6572","-20.84",NA,NA,NA,NA,NA,NA,NA,NA,"1597",NA,"19783",NA,NA,"auto",NA,NA,NA,NA
"8","2020-03-10 08:28:55-03","UFV","VIC","42367","PreservedSpecimen","Plantae",NA,"Malvaceae",NA,NA,NA,NA,"Coutinho, I.A.C.; et al.","2014","01","25","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"335",NA,"19783","Estrada que liga Ervália Muriaé, erva de 50 cm, flores alvas ou creme com base de corola avermelhada, ambiente ruderal","VIC042367","auto","VIC042367",NA,NA,NA
"9","2020-03-10 08:29:46-03","UFV","VIC","8415","PreservedSpecimen","Plantae",NA,"Onagraceae","Fuchsia",NA,"Fuchsia",NA,"Drummond, O.; et al.","1945","06","17","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,"19783","Em alto de morro entre samanbaias,terreno recém queimado,altitude de 1700 m.","VIC008415","auto","VIC008415",NA,NA,NA
"10","2020-03-10 08:28:32-03","UFV","VIC","29359","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Phyllanthus","acidus","Phyllanthus acidus","Valente, G.E.","Carvalho, F.A. de","2005","05","09","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(L.) Skeels","2005","05","12","s.n.",NA,"19783","Árvore, c.a. de 4,0 metros de altura, com frutos amarelo-esverdeados quando maduros. Frutos carnosos desenvolvidos em um ramo semelhante À raque de folha composta.","VIC029359","auto","VIC029359 VIC029359_1",NA,NA,NA
