"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus"
"1","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2170","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Anathallis","sclerophylla","Anathallis sclerophylla","(Lindl.) Pridgeon & M.W.Chase.","Fernando Marino Gomes do Santos; Pero Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2174","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Anathallis","sclerophylla","Anathallis sclerophylla","(Lindl.) Pridgeon & M.W.Chase.","Fernando Marino Gomes do Santos; Pedro Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2172","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Masdevallia","infracta","Masdevallia infracta","Lindl.","Fernando Marino Gomes do Santos; Pedro Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2171","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Promenaea","xanthina","Promenaea xanthina","(Lindl.) Lindl.","Fernando Marino Gomes do Santos; Pedro Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2199","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Scuticaria","sp.","Scuticaria sp.",NA,"Fernando Marino Gomes do Santos; Pedro Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2173","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Stelis","megantha","Stelis megantha","Barb.Rodr.","Fernando Marino Gomes do Santos; Pedro Lage Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:51:53-03","NYBG","NYBG","02532168","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Laurales","Lauraceae",NA,NA,NA,NA,"M. F. Santos","Brazil","Minas Gerais","Felício dos Santos","-43.14058","-18.10742",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"603","2010","11","20","South America","Próximo à divisa com o distrito de Pedra Menina (Municipio de Rio Vermelho). Elevação conhecida como Pedra Menina. No platô. Capo rupestre, na base de afloramento rochoso, solo arenoso.","-43.14058","-18.10742","1517","1517","sheet","NY02532168","NY02532168",NA,NA,NA,NA,NA,NA
"8","2019-12-16 16:59:09-03","NYBG","NYBG","02595078","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cucurbitales","Begoniaceae","Begonia","grisea","Begonia grisea","A.DC.","M. F. Santos","Brazil","Minas Gerais","Felício dos Santos","-43.14256","-18.10406",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2858272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"602","2010","11","20","South America","Próximo à divisa com o distrito de Pedra Menina (Município de Rio Vermelho). Elevação conhecida como Pedra Menina. No platô. Campo rupestre, em afloramento rochoso, rolo arenoso.","-43.14256","-18.10406","1477","1477","sheet","NY02595078","NY02595078","P. Moonlight","2017",NA,NA,NA,NA
"9","2019-07-11 10:11:40-03","ESALQ","ESA","105189","S","Plantae","Magnoliophyta",NA,NA,"Nyctaginaceae","Guapira",NA,"Guapira",NA,"Tsuji, R.","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,NA,"auto","2201","2007","09","27",NA,NA,NA,NA,NA,NA,NA,"ESA105189","ESA105189",NA,NA,NA,NA,NA,NA
"10","2019-02-22 15:20:38-03","ESALQ","ESA","100524","S","Plantae","Magnoliophyta",NA,NA,"Lauraceae",NA,NA,NA,NA,"Costa, F.N.","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,NA,"auto","364","2002","06","18",NA,NA,NA,NA,NA,NA,NA,"ESA100524","ESA100524",NA,NA,NA,NA,NA,NA
