"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class"
"1","2019-12-16 18:48:21-03","NYBG","NYBG","02239521","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Chondodendron","platiphyllum","Chondodendron platiphyllum","(A.St.-Hil.) Miers","G. M. Magalhaes","4564","1951","06","05","South America","Brazil","Minas Gerais","São Pedro dos Ferros","50 km N São Pedro dos Ferros","-42.5238990783691","-20.1702995300293","31662","wood sample","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3093998 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02239521","NY02239521","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG4542","S","Plantae",NA,NA,"Araceae","Philodendron",NA,"Philodendron",NA,"R.A.Magalhães",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ferros","Fazenda Retiro das Pedras","-43.0233001708984","-19.2318992614746","31564",NA,"Inflorescência madura. Cheiro forte. Fruto na carpoteca.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","CARP184","S","Plantae",NA,NA,"Malvaceae","Theobroma",NA,"Theobroma",NA,"M.F.V.Starling",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ferros",NA,"-43.019167","-19.228056",NA,NA,NA,NA,NA,NA,"43° 01' 09'' W","19° 13' 41'' S","454","454",NA,NA,NA,NA,NA,NA
"4","2020-03-04 11:47:51-03","UFRJ","RFA","26073","Preservedecimen",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,"F. M. B. Pereira",NA,"2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.521944","-22.192778",NA,NA,"Arbusto, 3m de altura, 12cm de DAP, folha verde, flor verde, comum no local","RFA30064",NA,NA,"42º31'19''W","22º11'34''S","425","425",NA,NA,NA,NA,NA,NA
"5","2020-03-04 11:47:51-03","UFRJ","RFA","26067","Preservedecimen",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,"F. M. B. Pereira","21155","2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.515556","-22.199167",NA,NA,"Árvore, 4m de atura, 8cm de DAP, folha verde, fruto vermelho, rara no local","RFA30060",NA,NA,"42º30'56''W","22º11'57''S","396","396",NA,NA,NA,NA,NA,NA
"6","2020-03-04 11:50:01-03","UFRJ","RFA","25895","Preservedecimen","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,"Alexandre Quinet","20576","2000","12","07",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778",NA,NA,NA,"Herbáceo, flores verdes, folha verde discolor, comum no local, pasto sobre solo argiloso, luminosidade média.","RFA38182",NA,NA,"42º31'40''W","20º12'78''S","492","492",NA,NA,NA,NA,NA,NA
"7","2020-03-04 11:50:01-03","UFRJ","RFA","25907","Preservedecimen","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,"Alexandre Quinet",NA,"2000","12","08",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778",NA,NA,NA,"Sub-arbusto, flores cinzas, folha verde discolor, comum no local, mata de encosta sobre solo argiloso, luminosidade baixa.","RFA38183",NA,NA,"42º31'40''W","20º12'78''S","492","492",NA,NA,NA,NA,NA,NA
"8","2020-03-04 11:48:21-03","UFRJ","RFA","26056","Preservedecimen","Plantae",NA,NA,"Acanthaceae",NA,NA,NA,"Christenh. & H.Schneid","F. M. B. Pereira","20821","2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.513056","-22.201389",NA,NA,"Harbáceo,folha verde,comum no local.","RFA32268",NA,NA,"42º30'47''W","22º12'5''S","361","361",NA,NA,NA,NA,NA,NA
"9","2020-03-04 11:48:21-03","UFRJ","RFA","26129","Preservedecimen","Plantae",NA,NA,"Acanthaceae",NA,NA,NA,"Christenh. & H.Schneid","F. M. B. Pereira",NA,"2000","12","16",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.524722","-20.209722",NA,NA,"Herbáceo,flor vermelha,comum no local","RFA32264",NA,NA,"42º31'29''W","20º12'35''S","491","491",NA,NA,NA,NA,NA,NA
"10","2020-03-04 11:49:04-03","UFRJ","RFA","25932","Preservedecimen","Plantae",NA,NA,"Euphorbiaceae","Alchornea",NA,"Alchornea",NA,"Alexandre Quinet",NA,"2000","12","10",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.523333","-20.201944",NA,NA,"Arbusto, 4m de altura, 11cm de DAP, flores vermelhas, folha verde discolor, rara no local, mata ciliar sobre solo hidromórfico, luminosidade média.","RFA37722",NA,NA,"42º31'24''W","20º12'7''S","468","468",NA,NA,NA,NA,NA,NA
