"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","infraspecificEpithet","class","typeStatus"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","240","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Gregory Brown; Pedro Nahoum; Lucio Leoni","1993","04","15","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, proximidades da casa dos pesquisadores","-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","273","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E.Pereira & Leme","Elton. C. M. Leme","2011","08","Pedro Nahoum (?); Jones Caldas da Silva (?)",NA,NA,NA,"Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","241","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Gregory Brown; Pedro Nahoum; Lucio Leoni","1993","04","15","Brasil","Minas Gerais","Fervedouro","Serra do Brigadeiro; caminho para a Pedra do Pato","-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","239","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sp.","Neoregelia sp.",NA,"Elton. C. M. Leme","2011","08","Elton M. C. Leme; Gregory Brown; Pedro Nahoum; Lucio Leoni","1993","04","15","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, proximidades da casa dos pesquisadores","-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","274","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","bicolor","Nidularium bicolor","(E. Pereira) Leme","Elton. C. M. Leme","2011","08","Pedro Nahoum (?); Jones Caldas da Silva (?)",NA,NA,NA,"Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","209","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","bicolor","Nidularium bicolor","(E. Pereira) Leme","Elton. C. M. Leme","2011","08","Pedro Nahoum;","1992","08","18","Brasil","Minas Gerais","Fervedouro","Reserva Municipal Córrego da Água Limpa","-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","242","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","sp.","Quesnelia sp.",NA,"Elton. C. M. Leme","2011","08","Elton M. C. Leme; Gregory Brown; Pedro Nahoum; Lucio Leoni","1993","04","15","Brasil","Minas Gerais","Fervedouro","Serra do Brigadeiro; caminho para a Pedra do Pato","-42.2789001464844","-20.7255992889404","20038","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 19:04:07-03","NYBG","NYBG","00700350","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","K. E. Roe","1974",NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro",NA,"-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"707","South America","-42.2789","-20.7258","sheet","NY00700350","NY00700350",NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:48:03-03","NYBG","NYBG","00845966","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acanthospermum","australe","Acanthospermum australe","(Loefl.) Kuntze",NA,NA,NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro",NA,"-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"705","South America","-42.2789","-20.7258","sheet","NY00845966","NY00845966",NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:14:25-03","NYBG","NYBG","02686783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.",NA,NA,NA,"L. de S. Leoni","2008","03","20","Brazil","Minas Gerais","Fervedouro","Entorno do Parque Estadual do Brigadeiro","-42.2789001464844","-20.7255992889404","20038",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961129 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","7115","South America",NA,NA,"sheet","NY02686783","NY02686783","970","970",NA,NA,NA,NA
"11","2019-12-16 16:49:56-03","NYBG","NYBG","00856279","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Elephantopus","mollis","Elephantopus mollis","Kunth","G. M. Barroso","1964",NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro",NA,"-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938183 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"706","South America","-42.2789","-20.7258","sheet","NY00856279","NY00856279",NA,NA,NA,NA,NA,NA
"12","2019-12-16 17:48:40-03","NYBG","NYBG","00896731","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Marsypianthes","chamaedrys","Marsypianthes chamaedrys",NA,"J. W. Nowicke",NA,NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro","Fervedouro.","-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"709","South America","-42.2789","-20.7258","sheet","NY00896731","NY00896731",NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:15:02-03","NYBG","NYBG","00996649","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta",NA,"Triumfetta",NA,NA,NA,NA,"Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro",NA,"-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1111304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"708","South America","-42.2789","-20.7258","sheet","NY00996649","NY00996649",NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:15:04-03","NYBG","NYBG","00972069","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Waltheria","indica","Waltheria indica","L.","J. G. Saunders","1995","08","Z. A. Trinta","1964","04","18","Brazil","Minas Gerais","Fervedouro",NA,"-42.2789","-20.7258",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"710","South America","-42.2789","-20.7258","sheet","NY00972069","NY00972069",NA,NA,NA,NA,NA,NA
"15","2019-02-22 15:12:28-03","ESALQ","ESA","76885","S","Plantae","Magnoliophyta",NA,"Asteraceae","Ophryosporus","freyreysii","Ophryosporus freyreysii","(Thunb.) Baker","Robinson, H.",NA,NA,"Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3127",NA,NA,NA,NA,"ESA076885","ESA076885",NA,NA,NA,NA,NA,NA
"16","2019-07-11 08:52:45-03","ESALQ","ESA","81367","S","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","pendula","Senna pendula","H.S. Irwin & Barneby","Rando, J.G.","2007","07","Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3087",NA,NA,NA,NA,"ESA081367","ESA081367",NA,NA,"04",NA,NA,NA
"17","2019-02-22 15:20:04-03","ESALQ","ESA","92008","S","Plantae","Magnoliophyta",NA,"Iridaceae",NA,NA,NA,NA,NA,NA,NA,"Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3104",NA,NA,NA,NA,"ESA092008",NA,NA,NA,NA,NA,NA,NA
"18","2019-02-22 15:16:30-03","ESALQ","ESA","72515","S","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Alchornea","triplinervea","Alchornea triplinervea","(Spreng.) M. Arg.","Salino, A.",NA,NA,"Salino, A. ; Moraes, P.O.","2001","01","11","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","5978",NA,NA,NA,NA,"ESA072515",NA,NA,NA,NA,NA,NA,NA
"19","2019-07-11 10:14:50-03","ESALQ","ESA","66118","S","Plantae","Magnoliophyta",NA,"Violaceae","Anchietea","pyrifolia","Anchietea pyrifolia","(Mart.) G.Don","Souza, J.P.","2000","06","Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, mata atlântica em diversos graus de perturbação","-42.485833","-20.716111",NA,NA,"Liana, folhas cartáceas, botões verdes, flores amareladas com base avermelhada",NA,"3116",NA,"-42.485833","-20.716111",NA,"ESA066118","ESA066118","1400","1400","01",NA,NA,NA
"20","2019-07-11 08:49:44-03","ESALQ","ESA","76880","S","Plantae","Magnoliophyta",NA,"Asteraceae","Baccharis","calvescens","Baccharis calvescens","DC.","Robinson, H.",NA,NA,"Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3072",NA,NA,NA,NA,"ESA076880","ESA076880",NA,NA,NA,NA,NA,NA
"21","2019-07-11 08:56:22-03","ESALQ","ESA","66071","S","Plantae","Magnoliophyta",NA,"Orobanchaceae","Castilleja","arvensis","Castilleja arvensis",NA,NA,NA,NA,"Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3079",NA,NA,NA,NA,"ESA066071","ESA066071",NA,NA,NA,NA,NA,NA
"22","2019-07-11 08:51:11-03","ESALQ","ESA","101315","S","Plantae","Magnoliophyta",NA,"Cucurbitaceae","Cayaponia","floribunda","Cayaponia floribunda",NA,"Gomes-Klein, V.L.","2014","06","Lombardi, J.A.","1999","07","10","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3086",NA,NA,NA,NA,"ESA101315","ESA101315",NA,NA,"08",NA,NA,NA
"23","2019-07-11 08:51:11-03","ESALQ","ESA","101314","S","Plantae","Magnoliophyta",NA,"Cucurbitaceae","Cayaponia","floribunda","Cayaponia floribunda",NA,"Gomes-Klein, V.L.","2014","06","Lombardi, J.A.",NA,NA,NA,"Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","3086",NA,NA,NA,NA,"ESA101314","ESA101314",NA,NA,"08",NA,NA,NA
"24","2020-02-13 14:08:47-03","MN","R","200584","S","Plantae",NA,NA,"Convolvulaceae","Merremia","dissecta","Merremia dissecta","(Jacq.) Hallier f.","Falcão, J.","1964",NA,"Trinta, Z.A.; et al","1964","04","18","Brasil","Minas Gerais","Fervedouro",NA,"-42.2789001464844","-20.7255992889404","20038",NA,NA,"auto","704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:01:23-03","JBP","HPL","9382","S","Plantae",NA,NA,"Celastraceae","Maytenus","brasiliensis","Maytenus brasiliensis",NA,"R. Tsuji","2007","08","R. Tsuji","2007","08","28","Brasil","MG","Fervedouro","Coletado nas proximidades do município de Fervedouro; sentido Parque Estadual Serra do Brigadeiro.","-42.2789","-20.7256","20038",NA,NA,"auto","2092",NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA
"26","2015-07-02 14:03:23-03","JBP","HPL","9362","S","Plantae",NA,NA,"Myrtaceae","Plinia","cauliflora","Plinia cauliflora","(Mart.) Kausel","V.C. Souza","2012","06","R. Tsuji","2007","08","27","Brasil","MG","Fervedouro","Coletado e cultivado na Serra da Grama, no entorno do Parque Estadual Serra do Brigadeiro, ao lado de uma casa de janelas verdes, e de um riacho.","-42.2789","-20.7256","20038",NA,NA,"auto","2071",NA,NA,NA,NA,NA,NA,NA,NA,"04",NA,NA,NA
