"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordNumber","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","infraspecificEpithet","continentOcean","order"
"1","2020-02-03 10:28:57-03","UNESP-IBB","BOTU","16918","PreservedSpecimen","Plantae","Gemtchújnicov, I.D.","1972","01","31","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","BOTU016918","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:11-03","PUCPR","HUCP","16548","S","Plantae","Hatschbach, GG","1984","04","11","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","HUCP00011296","auto","Eudicotiledonea","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima, H.C.","Lima, H","47821","HUCP00011296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:14-03","UFV","VIC","37765","PreservedSpecimen","Plantae","Batista, M.L.; Vieira, D.M.","2012","02","25","Brasil","Minas Gerais","Frei Inocêncio","-41.951111","-18.571389",NA,"VIC037765",NA,NA,"Mimosoideae","Anadenanthera","peregrina","Anadenanthera peregrina","(L.) Speg.","Batista, M.L.","s.n.",NA,"2012","02","25","Estrada de terra às margens do Rio Suaçuí Grande.","-41.951111","-18.571389","Árvore, c.a. de 9,5 metros de altura, com frutos e acúleos no tronco.",NA,NA,NA
"4","2020-03-10 08:29:22-03","UFV","VIC","37761","PreservedSpecimen","Plantae","Batista, M.L.; Vieira, D.M.","2012","02","25","Brasil","Minas Gerais","Frei Inocêncio","-41.951944","-18.570556",NA,"VIC037761",NA,NA,"Mimosoideae","Inga","vera","Inga vera affinis","(DC.) T.D. Penn.","Batista, M.L.","s.n.",NA,"2012","05","19","Estrada de terra às margens do Rio Suaçuí Grande.","-41.951944","-18.570556","Árvore, c.a. de 6,0 metros de altura, com flores.","affinis",NA,NA
"5","2020-03-10 08:26:42-03","UFV","VIC","6637","PreservedSpecimen","Plantae","Coons, M.P.","1978","08","22","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","VIC006637","auto",NA,"Amaranthaceae","Amaranthus","viridis","Amaranthus viridis","L.","Coons, M.P.","954","VIC006637","1978","12","10","Ao lado de rua.",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:26:39-03","UFV","VIC","6135","PreservedSpecimen","Plantae","Coons, M.P.","1978","08","22","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","VIC006135","auto",NA,"Amaranthaceae","Amaranthus","dubius","Amaranthus dubius","Mart. ex Thell.",NA,"78-953B","VIC006135",NA,NA,NA,"Ao lado de rua, Comum na cidade.",NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:48:06-03","UFJF","CESJ","39577","PreservedSpecimen","Plantae","R.C.Motta","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","CESJ039577","auto","Angiosperma","Verbenaceae","Lippia","origanoides","Lippia origanoides","Kunth","F.R.G. Salimena","1333",NA,"2012","03",NA,"Serra do Paiol",NA,NA,"Planta coletada em fresta de paredão rochoso; arbusto; flores amarelas.",NA,"América do Sul",NA
"8","2019-11-21 14:36:10-03","UFJF","CESJ","38330","PreservedSpecimen","Plantae","G. Hatschbach","1984","04","11","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","CESJ038330","auto","Angiosperma","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","H. Lima","47821",NA,NA,NA,NA,NA,NA,NA,"Árvore, 8m, flor amarela. pequena mata remanescente.",NA,"América do Sul",NA
"9","2019-11-21 14:48:06-03","UFJF","CESJ","44120","PreservedSpecimen","Plantae","R.C. Mota","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","CESJ044120","auto","Angiosperma","Verbenaceae","Lippia","origanoides","Lippia origanoides","Kunth",NA,"1333",NA,NA,NA,NA,"Serra do Paiol",NA,NA,"Planta coletada em fresta de paredão rochoso, arbusto, flores amarelas.",NA,"América do Sul",NA
"10","2019-11-21 14:41:58-03","UFJF","CESJ","39578","PreservedSpecimen","Plantae","R.C. Mota","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.8498","-18.520278",NA,"CESJ039578",NA,"Angiosperma","Plantaginaceae",NA,NA,NA,NA,NA,"1396",NA,NA,NA,NA,"Serra do Paiol","-47.8498","-18.520278","Planta coletada em fresta de paredão rochoso; erva; flores azuis.",NA,"América do Sul",NA
"11","2019-10-14 11:09:31-03","UCS","HUCS","19510","PreservedSpecimen","Plantae","Hatschbach, G.","1984","04","11","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276",NA,"auto","Angiospermae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C. Lima","Lima, H. .C.","47821",NA,NA,NA,NA,"Arredores",NA,NA,"Herbario MBM; Pequena mata remanescente",NA,NA,"Fabales"
"12","2019-12-06 15:24:43-03","MBM","MBM","15404","S","Plantae","Duarte, L.; Castellanos, A.; Castellanos, A.","1964","08","08","Brazil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","MBM015404","auto",NA,"Verbenaceae","Lantana","camara","Lantana camara","L.",NA,"265","MBM015404",NA,NA,NA,"Campanário",NA,NA,NA,NA,"Southern America",NA
"13","2019-12-06 14:36:28-03","MBM","MBM","90090","S","Plantae","Hatschbach, G.","1984","04","11","Brazil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","MBM090090","auto",NA,"Boraginaceae","Cordia","rufescens","Cordia rufescens","DC.","Hatschbach, G.","47822","MBM090090",NA,NA,NA,"Frei Inocêncio, arredores",NA,NA,NA,NA,"Southern America",NA
"14","2019-12-06 14:46:47-03","MBM","MBM","90052","S","Plantae","Hatschbach, G.","1984","04","11","Brazil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","MBM090052","auto",NA,"Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.","47821","MBM090052",NA,NA,NA,"Frei Inocêncio, arredores",NA,NA,NA,NA,"Southern America",NA
"15","2019-10-02 14:51:16-03","UFMG","BHCB","68269","PreservedSpecimen","Plantae","Mota, RC da","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,"BHCB029815",NA,"Dicotyledon","Bignoniaceae","Adenocalymma","aurantiacum","Adenocalymma aurantiacum","Udulutsch & Assis",NA,"1394",NA,"2015","09","17","Rio Suaçuí Grande.","-47.990689","-18.699525","Arbusto escandente; frutos imaturos; Borda de mata secundária",NA,"Southern America",NA
"16","2019-10-02 15:01:36-03","UFMG","BHCB","68271","PreservedSpecimen","Plantae","Mota, RC da","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.8498","-18.520411",NA,"BHCB021028",NA,"Dicotyledon","Plantaginaceae","Achetaria","crenata","Achetaria crenata","(Ronse & Philcox) V.C.Souza",NA,"1396",NA,"2015","01","06","Serra do Paiol.","-47.8498","-18.520411","Erva; flores azuis; Planta coletada em fresta de paredão rochoso",NA,"Southern America",NA
"17","2019-10-02 15:02:05-03","UFMG","BHCB","68273","PreservedSpecimen","Plantae","Mota, RC da","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio",NA,"-18.599611",NA,NA,NA,"Dicotyledon","Rubiaceae","Alseis",NA,"Alseis",NA,NA,"1398",NA,NA,NA,NA,"Rio Suaçuí Grande.",NA,"-18.599611","Planta coletada em mata de galeria; árvore; frutos imaturos.",NA,"Southern America",NA
"18","2019-10-02 15:02:51-03","UFMG","BHCB","68230","PreservedSpecimen","Plantae","Mota, RC da","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio",NA,"-18.599611",NA,NA,NA,"Dicotyledon","Rutaceae","Almeidea","rubra","Almeidea rubra","A.St.-Hil.",NA,"1356",NA,NA,NA,NA,"Rio Suaçuí Grande.",NA,"-18.599611","Planta coletada em mata de galeria; subarbóreo; frutos imaturos.",NA,"Southern America",NA
