"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class"
"1","2019-11-21 14:48:33-03","UFJF","CESJ","65001","PreservedSpecimen","Plantae","Angiosperma","Verbenaceae","Petrea","volubilis","Petrea volubilis","L.","F.R.G. Salimena","2015","03","S.G. Rezende","1220","2005","09","28","América do Sul","Brasil","Minas Gerais","Gonzaga","Margens do Rio Corrente Grande","-42.4791984558105","-18.8222007751465","16211","Bioma: Cerrado. Habitat: Floresta Estacional Semidecídua. Hábito: Arbóreo. Coord.: UTM Lat. 7.903.195 e Long. 760.720. Doação da empresa Sete Soluções Consultoria para o Herbário BHZB.","CESJ065001","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:52:44-03","UFJF","CESJ","57342","PreservedSpecimen","Plantae","Polypodiopsida","Gleicheniaceae","Sticherus","bifidus","Sticherus bifidus","(Willd.) Ching","L.V. Lima","2017","08","T.E. Almeida; D.T. Souza","2018","2009","07","08","América do Sul","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande. Floresta Estacional Semidecidual. 18º56'59''S 42º32'45''W. 417m. Terrestre em barranco a beira de estrada.","-42.4791984558105","-18.8222007751465","16211",NA,"CESJ057342","auto","CESJ057342",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:33:01-03","PUC-RIO","FCAB","7071","PreservedSpecimen","Plantae",NA,"Amaranthaceae","Pfaffia",NA,"Pfaffia",NA,NA,NA,NA,"S.G. Rezende; Werneck, M.S.","1216","2005","09","15",NA,"Brasil","Minas Gerais","Gonzaga","Margens do Rio Corrente Grande.","-42.524167","-0.315833",NA,"Cerrado, Pastagem, Herbáceo.","007071",NA,NA,"Angiospermae","-42.524167","-0.315833",NA,NA,NA,NA
"4","2019-10-02 15:03:23-03","UFMG","BHCB","125257","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Athenaea",NA,"Athenaea",NA,NA,NA,NA,"Kamino, LHY; Maielo Silva, L","1160","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Fazenda do Sr. Gezier Nunes","-42.448339","-18.810406",NA,"Prensado em álcool; Arbusto, 1,5m; pétalas brancas, máculas roxas e sépalas verdes, tricomas glanduralres, prensado em alcool; Mata","BHCB005175",NA,NA,NA,"-42.448339","-18.810406","800","800",NA,NA
"5","2019-10-31 18:28:59-03","UFMG","BHCB","125258","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Merostachys",NA,"Merostachys",NA,NA,"2019","07","Kamino, LHY; Maielo Silva, L","1173","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Fazenda do Sr. Gezier Nunes","-42.448333","-18.810278",NA,"Sub-bosque, colmo áspero.","BHCB012913",NA,NA,NA,"-42.448333","-18.810278","800","800",NA,NA
"6","2019-10-31 18:28:59-03","UFMG","BHCB","125259","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Merostachys","fischeriana","Merostachys fischeriana","Rupr. ex Döll",NA,"2018",NA,"Kamino, LHY; Maielo Silva, L","1174","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Fazenda do Sr. Gezier Nunes","-42.448333","-18.810278",NA,"Sub-bosque, colmo liso.; Mata.","BHCB012954",NA,NA,NA,"-42.448333","-18.810278","800","800",NA,NA
"7","2019-10-02 15:00:49-03","UFMG","BHCB","124250","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Psidium","oblongatum","Psidium oblongatum","O.Berg",NA,"2008","10","Kamino, LHY; Maielo Silva, L","1157","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Casa Sr. Cândido","-42.3275","-18.773611",NA,"Arbusto, frutos imaturos verdes.","BHCB014807",NA,NA,NA,"-42.3275","-18.773611","74","74","01",NA
"8","2019-10-02 15:04:03-03","UFMG","BHCB","128789","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Solanum","asperum","Solanum asperum","Rich.",NA,"2009","07","Almeida, TE; Souza, DT","1886","2009","03","24","Southern America","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande","-42.545778","-18.946861",NA,"Arbusto em borda de mata, 1,5m de altura. Flores brancas.; Floresta Estadual Semidecidual.","BHCB023598",NA,NA,NA,"-42.545778","-18.946861","496","496",NA,NA
"9","2019-10-02 15:04:03-03","UFMG","BHCB","124199","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Solanum","asterophorum","Solanum asterophorum","Mart.",NA,NA,NA,"Kamino, LHY; Maielo Silva, L","1152","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Fazenda do Sr. Gezier Nunes, Mata.","-42.77","-19.334722",NA,"Herbáceo, frutos imaturos verdes.",NA,NA,NA,NA,"-42.77","-19.334722","790","790",NA,NA
"10","2019-10-02 14:52:11-03","UFMG","BHCB","170275","PreservedSpecimen","Plantae","Dicotyledon","Chrysobalanaceae","Licania",NA,"Licania",NA,NA,NA,NA,"Kamino, LHY; Maielo Silva, L","1164","2008","09","05","Southern America","Brasil","Minas Gerais","Gonzaga","Mata Gezier Nunes","-42.4791984558105","-18.8222007751465","16211","Arbóreo, frutos imaturos com tricomas marrons","BHCB043505","auto",NA,NA,NA,NA,NA,NA,NA,NA
