"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","687","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","horrida","Billbergia horrida","Regel","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","686","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E.Pereira & Leme","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","688","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","kerryi","Neoregelia kerryi","Leme","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","689","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sp.","Neoregelia sp.",NA,"Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 16:55:48-03","NYBG","NYBG","1033208","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glomerata","Pfaffia glomerata","(Spreng.) Pedersen","M. H. Nee","2000",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"730","19","South America","-41.9492","-18.8511","sheet","NY01033208","NY01033208",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:35:43-03","NYBG","NYBG","01067816","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","R. de Castro","2004","05","R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"944","23","South America","-41.9492","-18.8511","sheet","NY01067816","NY01067816",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:14:14-03","NYBG","NYBG","01090460","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Prockia","crucis","Prockia crucis","P.Browne ex L.",NA,NA,NA,"R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222488 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"939","23","South America","-41.9492","-18.8511","sheet","NY01090460","NY01090460",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:35:43-03","NYBG","NYBG","1842758","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Rauvolfia","pruinosifolia","Rauvolfia pruinosifolia","I.Koch & Kin.-Gouv.",NA,NA,NA,"M. Magalhães","1963",NA,"Brazil","Minas Gerais","Governador Valadares",NA,"-41.9494018554688","-18.8511009216309","50833",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","19185",NA,"South America",NA,NA,"sheet","NY01842758","NY01842758","paratype",NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:55:16-03","NYBG","NYBG","00837916","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Achyranthes",NA,"Achyranthes",NA,NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"714","19","South America","-41.9492","-18.8511","sheet","NY00837916","NY00837916",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:50:20-03","NYBG","NYBG","1549837","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aloysia","virgata","Aloysia virgata urticoides","(Cham.) Siedo","S. J. Siedo","2010",NA,"G. M. Magalhaes","1943","11","Brazil","Minas Gerais","Governador Valadares","Chonim","-41.9494018554688","-18.8511009216309","50833",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1799733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","4328","08","South America",NA,NA,"sheet","NY01549837","NY01549837",NA,"urticoides",NA,NA,NA,NA,NA
