"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","class"
"1","2019-12-16 17:37:43-03","NYBG","NYBG","948993","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Augusta","longifolia","longifolia","Augusta longifolia longifolia","(Spreng.) Rehder","P. G. Delprete","1996","G. M. Magalhaes","s.n.","1950","10","20","South America","Brazil","Minas Gerais","Guanhães","Salto Grande","-42.9322","-18.775","-42.9322","-18.7750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00948993","NY00948993",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:06-03","MCN-PUC-MINAS","HPUC-MG","ANG 5489","S","Plantae",NA,NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,NA,"M.F. Vasconcelos","19-114",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem direita do Rio Corrente Grande","-42.716667","-18.883333","42°43'W","18°53'S",NA,"Flores visitadas pelo beija-flor phaethornis pretrei. Corola amarela.",NA,NA,"670","670",NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5168","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"M.F.Vasconcelos","17-163",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem direita do Rio Grande","-42.7","-18.883333","42°42' W","18°53' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:10:51-03","MCN-PUC-MINAS","HPUC-MG","ANG 5501","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.F. Vasconcelos","19-164",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem esqueda do Rio Guanhães- Dores de Guanhães","-42.866667","-19.066667","42°52'W","19°04'S",NA,NA,NA,NA,"475","475",NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG 5481","S","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,NA,NA,NA,"M.F. Vasconcelos","19-017",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem direita do Rio Guanhães","-42.916667","-19.033333","42°55'W","19°02'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG5158","S","Plantae",NA,NA,"Bromeliaceae","Aechmea",NA,NA,"Aechmea",NA,NA,NA,"M.F.Vasconcelos","17-161",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem direita do Rio Grande","-42.666667","-18.883333","42°40' W","18°53' S",NA,"Crescendo sobre Ficus sp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG5028","S","Plantae",NA,NA,"Boraginaceae","Cordia",NA,NA,"Cordia",NA,NA,NA,"M.F.Vasconcelos","17-164",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem do Rio Corrente Grande","-42.716667","-18.883333","42°43' W","18°53' S",NA,"Corola branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG 5488","S","Plantae",NA,NA,"Sapindaceae","Serjania",NA,NA,"Serjania",NA,NA,NA,"M.F. Vasconcelos","19-117",NA,NA,NA,NA,"Brasil","Minas Gerais","Guanhães","Margem esquerda do Rio Guanhães","-42.866667","-19.066667","42°52'W","19°04'S",NA,NA,NA,NA,"475","475",NA,NA,NA,NA,NA,NA
"9","2019-11-04 10:45:51-03","UFRJ","RFA","5081","Preservedecimen","Plantae",NA,NA,"Fabaceae","Apuleia","praecox",NA,"Apuleia praecox","Mart.",NA,NA,"Mendes Magalhães","9724","1957","09","00",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"árvore, c.a. 10 a 15 metros, com frutos","RFA25475",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"10","2019-11-04 10:49:11-03","UFRJ","RFA","6434","Preservedecimen","Plantae",NA,NA,"Sapindaceae","Urvillea",NA,NA,"Urvillea",NA,NA,NA,"Mendes Magalhães","15724","1956","07",NA,NA,"Brasil","Minas Gerais","Guanhães","8 km Sul da cidade de Ganhães","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Cipó, muito frequente","RFA48477",NA,NA,NA,"43982","auto",NA,NA,NA,NA
