"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","coordinatePrecision","geoFlag","occurrenceRemarks","infraspecificEpithet","continentOcean","class","order","relatedCatalogItem"
"1","2020-03-04 15:24:42-03","UNESC","CRI","6884","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith","1983","01","01","R. Reitz; R. M. Klein","16946","1964","01","03","Brasil","Minas Gerais","Guaraciaba","São Luís.","-43.007778","-20.571389","43º0'28''W","20º34'17''S","CRI002645","CRI002645",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-07-11 08:54:25-03","ESALQ","ESA","101213","S","Plantae","Melastomataceae","Miconia","calvescens","Miconia calvescens",NA,NA,NA,NA,NA,"Neto, E.T.","3653","2003","10","20","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101213","ESA101213","Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:55:30-03","ESALQ","ESA","121814","S","Plantae","Myrtaceae","Myrcia","muitiflora","Myrcia muitiflora",NA,"Neto, E.T.",NA,NA,NA,"Neto, E.T.","3644","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UEH Jurumirim, Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"ESA121814",NA,"Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"4","2019-02-22 15:16:28-03","ESALQ","ESA","101232","S","Plantae","Euphorbiaceae","Actinostemon",NA,"Actinostemon",NA,NA,NA,NA,NA,"Neto, E.T.","3649","2003","10","20","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101232",NA,"Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"5","2019-02-22 15:16:29-03","ESALQ","ESA","101233","S","Plantae","Euphorbiaceae","Actinostemon","verticillatus","Actinostemon verticillatus",NA,"Eymael, P.P.","2014","01",NA,"Neto, E.T.","3650","2003","10","20","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101233",NA,"Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"6","2019-07-11 08:52:01-03","ESALQ","ESA","101239","S","Plantae","Fabaceae","Andira","ormosioides","Andira ormosioides",NA,NA,NA,NA,NA,"Neto, E.T.","3643","2003","10","20","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101239","ESA101239","Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"7","2019-07-11 08:52:28-03","ESALQ","ESA","101247","S","Plantae","Fabaceae","Inga","striata","Inga striata",NA,NA,NA,NA,NA,"Neto, E.T.","3646","2003","10","20","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,"ESA101247","ESA101247","Magnoliophyta","16300","auto",NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:27:34-03","UFV","VIC","20577","PreservedSpecimen","Plantae","Blechnaceae","Parablechnum","raddianum","Parablechnum raddianum","(Rosenst) Schwartsb.et C.V.Miranda","Schwartsburd.","2019","04",NA,"Valente, G.E.","s.n.","1995","07","01","Brasil","Minas Gerais","Municipio de Guaraciaba","Fazenda Bom Jardim",NA,NA,NA,NA,"VIC020577","VIC020577",NA,NA,NA,"Planta coletada em ambiente ensolarado úmido próximo ao curso d'água",NA,NA,NA,NA,NA
"9","2020-03-10 08:28:57-03","UFV","VIC","8656","PreservedSpecimen","Plantae","Malvaceae","Sida","cordifolia","Sida cordifolia","Linn",NA,NA,NA,NA,"Garcia, M.V.B.","s.n.","1984","03","31","Brasil","Minas Gerais","Guaraciaba","Café","-43.0074996948242","-20.57080078125",NA,NA,"VIC008656","VIC008656",NA,"16300","auto","Arbusto de 0,6 m, flores amarelas",NA,NA,NA,NA,NA
"10","2020-03-10 08:30:36-03","UFV","VIC","025584","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","ipecacuanha","Psychotria ipecacuanha","(Brot.) Stokes",NA,NA,NA,NA,"Mauro, R.M.; Oliveira, L.O. de","s.n.","2001","03","28","Brasil","Minas Gerais","Guaraciaba","Comunidade de Limpa Campo","-43.0074996948242","-20.57080078125",NA,NA,"VIC025584","VIC025584",NA,"16300","auto","Planta coletada em local sombreado em interior de capoeira",NA,NA,NA,NA,NA
"11","2020-03-10 08:30:50-03","UFV","VIC","023136","PreservedSpecimen","Plantae","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendth.",NA,NA,NA,NA,"Valente, G.E.; et al.","70","1995","07","01","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023136","VIC023136",NA,"16300","auto","Arbusto de cerca 1,5 m, flores brancas e frutos claros com raios vinosos",NA,NA,NA,NA,NA
"12","2020-03-10 08:26:36-03","UFV","VIC","23089","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus",NA,"Stenostephanus",NA,NA,NA,NA,NA,"Valente, G.E.; et al.","71","1995","07","01","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023089","VIC023089",NA,"16300","auto","Erva com aproximadamente 60 cm de altura, flores róseas, no interior da mata.",NA,NA,NA,NA,NA
"13","2020-03-10 08:27:34-03","UFV","VIC","014630","PreservedSpecimen","Plantae","Blechnaceae","Neoblechnum","brasiliense","Neoblechnum brasiliense","(Desv) Gasper et V.A.O. Dittrich",NA,NA,NA,NA,"Meira, Neto J A; et al.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC014630","VIC014630 VIC014630_1",NA,"16300","auto",NA,NA,NA,NA,NA,NA
"14","2020-03-10 08:30:54-03","UFV","VIC","23139","PreservedSpecimen","Plantae","Trigoniaceae","Trigonia","paniculata","Trigonia paniculata","Warm.",NA,NA,NA,NA,"Valente, G.E.; Meira Neto, J.A.A.; Silva, A.F. da","76","1995","07","01","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023139","VIC023139",NA,"16300","auto","Trepadeira coletada na borda da mata. Face abaxial das folhas com as margens brancas",NA,NA,NA,NA,NA
"15","2020-03-10 08:30:08-03","UFV","VIC","23122","PreservedSpecimen","Plantae","Piperaceae","Piper",NA,"Piper","L.",NA,NA,NA,NA,"Valente, G.E.; et al.","73","1995","07","01","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023122","VIC023122",NA,"16300","auto","Arbusto de 1,5 m, inflorescência verde clara,coletado perto de riacho.",NA,NA,NA,NA,NA
"16","2020-03-10 08:30:36-03","UFV","VIC","23127","PreservedSpecimen","Plantae","Rubiaceae","Psychotria",NA,"Psychotria",NA,NA,NA,NA,NA,"Valente, G. .E.","et. al.","1995","08","03","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023127","VIC023127",NA,"16300","auto","Arbusto com flores róseo-vinosas, coletada à beira do riacho dentro da mata.",NA,NA,NA,NA,NA
"17","2020-03-10 08:30:36-03","UFV","VIC","23128","PreservedSpecimen","Plantae","Rubiaceae","Psychotria",NA,"Psychotria",NA,NA,NA,NA,NA,"Valente, G. .E.","et. al.","1995","07","01","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023128","VIC023128",NA,"16300","auto","Arbusto com aproximadamente 1 metro, frutos amarelos e vermelhos, coletada no interior da mata.",NA,NA,NA,NA,NA
"18","2020-03-10 08:29:43-03","UFV","VIC","23121","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","spectabilis","Myrcia spectabilis","DC",NA,NA,NA,NA,"Valente, G.E.; et al.","105","1995","08","03","Brasil","Minas Gerais","Guaraciaba","Fazenda Bom Jardim","-43.0074996948242","-20.57080078125",NA,NA,"VIC023121","VIC023121",NA,"16300","auto","Árvore de 4,5 m, frutos amarelos na beira de riacho dentro da mata",NA,NA,NA,NA,NA
